"","섹터","종목코드","종목명"
"172","소재","011500","한농화성"
"173","소재","047400","유니온머티리얼"
"174","소재","012160","영흥철강"
"175","소재","025820","이구산업"
"176","소재","110020","전진바이오팜"
"177","소재","037760","쎄니트"
"178","소재","021050","서원"
"179","소재","101240","씨큐브"
"180","소재","003080","성보화학"
"181","소재","017480","삼현철강"
"182","소재","134380","미원화학"
"183","소재","023440","제일제강"
"184","소재","177830","파버나인"
"185","소재","024800","유성티엔에스"
"186","소재","026940","부국철강"
"187","소재","069730","DSR제강"
"188","소재","107590","미원홀딩스"
"189","소재","023450","동남합성"
"190","소재","008260","NI스틸"
"191","소재","014580","백광소재"
"192","소재","053260","금강철강"
"193","소재","039240","경남스틸"
"194","소재","071090","하이스틸"
"195","소재","051630","진양화학"
"196","소재","036640","HRS"
"197","소재","017650","대림제지"
"198","소재","006580","대양제지"
"199","소재","083420","그린케미칼"
"200","소재","001810","무림SP"
"201","소재","006890","태경화학"
"202","소재","012620","원일특강"
"203","소재","003720","삼영화학"
"204","소재","006110","삼아알미늄"
"205","소재","060480","국일신동"
"206","소재","024070","WISCOM"
"207","소재","263770","유에스티"
"208","소재","018470","조일알미늄"
"209","소재","002710","TCC동양"
"210","소재","002870","신풍제지"
"211","소재","006740","영풍제지"
"212","소재","000590","CS홀딩스"
"213","소재","075970","동국알앤에스"
"214","소재","016380","동부제철"
"215","소재","002690","동일제강"
"216","소재","155660","DSR"
"217","소재","036620","버추얼텍"
"218","소재","050760","에스폴리텍"
"219","소재","128660","피제이메탈"
"220","소재","048830","엔피케이"
"221","소재","140520","대창스틸"
"222","소재","002220","한일철강"
"223","소재","033310","디케이디앤아이"
"224","소재","008370","원풍"
"225","소재","037230","한국팩키지"
"226","소재","008870","금비"
"227","소재","196700","웹스"
"228","소재","001560","제일연마"
"229","소재","000760","이화산업"
"230","소재","014970","삼륭물산"
"231","소재","060380","동양에스텍"
"232","소재","221980","케이디켐"
"233","소재","079170","한창산업"
"234","소재","049830","승일"
"235","소재","026910","광진실업"
"236","소재","005820","원림"
"237","소재","027970","세하"
"238","소재","007770","한일화학"
"239","소재","001770","신화실업"
"240","소재","115570","스타플렉스"
"241","소재","010640","진양폴리"
"242","소재","221610","한솔씨앤피"
"243","소재","009190","대양금속"
"244","소재","023790","동일철강"
"245","산업재","028260","삼성물산"
"246","산업재","034730","SK"
"247","산업재","003550","LG"
"248","산업재","009540","현대중공업"
"249","산업재","000720","현대건설"
"250","산업재","267250","현대중공업지주"
"251","산업재","010140","삼성중공업"
"252","산업재","000210","대림산업"
"253","산업재","028050","삼성엔지니어링"
"254","산업재","028300","에이치엘비"
