"","일자","종목코드","종목명","관리여부","종가","EPS","PER","BPS","PBR","주당배당금","배당수익률","게시물  일련번호","총카운트"
"63",2018-12-28,"012860","서연전자","-",1490,"-","-","4,688","0.32",30,2.01,63,NA
"64",2018-12-28,"013030","하이록코리아","-",16450,"1,728","9.52","24,092","0.68",400,2.43,64,NA
"65",2018-12-28,"013120","동원개발","-",4000,"1,108","3.61","6,550","0.61",160,4,65,NA
"66",2018-12-28,"013310","아진산업","-",2040,"537","3.8","7,050","0.29",0,0,66,NA
"67",2018-12-28,"013720","청보산업","-",2295,"-","-","2,495","0.92",0,0,67,NA
"68",2018-12-28,"013810","스페코","-",4045,"-","-","2,725","1.48",0,0,68,NA
"69",2018-12-28,"013990","아가방컴퍼니","-",3755,"-","-","5,079","0.74",0,0,69,NA
"70",2018-12-28,"014100","보령메디앙스","-",9400,"519","18.11","4,004","2.35",0,0,70,NA
"71",2018-12-28,"014190","원익큐브","-",2445,"57","42.89","2,202","1.11",0,0,71,NA
"72",2018-12-28,"014200","광림","-",2495,"-","-","1,930","1.29",0,0,72,NA
"73",2018-12-28,"014470","부방","-",2035,"50","40.7","3,379","0.6",0,0,73,NA
"74",2018-12-28,"014570","고려제약","-",7220,"429","16.83","5,179","1.39",90,1.25,74,NA
"75",2018-12-28,"014620","성광벤드","-",11400,"-","-","15,747","0.72",100,0.88,75,NA
"76",2018-12-28,"014940","오리엔탈정공","-",711,"-","-","286","2.49",0,0,76,NA
"77",2018-12-28,"014970","삼륭물산","-",4775,"272","17.56","4,636","1.03",75,1.57,77,NA
"78",2018-12-28,"015710","코콤","-",6750,"646","10.45","5,835","1.16",165,2.44,78,NA
"79",2018-12-28,"015750","성우하이텍","-",3640,"510","7.14","15,234","0.24",150,4.12,79,NA
"80",2018-12-28,"016100","리더스코스메틱","-",11000,"-","-","4,516","2.44",0,0,80,NA
"81",2018-12-28,"016250","이테크건설","-",80500,"10,678","7.54","92,905","0.87",750,0.93,81,NA
"82",2018-12-28,"016600","큐캐피탈","-",621,"88","7.06","849","0.73",0,0,82,NA
"83",2018-12-28,"016670","포비스티앤씨","-",1440,"42","34.29","1,426","1.01",0,0,83,NA
"84",2018-12-28,"016790","현대사료","-",20050,"1,224","16.38","10,645","1.88",300,1.5,84,NA
"85",2018-12-28,"016920","카스","-",1260,"114","11.05","1,729","0.73",20,1.59,85,NA
"86",2018-12-28,"017000","신원종합개발","-",4100,"1,376","2.98","6,330","0.65",0,0,86,NA
"87",2018-12-28,"017250","인터엠","-",3210,"103","31.17","3,897","0.82",120,3.74,87,NA
"88",2018-12-28,"017480","삼현철강","-",4610,"407","11.33","8,934","0.52",150,3.25,88,NA
"89",2018-12-28,"017510","세명전기","-",7030,"241","29.17","4,318","1.63",80,1.14,89,NA
"90",2018-12-28,"017650","대림제지","-",1445,"73","19.79","2,894","0.5",0,0,90,NA
"91",2018-12-28,"017680","데코앤이","관리종목",212,"-","-","314","0.68",0,0,91,NA
"92",2018-12-28,"017890","한국알콜","-",7170,"978","7.33","11,716","0.61",50,0.7,92,NA
"93",2018-12-28,"018000","유니슨","-",1575,"13","121.15","536","2.94",0,0,93,NA
"94",2018-12-28,"018120","진로발효","-",30100,"2,108","14.28","12,001","2.51",1100,3.65,94,NA
"95",2018-12-28,"018290","지엠피","-",8300,"-","-","1,197","6.93",0,0,95,NA
"96",2018-12-28,"018310","삼목에스폼","-",11500,"2,389","4.81","21,921","0.52",100,0.87,96,NA
"97",2018-12-28,"018620","우진비앤지","-",2135,"-","-","1,667","1.28",0,0,97,NA
"98",2018-12-28,"018680","서울제약","-",5780,"111","52.07","6,423","0.9",15,0.26,98,NA
"99",2018-12-28,"018700","바른손","-",2005,"-","-","2,687","0.75",0,0,99,NA
"100",2018-12-28,"019010","그랜드백화점","-",17700,"-","-","43,057","0.41",300,1.69,100,NA
"101",2018-12-28,"019210","와이지-원","-",9320,"1,180","7.9","10,074","0.93",200,2.15,101,NA
"102",2018-12-28,"019540","일지테크","-",2335,"618","3.78","9,449","0.25",70,3,102,NA
"103",2018-12-28,"019550","SBI인베스트먼트","-",683,"17","40.18","526","1.3",0,0,103,NA
"104",2018-12-28,"019570","제미니투자","-",628,"-","-","363","1.73",0,0,104,NA
"105",2018-12-28,"019590","엠벤처투자","관리종목",587,"21","27.95","318","1.85",0,0,105,NA
"106",2018-12-28,"019660","글로본","-",3830,"-","-","855","4.48",0,0,106,NA
"107",2018-12-28,"019770","서연탑메탈","-",3130,"396","7.9","6,645","0.47",0,0,107,NA
"108",2018-12-28,"019990","에너토크","-",4120,"41","100.49","4,194","0.98",50,1.21,108,NA
"109",2018-12-28,"020180","대신정보통신","-",1630,"22","74.09","623","2.62",10,0.61,109,NA
"110",2018-12-28,"020400","대동금속","-",49100,"1,744","28.15","57,522","0.85",300,0.61,110,NA
"111",2018-12-28,"020710","시공테크","-",6090,"950","6.41","4,762","1.28",120,1.97,111,NA
"112",2018-12-28,"021040","대호피앤씨","-",980,"62","15.81","893","1.1",0,0,112,NA
"113",2018-12-28,"021045","대호피앤씨우","-",1400,"-","-","-","-",0,0,113,NA
"114",2018-12-28,"021080","에이티넘인베스트","-",2025,"182","11.13","1,478","1.37",60,2.96,114,NA
"115",2018-12-28,"021320","KCC건설","-",7070,"1,051","6.73","15,806","0.45",130,1.84,115,NA
"116",2018-12-28,"021650","한국큐빅","-",2330,"63","36.98","3,400","0.69",15,0.64,116,NA
"117",2018-12-28,"021880","메이슨캐피탈","-",379,"-","-","427","0.89",0,0,117,NA
"118",2018-12-28,"022100","포스코 ICT","-",5210,"276","18.88","2,629","1.98",75,1.44,118,NA
"119",2018-12-28,"022220","정산애강","-",2125,"184","11.55","1,234","1.72",0,0,119,NA
"120",2018-12-28,"023160","태광","-",11700,"-","-","15,818","0.74",50,0.43,120,NA
"121",2018-12-28,"023410","유진기업","-",6250,"1,223","5.11","9,411","0.66",150,2.4,121,NA
"122",2018-12-28,"023440","제일제강","-",1350,"63","21.43","2,278","0.59",0,0,122,NA
"123",2018-12-28,"023460","CNH","-",1390,"81","17.16","2,752","0.51",20,1.44,123,NA
"124",2018-12-28,"023600","삼보판지","-",8930,"488","18.3","18,709","0.48",50,0.56,124,NA
"125",2018-12-28,"023760","한국캐피탈","-",607,"38","15.97","1,195","0.51",13,2.14,125,NA
"126",2018-12-28,"023770","플레이위드","-",6900,"-","-","2,816","2.45",0,0,126,NA
"127",2018-12-28,"023790","동일철강","-",3845,"-","-","5,628","0.68",0,0,127,NA
