"","PER","PBR","PCR","PSR","DY"
"005930",6.97674948490875,1.37220437507052,4.73482252010875,1.2285319673681,0.0185
"000660",5.31523404563906,1.67250971323945,3.85047470903163,1.87867522303666,0.0129
"068270",91.0661536635887,14.1896903768082,70.6353228281069,38.4471686576757,NA
"207940",-321.275412371134,7.83697095435685,208.035480640854,67.0764421007318,NA
"005380",6.08614073035809,0.370130986584606,7.05436218042525,0.287104688989283,0.0309
"005490",8.62045720195056,0.540049921835496,4.57134975656733,0.422601388671357,0.0272
"051910",12.2890725697329,1.52084662920936,7.81227551671016,0.966943137053467,0.017
"035420",31.2462740812881,4.53569246588253,25.5986762446808,5.1432629411136,0.002
"028260",49.4826447651216,0.946515702826494,18.1393633012039,0.813077645974931,0.0159
"017670",8.41607538643889,1.24057428765558,5.80075780564345,1.27663024811644,0.0361
"012330",14.154448847339,0.750992369273477,11.3144070249397,0.627361955165232,0.0155
"105560",NA,NA,NA,NA,NA
"055550",NA,NA,NA,NA,NA
"034730",3.89540379127603,0.431329023010989,2.84787568844605,0.211541531168405,0.0143
"051900",31.3879043993533,6.297741799455,26.3948591040109,3.09599216505861,0.0072
"015760",13.3167239505342,0.263069021173281,1.70621302432022,0.320902081292454,0.0264
"096770",8.77196507109226,0.974491166122024,8.63074134207871,0.406752619901472,0.0393
"018260",34.6329208194906,3.28078408574326,22.4773796118831,2.01782051144184,0.0082
"032830",NA,NA,NA,NA,NA
"006400",26.1929568563433,1.47112380806846,-67.3622944822071,2.66503889047077,0.0041
"090430",39.4374486557789,3.75918584207501,30.6205707471713,3.06337182657403,0.0048
"010950",11.6511674031288,2.12246516938006,12.7028602886382,0.695175056147506,0.0457
"033780",12.205611956279,1.81483223575315,12.4658070352663,3.0446034966361,0.0386
"000270",14.2589069889979,0.513849789486322,5.32056971912343,0.257820892700572,0.0235
"086790",NA,NA,NA,NA,NA
"003550",5.11521795787486,0.770025331944745,11.7711875077475,1.05215097061928,0.018
"000810",NA,NA,NA,NA,NA
"066570",6.31131713795132,0.8040921778011,5.44661745344597,0.19217782487544,0.0055
"009150",64.0352046926114,2.62113397021817,15.8192027197994,1.66022399532061,0.0049
"000030",NA,NA,NA,NA,NA
"011170",4.35831621268493,0.812498712300486,3.18216977293065,0.62723293454912,0.0361
"251270",27.3894870490441,2.21370700199315,19.6362055542312,4.07656956285054,0.0031
"036570",21.3707815653153,3.47670636633446,15.9419136676747,5.39525047762552,0.0168
"035720",79.9852978417266,2.21974372421137,26.9055142780317,5.07334622521929,0.0012
"009540",3.32587823214882,0.723967237875849,15.0967852132142,0.579031512916322,NA
"024110",NA,NA,NA,NA,NA
"002790",16.0705012706844,1.32611435805799,13.339851402408,1.30475699059561,0.0038
"010130",12.3964589905363,1.28721604402444,9.86364834337349,1.19140706716995,0.024
"000720",20.5570653363832,0.901580979239694,14.8503216932348,0.452357449117966,0.0073
"030200",13.5554927928762,0.582072221957114,1.96286695804214,0.325450530980489,0.0343
"032640",13.5667942551636,1.41838202503344,3.2562925054839,0.604458942375035,0.0235
"004020",9.96028333402062,0.425353299022629,4.21334232207233,0.378070861186476,0.0138
"034220",3.71281584327087,0.480065118312586,1.06325885840158,0.258799705291794,0.0249
"021240",21.5324441185504,7.13729390715667,12.6643132315751,2.78566584750477,0.0337
"018880",21.4664879356568,3.15329329526435,11.3033350979354,1.146785541651,0.0254
"267250",6.27026715695953,0.628770887654798,7.79359586503068,0.444195994964859,NA
"004990",12.755683515849,0.843532543646025,-9.23668135292398,2.65904463190236,NA
"035250",13.4965892571429,1.68649543013824,12.750502699201,3.68012327827984,0.0359
"161390",9.44636758656224,0.898912989919197,6.72680749236821,0.840937330835621,0.0086
"139480",8.94565620082816,0.640374116845657,6.25359332943665,0.353787470223661,0.0087
"008930",182.044976496753,8.42902176202646,-166.379385047478,8.5957155850069,0.0022
"023530",-271.901625728155,0.419519562742484,3.56921779774422,0.308097046188373,0.0263
"128940",80.8549071014493,7.04062164310954,-88.6961620031797,6.08661203360244,0.001
"036460",-4.54709499034992,0.665664230258955,2.16093998245334,0.244393820217118,NA
"010140",-14.571176988553,0.856300129366106,9.19163117941122,0.628309623854604,NA
"078930",4.54408021357267,0.51349338534142,3.79768938783008,0.306089561638258,0.0337
"097950",11.943425181686,0.802461940298508,4.17534376270325,0.299216245175151,0.0092
"086280",7.10874357090375,1.21255796465723,7.97609233305853,0.295721438046741,0.0233
"005830",NA,NA,NA,NA,NA
"047810",-18.8567915327381,3.889089239302,42.4007396606119,2.14029406838143,NA
"088350",NA,NA,NA,NA,NA
"029780",NA,NA,NA,NA,NA
"008770",165.214422391304,6.25643599236641,20.1733826568533,1.04198551327434,0.0033
"271560",54.3785252346806,3.10122156703101,21.5881619332298,3.73329116138561,0.0057
"006360",-25.1667137330483,1.27165818998673,-20.0476449542579,0.352736935493814,0.0057
"001040",3.56473826316252,0.338186714864662,1.81021367702196,0.150773747406928,0.0104
"071050",NA,NA,NA,NA,NA
"005940",NA,NA,NA,NA,NA
"000120",97.0550882262211,1.35675528515471,15.3224144967532,0.530974759788479,NA
"241560",13.254272495252,1.05879498444931,9.63627139989379,1.07076000507494,0.0221
"002380",85.6000935933806,0.617234706544159,10.8767917062181,0.937081769927536,0.0262
"004170",16.0629474648876,0.697437865331843,9.60001560856184,0.886254476029343,0.0036
"028050",-65.6468330134357,3.40420025878372,-25.5238805970149,0.617788374697446,NA
"282330",121.913265535714,8.78428058414822,-136.5428574,3.63648815915628,0.0051
"003410",11.1243901286521,1.65784291066746,11.2325387420382,2.20859950349351,0.0322
"042660",5.18764284608238,1.12019920085599,-3.2848119913717,0.301769059972257,NA
"001450",NA,NA,NA,NA,NA
"012750",22.937396350314,2.72141819589336,11.1724299694086,1.69228692632446,0.0289
"088980",NA,NA,NA,NA,NA
"011070",18.2106744364989,1.6317540965245,7.13727778363229,0.416576267634203,0.0019
"009830",3.78212836896345,0.510090686690909,3.44486588506876,0.337856315046351,0.0181
"017800",39.5341846835443,3.73901662875614,33.6914842502697,1.5665348798716,0.0043
"011780",14.28173015625,1.58815641966476,7.38172085985748,0.61358878573685,0.0098
"007070",26.2241529105126,1.2611874817198,6.82587064676617,0.365131976870781,0.0153
"000100",26.7358116788321,1.82422023283322,23.2374699444885,2.00399737382027,0.0079
"000210",5.76803149606299,0.514577735630367,6.69597806215722,0.237538810749463,0.0119
"016360",NA,NA,NA,NA,NA
"079440",NA,NA,NA,NA,NA
"010060",11.9451922678418,0.813435524636238,5.78482557047679,0.765076473592907,0.0167
"003490",3.45954052188552,0.739571204313401,0.988387325245832,0.229421076768495,0.0085
"028670",19.4828436670205,1.14238767123828,10.5234167054664,1.17837762612362,NA
"294870",NA,NA,NA,NA,NA
"138930",NA,NA,NA,NA,NA
"000150",58.7651290087146,0.354751745469132,3.98422366543575,0.1533857687999,0.0363
"064350",-57.9211663066955,1.89081999576958,12.2342609489051,0.983875701654621,NA
"020150",60.6433967417062,4.82494597002262,41.8161984068628,5.63689723017621,0.0117
"008560",NA,NA,NA,NA,NA
"081660",22.8969503700278,2.00531502471036,82.5053445,0.97820825000988,0.0012
"007310",18.629003021148,2.14178534213268,22.7116022099448,1.16004138839244,0.0098
"000880",1.84123218170722,0.151188012740609,0.469722928286465,0.047886122382173,0.0186
"047040",9.16980539053897,1.03809877100215,7.00916659816242,0.200980114408335,NA
"010120",22.1603773584906,2.04598902534622,16.2448132780083,1.00226138157614,0.014
"006280",40.8101326984127,2.08707001352936,39.9643268393782,1.79667250873515,0.0063
"069960",7.64335184215751,0.500210261970245,5.28321346454712,1.24983546707429,0.0081
"030000",17.9191939252336,2.68787908878505,58.8446163682865,0.681725777777778,0.038
"006260",6.24934210526316,0.627669943008177,9.60303285593934,0.239593908629442,0.0177
"069620",63.4970494350282,3.55945455265242,21.6342208854668,2.34072222222222,0.0031
"026960",16.840681998414,1.7061219570981,19.0629263913824,3.79826506886067,0.0329
"000060",NA,NA,NA,NA,NA
