"","종목코드","종목명","현재가","전일비","등락률","액면가","시가총액","상장주식수","외국인비율","거래량","PER","ROE","market"
"2016","002800","신신제약","8,170","120","-1.45%","500","1,239","15,170",2.03,"166,813","33.35","N/A","코스닥"
"2017","094850","참좋은여행","8,850","120","-1.34%","500","1,239","14,000",3.44,"53,711","10.18","17.83","코스닥"
"2018","131370","알서포트","2,325","60","+2.65%","100","1,238","53,267",21.47,"143,296","44.71","5.77","코스닥"
"2019","026180","현대정보기술","2,080","20","+0.97%","1,000","1,238","59,537",0.72,"70,562","122.35","1.98","코스닥"
"2020","036810","에프에스티","6,110","30","+0.49%","500","1,236","20,234",5.78,"172,191","11.03","14.04","코스닥"
"2021","299900","위지윅스튜디오","14,050","0","0.00%","500","1,236","8,798",1.1,"118,179","103.31","18.52","코스닥"
"2022","118990","모트렉스","4,535","10","+0.22%","100","1,236","27,251",0.72,"51,291","5.27","20.09","코스닥"
"2023","006910","보성파워텍","2,695","0","0.00%","500","1,236","45,855",2.58,"597,056","-13.15","-10.59","코스닥"
"2024","050890","쏠리드","3,210","20","+0.63%","500","1,233","38,398",2.53,"205,381","-4.8","-27.56","코스닥"
"2025","023760","한국캐피탈","729","5","+0.69%","500","1,226","168,210",0.1,"117,184","19.7","3.11","코스닥"
"2026","009300","삼아제약","19,250","150","-0.77%","1,000","1,226","6,370",1.87,"34,332","21.13","3.8","코스닥"
"2027","222110","팬젠","12,700","400","-3.05%","500","1,224","9,642",10.55,"20,792","-17.07","-21.06","코스닥"
"2028","036670","KCI","10,800","350","+3.35%","500","1,217","11,270",1.36,"135,250","30.59","8.29","코스닥"
"2029","054450","텔레칩스","9,010","10","-0.11%","500","1,217","13,506",5.31,"28,415","79.04","1.9","코스닥"
"2030","073560","우리손에프앤지","1,755","5","+0.29%","500","1,215","69,238",1.9,"301,021","4.59","17.99","코스닥"
"2031","033830","티비씨","1,215","35","+2.97%","500","1,215","100,000",0,"3,124,256","39.19","2.98","코스닥"
"2032","021080","에이티넘인베스트","2,530","180","+7.66%","500","1,214","48,000",3.89,"5,934,876","13.9","12.87","코스닥"
"2033","066590","우수AMS","4,915","105","+2.18%","500","1,214","24,694",1.67,"526,652","23.4","8.78","코스닥"
"2034","151860","KG ETS","3,370","0","0.00%","500","1,213","36,000",7.05,"51,084","10.34","8.21","코스닥"
"2035","036170","씨티젠","3,725","15","-0.40%","1,000","1,205","32,361",2.14,"350,670","-112.88","-1.29","코스닥"
"2036","234300","에스트래픽","10,100","100","-0.98%","500","1,204","11,921",2.25,"98,956","34.01","9.65","코스닥"
"2038","204840","지엘팜텍","3,350","65","-1.90%","100","1,199","35,784",0.67,"165,556","-24.45","-58.42","코스닥"
"2039","065950","웰크론","4,600","85","+1.88%","500","1,197","26,032",0.23,"21,753,101","-66.67","-3.57","코스닥"
"2040","238200","비피도","29,250","1,100","-3.62%","500","1,196","4,090",0.19,"38,044","44.05","14.03","코스닥"
"2041","091590","남화토건","10,150","250","-2.40%","500","1,192","11,740",3.16,"62,947","15.33","6.21","코스닥"
"2042","255220","SG","9,520","80","-0.83%","100","1,191","12,506",0.47,"47,256","7.91","38.96","코스닥"
"2043","039830","오로라","11,050","200","+1.84%","500","1,189","10,763",1.77,"184,332","9.25","13.73","코스닥"
"2044","022220","정산애강","2,295","20","-0.86%","500","1,189","51,795",1.41,"74,013","12.47","16.04","코스닥"
"2045","068790","DMS","5,160","60","+1.18%","500","1,188","23,032",5.35,"124,199","30.18","2.92","코스닥"
"2046","045970","코아시아홀딩스","6,050","160","+2.72%","500","1,187","19,616",1.65,"12,622","25.64","3.86","코스닥"
"2047","257370","명성티엔에스","18,550","50","+0.27%","500","1,182","6,370",0.13,"27,096","15.65","59.74","코스닥"
"2048","140670","알에스오토메이션","12,950","0","0.00%","500","1,179","9,103",0.84,"48,423","33.81","9.86","코스닥"
"2049","101490","에스앤에스텍","5,970","430","+7.76%","500","1,178","19,735",1.55,"457,004","37.55","4.08","코스닥"
"2050","052420","오성첨단소재","2,365","10","-0.42%","500","1,176","49,718",1.36,"471,351","71.67","1.79","코스닥"
"2051","093190","빅솔론","6,110","10","+0.16%","500","1,175","19,239",8.76,"31,385","5.63","16.24","코스닥"
"2052","005710","대원산업","5,860","60","-1.01%","500","1,174","20,038",14.17,"15,234","3.46","14.33","코스닥"
"2053","007330","푸른저축은행","7,780","0","0.00%","1,000","1,173","15,083",2.47,"11,488","5.61","9.35","코스닥"
"2054","051360","토비스","7,000","10","+0.14%","500","1,170","16,717",8.74,"9,829","9.06","8.06","코스닥"
"2055","122640","예스티","10,550","610","+6.14%","500","1,169","11,077",1.1,"755,655","7.76","30.1","코스닥"
"2056","041910","에스텍파마","9,810","10","+0.10%","500","1,167","11,898",4.4,"72,936","76.05","1.88","코스닥"
"2057","130580","나이스디앤비","7,550","90","+1.21%","500","1,163","15,400",50.62,"12,207","18.15","17.75","코스닥"
