"","."
"1",989
"2",867
"3",122
"4",194
"5",79
"6",11
"7",17
"8",0
"9",18
"10",66
"11",NA
"12",2
"13",-72
"14",28
"15",4
"16",NA
"17",11
"18",NA
"19",NA
"20",NA
"21",NA
"22",NA
"23",NA
"24",12
"25",NA
"26",51
"27",39
"28",3
"29",NA
"30",NA
"31",NA
"32",NA
"33",NA
"34",NA
"35",NA
"36",8
"37",11
"38",NA
"39",NA
"40",NA
"41",0
"42",NA
"43",NA
"44",NA
"45",NA
"46",NA
"47",8
"48",NA
"49",58
"50",NA
"51",32
"52",NA
"53",0
"54",NA
"55",21
"56",1
"57",NA
"58",NA
"59",NA
"60",NA
"61",NA
"62",-143
"63",NA
"64",-143
"65",NA
"66",-143
"67",-87
"68",-57
"69",1866
"70",826
"71",289
"72",NA
"73",85
"74",213
"75",NA
"76",NA
"77",NA
"78",NA
"79",119
"80",119
"81",NA
"82",1040
"83",649
"84",104
"85",NA
"86",147
"87",134
"88",NA
"89",NA
"90",NA
"91",NA
"92",6
"93",NA
"94",873
"95",759
"96",122
"97",280
"98",105
"99",81
"100",163
"101",NA
"102",NA
"103",NA
"104",NA
"105",NA
"106",NA
"107",8
"108",NA
"109",114
"110",NA
"111",20
"112",NA
"113",2
"114",91
"115",NA
"116",NA
"117",NA
"118",0
"119",NA
"120",993
"121",482
"122",843
"123",NA
"124",134
"125",-7
"126",10
"127",-497
"128",511
"129",-86
"130",-143
"131",NA
"132",128
"133",10
"134",NA
"135",NA
"136",54
"137",4
"138",NA
"139",NA
"140",NA
"141",1
"142",NA
"143",NA
"144",8
"145",NA
"146",NA
"147",NA
"148",NA
"149",NA
"150",30
"151",NA
"152",NA
"153",NA
"154",NA
"155",NA
"156",NA
"157",NA
"158",NA
"159",NA
"160",NA
"161",NA
"162",NA
"163",-42
"164",-53
"165",11
"166",NA
"167",NA
"168",-88
"169",2
"170",5
"171",-3
"172",NA
"173",NA
"174",NA
"175",0
"176",NA
"177",-126
"178",157
"179",100
"180",NA
"181",NA
"182",NA
"183",49
"184",NA
"185",NA
"186",NA
"187",5
"188",NA
"189",NA
"190",NA
"191",4
"192",283
"193",NA
"194",101
"195",NA
"196",NA
"197",75
"198",NA
"199",NA
"200",84
"201",24
"202",NA
"203",NA
"204",NA
"205",NA
"206",87
"207",396
"208",NA
"209",54
"210",NA
"211",NA
"212",NA
"213",NA
"214",NA
"215",NA
"216",NA
"217",38
"218",303
"219",309
"220",308
"221",NA
"222",NA
"223",0
"224",0
"225",NA
"226",NA
"227",NA
"228",NA
"229",NA
"230",NA
"231",NA
"232",NA
"233",NA
"234",-125
"235",244
"236",119
