"","X2018.12","X2019.12","X2020.12"
"매출액",12625,10293,9203
"매출원가",11306,9282,7970
"매출총이익",1320,1011,1233
"판매비와관리비",976,963,834
"인건비",267,204,215
"유무형자산상각비",34,38,25
"연구개발비",100,106,81
"광고선전비",NA,NA,NA
"판매비",381,351,377
"관리비",79,75,59
"기타원가성비용",NA,NA,NA
"기타",116,189,78
"영업이익",344,49,399
"영업이익(발표기준)",344,49,399
"금융수익",45,33,74
"이자수익",3,1,1
"배당금수익",NA,NA,NA
"외환이익",3,5,71
"대손충당금환입액",NA,NA,NA
"매출채권처분이익",NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산관련이익",NA,NA,NA
"금융자산처분이익",NA,NA,NA
"금융자산평가이익",NA,NA,NA
"금융자산손상차손환입",NA,NA,NA
"파생상품이익",39,26,2
"기타금융수익",NA,NA,NA
"금융원가",124,126,159
"이자비용",76,94,85
"외환손실",40,19,0
"대손상각비",NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산관련손실",NA,NA,NA
"매출채권처분손실",NA,NA,NA
"금융자산처분손실",NA,NA,NA
"금융자산평가손실",NA,NA,NA
"금융자산손상차손",NA,NA,NA
"파생상품손실",8,13,74
"기타금융원가",NA,NA,NA
"기타수익",181,188,955
"재고자산감모손실환입",NA,NA,NA
"재고자산폐기(처분)이익",NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산평가이익",NA,NA,NA
"자산처분(폐기)이익",5,33,4
"자산평가이익",NA,NA,NA
"자산손상차손환입",3,2,8
"임대료수익",NA,NA,NA
"로열티수익",NA,NA,NA
"수수료수익",7,3,2
"대손충당금환입",NA,NA,NA
"충당부채환입액",NA,NA,NA
"기타비용",208,166,286
"재고자산감모손실",NA,NA,NA
"재고자산폐기(처분)손실",NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산평가손실",NA,NA,NA
"자산처분(폐기)손실",13,7,7
"자산평가손실",NA,NA,NA
"자산손상차손",6,NA,80
"기타대손상각비",NA,NA,NA
"충당부채전입액",NA,NA,NA
"종속기업,공동지배기업및관계기업관련손익",8,39,45
"지분법손익",NA,NA,NA
"종속기업,공동지배기업및관계기업투자주식처분손익",NA,NA,NA
"종속기업,공동지배기업및관계기업투자주식손상관련손익",NA,NA,NA
"세전계속사업이익",245,16,1027
"법인세비용",-1,19,200
"계속영업이익",246,-3,826
"중단영업이익",-56,NA,NA
"당기순이익",190,-3,826
"지배주주순이익",185,-3,822
"비지배주주순이익",5,0,4
"자산",9581,8772,8729
"유동자산",5166,2885,3979
"재고자산",1785,1384,1154
"유동생물자산",NA,NA,NA
"유동금융자산",6,18,1
"매출채권및기타유동채권",1572,1246,1142
"당기법인세자산",NA,0,4
"계약자산",NA,NA,NA
"반품(환불)자산",NA,NA,NA
"배출권",NA,NA,NA
"기타유동자산",144,86,76
"현금및현금성자산",244,151,1602
"매각예정비유동자산및처분자산집단",1416,NA,NA
"비유동자산",4415,5887,4749
"유형자산",4189,4384,4366
"무형자산",75,73,77
"비유동생물자산",NA,NA,NA
"투자부동산",NA,NA,NA
"장기금융자산",22,21,21
"관계기업등지분관련투자자산",101,1381,279
"장기매출채권및기타비유동채권",NA,NA,NA
"이연법인세자산",21,27,7
"장기당기법인세자산",NA,NA,NA
"기타비유동자산",8,2,NA
"기타금융업자산",NA,NA,NA
"부채",5500,4810,3971
"유동부채",4522,3422,2980
"단기사채",NA,NA,NA
"단기차입금",851,1315,702
"유동성장기부채",419,420,504
"유동금융부채",11,28,85
"매입채무및기타유동채무",2881,1613,1483
"유동종업원급여충당부채",NA,NA,NA
"기타단기충당부채",NA,10,NA
"당기법인세부채",49,0,180
"계약부채",NA,NA,NA
"반품(환불)부채",NA,NA,NA
"배출부채",NA,NA,NA
"기타유동부채",83,37,26
"매각예정으로분류된처분자산집단에포함된부채",228,NA,NA
"비유동부채",978,1388,991
"사채",896,997,499
"장기차입금",13,203,367
"비유동금융부채",0,14,3
"장기매입채무및기타비유동채무",21,20,22
"비유동종업원급여충당부채",44,138,50
"기타장기충당부채",NA,2,2
"이연법인세부채",3,15,47
"장기당기법인세부채",NA,NA,NA
"기타비유동부채",NA,NA,NA
"기타금융업부채",NA,NA,NA
"자본",4081,3961,4758
"지배기업주주지분",4052,3935,4712
"자본금",1725,1725,1725
"신종자본증권",NA,NA,NA
"자본잉여금",436,436,436
"기타자본",-181,-181,-181
"기타포괄손익누계액",-31,-41,-30
"이익잉여금(결손금)",2103,1996,2762
"비지배주주지분",29,26,46
"영업활동으로인한현금흐름",420,-117,893
"당기순손익",190,-3,826
"법인세비용차감전계속사업이익",NA,NA,NA
"현금유출이없는비용등가산",727,664,1010
"퇴직급여",56,63,54
"종업원급여",NA,NA,NA
"주식보상비",NA,NA,NA
"감가상각비",422,391,422
"무형자산상각비",5,6,5
"계약부채전입액",NA,NA,NA
"반품(환불)부채전입액",NA,NA,NA
"배출부채전입액",NA,NA,NA
"기타의대손상각비",NA,NA,NA
"배당금지급",NA,NA,NA
"금융부채관련손실",NA,NA,NA
"사채상환손실",NA,NA,NA
"투자자산평가손실",NA,NA,NA
"자산재평가손실",NA,NA,NA
"지분법관련손실",NA,NA,NA
"종속기업관련손실",NA,NA,NA
"관계기업관련손익",2,NA,NA
"(현금유입이없는수익등차감)",111,194,971
"금융부채관련이익",NA,NA,NA
"사채상환이익",NA,NA,NA
"퇴직급여충당부채환입액",NA,NA,NA
"계약부채환입액",NA,NA,NA
"반품(환불)부채환입액",NA,NA,NA
"배출부채환입액",NA,NA,NA
"주식보상비환입",NA,NA,NA
"투자자산평가이익",NA,NA,NA
"자산재평가이익",NA,NA,NA
"지분법관련이익",NA,NA,NA
"종속회사관련이익",NA,NA,NA
"법인세수익",NA,NA,NA
"영업활동으로인한자산부채변동(운전자본변동)",-318,-438,72
"자산의감소(증가)",-735,835,350
"부채의증가(감소)",417,-1273,-279
"정부보조금등의변동",NA,NA,NA
"기타운전자본의변동",NA,NA,NA
"*영업에서창출된현금흐름",487,29,938
"기타영업활동으로인한현금흐름",-67,-146,-44
"이자수입",2,1,1
"이자지급(-)",-72,-88,-83
"배당금수입",33,NA,10
"배당금지급(-)",NA,NA,NA
"법인세환입",NA,NA,27
"법인세납부(-)",-30,-58,NA
"중단영업관련현금흐름",NA,NA,NA
"투자활동으로인한현금흐름",-588,-597,1421
"투자활동으로인한현금유입액",48,198,2034
"유동금융자산의감소",NA,NA,NA
"장기금융상품의감소",NA,NA,NA
"매도가능금융자산의감소",NA,NA,NA
"만기보유금융자산의감소",NA,NA,NA
"장기대여금의감소",NA,NA,NA
"파생상품의변동",NA,NA,NA
"기타비유동금융자산의감소",30,24,44
"관계기업등지분관련투자자산의감소",NA,NA,1949
"유형자산의감소",13,167,22
"무형자산의감소",5,6,NA
"생물자산의감소",NA,NA,NA
"투자부동산의감소",NA,NA,NA
"기타투자활동으로인한현금유입액",1,1,19
"(투자활동으로인한현금유출액)",636,795,613
"유동금융자산의증가",NA,NA,NA
"장기금융상품의증가",NA,NA,NA
"매도가능금융자산의증가",NA,NA,NA
"만기보유금융자산의증가",NA,NA,NA
"장기대여금의증가",NA,NA,NA
"기타비유동금융자산의증가",30,23,43
"관계기업등지분관련투자자산의증가",65,82,60
"유형자산의증가",461,682,505
"무형자산의증가",13,8,5
"생물자산의증가",NA,NA,NA
"투자부동산의증가",NA,NA,NA
"기타투자활동으로인한현금유출액",67,NA,NA
"기타투자활동으로인한현금흐름",NA,NA,NA
"재무활동으로인한현금흐름",-63,621,-866
"재무활동으로인한현금유입액",1260,1630,302
"사채의증가",498,498,NA
"차입금의증가",762,1132,302
"미지급금의증가",NA,NA,NA
"유동성장기부채의증가",NA,NA,NA
"기타금융부채의증가",NA,NA,NA
"기타부채의증가",NA,NA,NA
"유상증자",NA,NA,NA
"자기주식의처분",NA,NA,NA
"주식매입선택권의행사",NA,NA,NA
"자본구성항목의증가",NA,NA,NA
"기타재무활동으로인한현금유입액",NA,NA,NA
"(재무활동으로인한현금유출액)",1223,907,1117
"사채의감소",NA,NA,NA
"차입금의감소",667,470,894
"미지급금의감소",NA,NA,NA
"유동성장기부채의감소",500,420,207
"기타금융부채의감소",NA,17,17
"기타부채의감소",NA,NA,NA
"유상감자",NA,NA,NA
"자기주식의취득",NA,NA,NA
"자본구성항목의감소",56,NA,NA
"기타재무활동으로인한현금유출액",NA,NA,NA
"기타재무활동으로인한현금흐름",-100,-103,-51
"영업투자재무활동기타현금흐름",NA,NA,NA
"연결범위변동으로인한현금의증가",NA,NA,NA
"환율변동효과",-10,0,4
"현금및현금성자산의증가",-240,-94,1452
"기초현금및현금성자산",484,244,151
"기말현금및현금성자산",244,151,1602
