"","X2018.12","X2019.12","X2020.12"
"매출액",436,590,429
"매출원가",382,535,364
"매출총이익",54,55,66
"판매비와관리비",86,143,178
"인건비",31,56,67
"유무형자산상각비",2,5,5
"연구개발비",0,NA,NA
"광고선전비",0,0,0
"판매비",5,6,15
"관리비",47,77,91
"기타원가성비용",NA,NA,NA
"기타",NA,NA,NA
"영업이익",-32,-88,-113
"영업이익(발표기준)",-32,-88,-113
"금융수익",6,7,12
"이자수익",2,5,2
"배당금수익",NA,NA,NA
"외환이익",4,2,1
"대손충당금환입액",NA,NA,NA
"매출채권처분이익",NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산관련이익",NA,NA,NA
"금융자산처분이익",NA,NA,NA
"금융자산평가이익",NA,NA,0
"금융자산손상차손환입",NA,NA,NA
"파생상품이익",NA,NA,NA
"기타금융수익",NA,NA,8
"금융원가",9,20,44
"이자비용",8,19,43
"외환손실",2,1,2
"대손상각비",NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산관련손실",NA,NA,NA
"매출채권처분손실",NA,NA,NA
"금융자산처분손실",NA,NA,NA
"금융자산평가손실",NA,NA,0
"금융자산손상차손",NA,NA,NA
"파생상품손실",NA,NA,NA
"기타금융원가",NA,NA,NA
"기타수익",89,0,0
"재고자산감모손실환입",NA,NA,NA
"재고자산폐기(처분)이익",NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산평가이익",NA,NA,NA
"자산처분(폐기)이익",NA,0,0
"자산평가이익",NA,NA,NA
"자산손상차손환입",NA,NA,NA
"임대료수익",NA,NA,NA
"로열티수익",NA,NA,NA
"수수료수익",NA,NA,NA
"대손충당금환입",NA,NA,NA
"충당부채환입액",NA,NA,NA
"기타비용",2,53,20
"재고자산감모손실",NA,NA,NA
"재고자산폐기(처분)손실",NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산평가손실",NA,NA,NA
"자산처분(폐기)손실",0,0,0
"자산평가손실",NA,NA,NA
"자산손상차손",1,21,20
"기타대손상각비",NA,31,NA
"충당부채전입액",NA,0,NA
"종속기업,공동지배기업및관계기업관련손익",-13,-13,-9
"지분법손익",-13,-13,-9
"종속기업,공동지배기업및관계기업투자주식처분손익",NA,NA,NA
"종속기업,공동지배기업및관계기업투자주식손상관련손익",NA,NA,NA
"세전계속사업이익",39,-167,-174
"법인세비용",-2,NA,NA
"계속영업이익",41,-167,-174
"중단영업이익",1,-4,NA
"당기순이익",42,-172,-174
"지배주주순이익",46,-164,-169
"비지배주주순이익",-4,-8,-5
"자산",1077,1395,1219
"유동자산",388,620,379
"재고자산",43,33,32
"유동생물자산",NA,NA,NA
"유동금융자산",41,63,159
"매출채권및기타유동채권",133,85,46
"당기법인세자산",0,1,0
"계약자산",NA,NA,NA
"반품(환불)자산",3,4,0
"배출권",NA,NA,NA
"기타유동자산",1,3,1
"현금및현금성자산",167,432,139
"매각예정비유동자산및처분자산집단",NA,NA,NA
"비유동자산",688,775,841
"유형자산",91,92,88
"무형자산",475,564,592
"비유동생물자산",NA,NA,NA
"투자부동산",NA,NA,NA
"장기금융자산",38,37,99
"관계기업등지분관련투자자산",84,79,58
"장기매출채권및기타비유동채권",NA,NA,NA
"이연법인세자산",NA,NA,NA
"장기당기법인세자산",NA,NA,NA
"기타비유동자산",NA,4,4
"기타금융업자산",NA,NA,NA
"부채",262,634,216
"유동부채",237,601,183
"단기사채",89,484,129
"단기차입금",NA,NA,NA
"유동성장기부채",NA,NA,NA
"유동금융부채",NA,2,2
"매입채무및기타유동채무",144,111,47
"유동종업원급여충당부채",NA,NA,NA
"기타단기충당부채",NA,NA,NA
"당기법인세부채",0,NA,NA
"계약부채",NA,NA,NA
"반품(환불)부채",3,4,1
"배출부채",NA,NA,NA
"기타유동부채",1,0,4
"매각예정으로분류된처분자산집단에포함된부채",NA,NA,NA
"비유동부채",25,33,33
"사채",NA,NA,NA
"장기차입금",NA,NA,NA
"비유동금융부채",NA,2,2
"장기매입채무및기타비유동채무",2,2,2
"비유동종업원급여충당부채",23,29,29
"기타장기충당부채",NA,NA,NA
"이연법인세부채",0,NA,NA
"장기당기법인세부채",NA,NA,NA
"기타비유동부채",NA,NA,NA
"기타금융업부채",NA,NA,NA
"자본",814,761,1003
"지배기업주주지분",687,639,894
"자본금",122,125,135
"신종자본증권",NA,NA,NA
"자본잉여금",959,1063,1452
"기타자본",1,2,-1
"기타포괄손익누계액",1,15,43
"이익잉여금(결손금)",-398,-565,-735
"비지배주주지분",128,122,110
"영업활동으로인한현금흐름",-35,-55,-117
