"","X2018.12","X2019.12","X2020.12"
"매출액",547,513,504
"매출원가",234,269,310
"매출총이익",313,243,194
"판매비와관리비",235,235,302
"인건비",72,57,45
"유무형자산상각비",3,5,9
"연구개발비",18,3,10
"광고선전비",27,1,1
"판매비",68,94,56
"관리비",46,74,181
"기타원가성비용",NA,NA,NA
"기타",1,0,0
"영업이익",78,8,-108
"영업이익(발표기준)",78,8,-108
"금융수익",1,3,0
"이자수익",1,1,0
"배당금수익",NA,NA,NA
"외환이익",NA,NA,NA
"대손충당금환입액",NA,NA,NA
"매출채권처분이익",NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산관련이익",NA,NA,NA
"금융자산처분이익",1,0,NA
"금융자산평가이익",NA,NA,NA
"금융자산손상차손환입",NA,NA,NA
"파생상품이익",NA,NA,NA
"기타금융수익",NA,3,NA
"금융원가",11,6,9
"이자비용",7,6,7
"외환손실",NA,NA,NA
"대손상각비",NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산관련손실",NA,NA,NA
"매출채권처분손실",NA,NA,NA
"금융자산처분손실",NA,NA,NA
"금융자산평가손실",NA,NA,NA
"금융자산손상차손",NA,NA,NA
"파생상품손실",NA,NA,NA
"기타금융원가",4,NA,2
"기타수익",1,2,1
"재고자산감모손실환입",NA,NA,NA
"재고자산폐기(처분)이익",NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산평가이익",NA,NA,NA
"자산처분(폐기)이익",0,0,0
"자산평가이익",NA,NA,NA
"자산손상차손환입",NA,NA,NA
"임대료수익",1,0,NA
"로열티수익",NA,NA,NA
"수수료수익",NA,NA,NA
"대손충당금환입",NA,NA,NA
"충당부채환입액",NA,NA,NA
"기타비용",1,1,5
"재고자산감모손실",NA,NA,NA
"재고자산폐기(처분)손실",NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산평가손실",NA,NA,NA
"자산처분(폐기)손실",0,0,3
"자산평가손실",NA,NA,NA
"자산손상차손",NA,NA,NA
"기타대손상각비",NA,NA,NA
"충당부채전입액",NA,NA,NA
"종속기업,공동지배기업및관계기업관련손익",NA,NA,NA
"지분법손익",NA,NA,NA
"종속기업,공동지배기업및관계기업투자주식처분손익",NA,NA,NA
"종속기업,공동지배기업및관계기업투자주식손상관련손익",NA,NA,NA
"세전계속사업이익",69,6,-121
"법인세비용",10,2,-28
"계속영업이익",58,4,-93
"중단영업이익",NA,NA,NA
"당기순이익",58,4,-93
"지배주주순이익",58,4,-93
"비지배주주순이익",NA,NA,NA
"자산",857,964,972
"유동자산",614,523,440
"재고자산",98,110,136
"유동생물자산",NA,NA,NA
"유동금융자산",14,13,16
"매출채권및기타유동채권",360,347,264
"당기법인세자산",0,0,7
"계약자산",NA,NA,NA
"반품(환불)자산",NA,NA,NA
"배출권",NA,NA,NA
"기타유동자산",16,2,2
"현금및현금성자산",126,52,16
"매각예정비유동자산및처분자산집단",NA,NA,NA
"비유동자산",243,441,531
"유형자산",174,334,400
"무형자산",13,12,20
"비유동생물자산",NA,NA,NA
"투자부동산",NA,NA,NA
"장기금융자산",28,29,26
"관계기업등지분관련투자자산",NA,NA,NA
"장기매출채권및기타비유동채권",NA,NA,NA
"이연법인세자산",28,43,71
"장기당기법인세자산",NA,NA,NA
"기타비유동자산",NA,23,14
"기타금융업자산",NA,NA,NA
"부채",279,384,288
"유동부채",215,283,230
"단기사채",NA,NA,NA
"단기차입금",80,173,98
"유동성장기부채",15,8,NA
"유동금융부채",NA,4,5
"매입채무및기타유동채무",95,79,109
"유동종업원급여충당부채",NA,NA,NA
"기타단기충당부채",9,13,17
"당기법인세부채",14,6,NA
"계약부채",NA,NA,NA
"반품(환불)부채",NA,NA,NA
"배출부채",NA,NA,NA
"기타유동부채",3,2,2
"매각예정으로분류된처분자산집단에포함된부채",NA,NA,NA
"비유동부채",64,100,58
"사채",NA,NA,NA
"장기차입금",56,82,40
"비유동금융부채",NA,9,10
"장기매입채무및기타비유동채무",1,1,1
"비유동종업원급여충당부채",7,8,6
"기타장기충당부채",NA,NA,NA
"이연법인세부채",NA,NA,NA
"장기당기법인세부채",NA,NA,NA
"기타비유동부채",NA,NA,NA
"기타금융업부채",NA,NA,NA
"자본",578,580,684
"지배기업주주지분",578,580,684
"자본금",30,30,40
"신종자본증권",NA,NA,NA
"자본잉여금",285,285,473
"기타자본",NA,NA,NA
"기타포괄손익누계액",7,6,6
"이익잉여금(결손금)",257,260,166
"비지배주주지분",NA,NA,NA
