"","X2016.12","X2017.12","X2018.12"
"매출액",120,144,173
"매출원가",67,90,94
"매출총이익",54,53,79
"판매비와관리비",43,46,63
"인건비",21,25,30
"유무형자산상각비",2,2,5
"연구개발비",10,8,12
"광고선전비",0,0,0
"판매비",2,2,4
"관리비",8,9,12
"기타원가성비용",NA,NA,NA
"기타",NA,NA,NA
"영업이익",11,7,15
"금융수익",3,2,3
"이자수익",1,1,1
"배당금수익",NA,NA,NA
"외환이익",2,0,1
"대손충당금환입액",NA,NA,NA
"매출채권처분이익",NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산관련이익",NA,NA,NA
"금융자산처분이익",NA,NA,NA
"금융자산평가이익",NA,NA,NA
"금융자산손상차손환입",NA,NA,NA
"파생상품이익",NA,1,NA
"기타금융수익",NA,NA,NA
"금융원가",3,4,10
"이자비용",1,2,6
"외환손실",2,3,1
"대손상각비",NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산관련손실",NA,NA,NA
"매출채권처분손실",NA,NA,NA
"금융자산처분손실",NA,NA,NA
"금융자산평가손실",NA,NA,NA
"금융자산손상차손",NA,NA,NA
"파생상품손실",NA,NA,4
"기타금융원가",NA,NA,NA
"기타수익",2,1,2
"재고자산감모손실환입",NA,NA,NA
"재고자산폐기(처분)이익",NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산평가이익",NA,NA,NA
"자산처분(폐기)이익",0,0,NA
"자산평가이익",NA,NA,NA
"자산손상차손환입",NA,NA,NA
"임대료수익",NA,NA,NA
"로열티수익",NA,NA,NA
"수수료수익",NA,NA,NA
"대손충당금환입",1,NA,NA
"충당부채환입액",NA,NA,NA
"기타비용",0,0,1
"재고자산감모손실",NA,NA,NA
"재고자산폐기(처분)손실",NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산평가손실",NA,NA,NA
"자산처분(폐기)손실",0,0,1
"자산평가손실",NA,NA,NA
"자산손상차손",NA,NA,NA
"기타대손상각비",NA,NA,NA
"충당부채전입액",NA,NA,NA
"종속기업,공동지배기업및관계기업관련손익",NA,NA,NA
"지분법손익",NA,NA,NA
"종속기업,공동지배기업및관계기업투자주식처분손익",NA,NA,NA
"종속기업,공동지배기업및관계기업투자주식손상관련손익",NA,NA,NA
"세전계속사업이익",12,6,9
"법인세비용",0,-1,-1
"계속영업이익",12,8,10
"중단영업이익",NA,NA,NA
"당기순이익",12,8,10
"자산",271,355,389
"유동자산",135,173,144
"재고자산",16,29,30
"유동생물자산",NA,NA,NA
"유동금융자산",69,64,82
"매출채권및기타유동채권",27,29,23
"당기법인세자산",NA,0,NA
"계약자산",NA,NA,NA
"반품(환불)자산",NA,NA,NA
"배출권",NA,NA,NA
"기타유동자산",1,1,4
"현금및현금성자산",22,50,6
"매각예정비유동자산및처분자산집단",NA,NA,NA
"비유동자산",137,181,245
"유형자산",106,152,218
"무형자산",27,25,21
"비유동생물자산",NA,NA,NA
"투자부동산",NA,NA,NA
"장기금융자산",1,NA,NA
