"","X2016.12","X2017.12","X2018.12"
"매출액",166,241,621
"매출원가",NA,NA,NA
"매출총이익",166,241,621
"판매비와관리비",98,162,452
"인건비",59,76,103
"유무형자산상각비",1,4,9
"연구개발비",3,5,5
"광고선전비",NA,16,179
"판매비",10,8,20
"관리비",25,44,58
"기타원가성비용",NA,8,78
"기타",0,0,1
"영업이익",68,79,169
"금융수익",5,10,15
"이자수익",5,7,7
"배당금수익",NA,NA,NA
"외환이익",NA,NA,NA
"대손충당금환입액",NA,NA,NA
"매출채권처분이익",NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산관련이익",NA,NA,NA
"금융자산처분이익",NA,NA,NA
"금융자산평가이익",0,2,NA
"금융자산손상차손환입",NA,NA,NA
"파생상품이익",NA,NA,NA
"기타금융수익",NA,1,0
"금융원가",NA,0,1
"이자비용",NA,NA,0
"외환손실",NA,NA,NA
"대손상각비",NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산관련손실",NA,NA,1
"매출채권처분손실",NA,NA,NA
"금융자산처분손실",NA,NA,NA
"금융자산평가손실",NA,0,NA
"금융자산손상차손",NA,NA,NA
"파생상품손실",NA,NA,NA
"기타금융원가",NA,NA,NA
"기타수익",12,15,16
"재고자산감모손실환입",NA,NA,NA
"재고자산폐기(처분)이익",NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산평가이익",NA,NA,NA
"자산처분(폐기)이익",0,NA,0
"자산평가이익",NA,NA,NA
"자산손상차손환입",NA,NA,NA
"임대료수익",NA,NA,NA
"로열티수익",NA,NA,NA
"수수료수익",NA,NA,NA
"대손충당금환입",NA,NA,NA
"충당부채환입액",NA,NA,NA
"기타비용",0,8,3
"재고자산감모손실",NA,NA,NA
"재고자산폐기(처분)손실",NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산평가손실",NA,NA,NA
"자산처분(폐기)손실",NA,NA,NA
"자산평가손실",NA,NA,NA
"자산손상차손",NA,NA,NA
"기타대손상각비",NA,NA,NA
"충당부채전입액",NA,NA,NA
"종속기업,공동지배기업및관계기업관련손익",NA,NA,NA
"지분법손익",NA,NA,NA
"종속기업,공동지배기업및관계기업투자주식처분손익",NA,NA,NA
"종속기업,공동지배기업및관계기업투자주식손상관련손익",NA,NA,NA
"세전계속사업이익",85,96,196
"법인세비용",18,19,36
"계속영업이익",67,76,160
"중단영업이익",NA,NA,NA
"당기순이익",67,76,160
"지배주주순이익",67,77,154
"비지배주주순이익",NA,-1,6
"자산",799,931,1174
"유동자산",789,787,1029
"재고자산",NA,7,43
"유동생물자산",NA,NA,NA
"유동금융자산",566,435,559
"매출채권및기타유동채권",123,156,221
"당기법인세자산",0,NA,0
"계약자산",NA,NA,NA
"반품(환불)자산",NA,NA,NA
"배출권",NA,NA,NA
"기타유동자산",32,52,77
"현금및현금성자산",68,138,130
"매각예정비유동자산및처분자산집단",NA,NA,NA
"비유동자산",10,144,144
"유형자산",2,15,15
"무형자산",1,114,109
"비유동생물자산",NA,NA,NA
"투자부동산",NA,NA,NA
"장기금융자산",7,15,21
"관계기업등지분관련투자자산",NA,NA,NA
"장기매출채권및기타비유동채권",NA,NA,NA
"이연법인세자산",0,0,0
"장기당기법인세자산",NA,NA,NA
"기타비유동자산",NA,NA,NA
"기타금융업자산",NA,NA,NA
"부채",104,210,295
"유동부채",104,143,243
"단기사채",NA,NA,NA
"단기차입금",NA,NA,NA
"유동성장기부채",NA,NA,NA
"유동금융부채",NA,7,14
"매입채무및기타유동채무",85,120,198
"유동종업원급여충당부채",NA,NA,NA
"기타단기충당부채",NA,NA,NA
"당기법인세부채",10,14,26
"계약부채",NA,NA,NA
"반품(환불)부채",NA,NA,NA
"배출부채",NA,NA,NA
"기타유동부채",9,2,5
"매각예정으로분류된처분자산집단에포함된부채",NA,NA,NA
"비유동부채",NA,67,52
"사채",NA,NA,NA
"장기차입금",NA,NA,NA
"비유동금융부채",NA,61,47
"장기매입채무및기타비유동채무",NA,NA,NA
"비유동종업원급여충당부채",NA,NA,NA
"기타장기충당부채",NA,NA,NA
"이연법인세부채",NA,6,5
"장기당기법인세부채",NA,NA,NA
"기타비유동부채",NA,NA,NA
"기타금융업부채",NA,NA,NA
"자본",695,721,879
"지배기업주주지분",695,712,867
"자본금",8,8,16
"신종자본증권",NA,NA,NA
"자본잉여금",384,330,326
"기타자본",-12,-1,15
"기타포괄손익누계액",NA,-1,1
"이익잉여금(결손금)",315,375,509
"비지배주주지분",NA,9,12
"영업활동으로인한현금흐름",58,72,145
"당기순손익",67,76,160
"법인세비용차감전계속사업이익",NA,NA,NA
"현금유출이없는비용등가산",25,42,65
"퇴직급여",NA,NA,NA
"종업원급여",NA,NA,NA
"주식보상비",6,12,17
"감가상각비",1,1,2
"무형자산상각비",0,3,7
"계약부채전입액",NA,NA,NA
"반품(환불)부채전입액",NA,NA,NA
"배출부채전입액",NA,NA,NA
"기타의대손상각비",NA,NA,NA
"배당금지급",NA,NA,NA
"금융부채관련손실",NA,NA,NA
"사채상환손실",NA,NA,NA
"투자자산평가손실",NA,NA,NA
"자산재평가손실",NA,NA,NA
"지분법관련손실",NA,NA,NA
"종속기업관련손실",NA,NA,NA
"관계기업관련손익",NA,NA,NA
"(현금유입이없는수익등차감)",5,11,16
"금융부채관련이익",NA,1,0
"사채상환이익",NA,NA,NA
"퇴직급여충당부채환입액",NA,NA,NA
"계약부채환입액",NA,NA,NA
"반품(환불)부채환입액",NA,NA,NA
"배출부채환입액",NA,NA,NA
"주식보상비환입",NA,NA,NA
"투자자산평가이익",NA,NA,NA
"자산재평가이익",NA,NA,NA
"지분법관련이익",NA,NA,NA
"종속회사관련이익",NA,NA,NA
"법인세수익",NA,NA,NA
"영업활동으로인한자산부채변동(운전자본변동)",-6,-23,-48
"자산의감소(증가)",13,-45,-126
"부채의증가(감소)",-19,22,78
"정부보조금등의변동",NA,NA,NA
"기타운전자본의변동",NA,NA,NA
"*영업에서창출된현금흐름",81,85,161
"기타영업활동으로인한현금흐름",-23,-12,-16
"이자수입",2,8,10
