"","X2018.12","X2019.12","X2020.12"
"매출액",10161,9449,9317
"매출원가",NA,NA,NA
"매출총이익",10161,9449,9317
"판매비와관리비",10036,9335,9138
"인건비",3290,3435,3182
"유무형자산상각비",46,191,192
"연구개발비",0,0,4
"광고선전비",24,23,27
"판매비",164,157,192
"관리비",769,597,630
"기타원가성비용",NA,NA,NA
"기타",5743,4932,4912
"영업이익",125,113,179
"영업이익(발표기준)",125,113,179
"금융수익",15,18,12
"이자수익",15,16,10
"배당금수익",0,0,0
"외환이익",0,0,0
"대손충당금환입액",NA,NA,NA
"매출채권처분이익",NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산관련이익",NA,NA,NA
"금융자산처분이익",NA,1,NA
"금융자산평가이익",1,1,1
"금융자산손상차손환입",NA,NA,NA
"파생상품이익",NA,NA,NA
"기타금융수익",NA,NA,NA
"금융원가",0,18,14
"이자비용",0,18,13
"외환손실",0,0,0
"대손상각비",NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산관련손실",NA,NA,NA
"매출채권처분손실",NA,NA,NA
"금융자산처분손실",NA,NA,NA
"금융자산평가손실",NA,NA,NA
"금융자산손상차손",NA,NA,NA
"파생상품손실",NA,NA,NA
"기타금융원가",NA,NA,NA
"기타수익",37,9,14
"재고자산감모손실환입",NA,NA,NA
"재고자산폐기(처분)이익",NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산평가이익",NA,NA,NA
"자산처분(폐기)이익",34,0,4
"자산평가이익",NA,NA,NA
"자산손상차손환입",NA,NA,4
"임대료수익",NA,NA,NA
"로열티수익",NA,NA,NA
"수수료수익",NA,NA,NA
"대손충당금환입",NA,NA,NA
"충당부채환입액",NA,5,2
"기타비용",16,23,30
"재고자산감모손실",NA,NA,NA
"재고자산폐기(처분)손실",NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산평가손실",NA,NA,NA
"자산처분(폐기)손실",1,1,0
"자산평가손실",NA,NA,NA
"자산손상차손",2,NA,25
"기타대손상각비",NA,NA,NA
"충당부채전입액",NA,NA,NA
"종속기업,공동지배기업및관계기업관련손익",NA,NA,NA
"지분법손익",NA,NA,NA
"종속기업,공동지배기업및관계기업투자주식처분손익",NA,NA,NA
"종속기업,공동지배기업및관계기업투자주식손상관련손익",NA,NA,NA
"세전계속사업이익",161,99,160
"법인세비용",47,24,47
"계속영업이익",114,75,113
"중단영업이익",NA,NA,NA
"당기순이익",114,75,113
"지배주주순이익",113,74,107
"비지배주주순이익",1,1,6
"자산",3503,3781,3849
"유동자산",2955,2710,2899
"재고자산",245,214,179
"유동생물자산",NA,NA,NA
"유동금융자산",276,371,411
"매출채권및기타유동채권",1740,1525,1485
"당기법인세자산",NA,NA,NA
"계약자산",NA,NA,NA
"반품(환불)자산",NA,NA,NA
"배출권",NA,NA,NA
"기타유동자산",82,71,69
"현금및현금성자산",612,528,754
"매각예정비유동자산및처분자산집단",NA,NA,NA
"비유동자산",548,1071,950
"유형자산",182,768,632
"무형자산",95,121,97
"비유동생물자산",NA,NA,NA
"투자부동산",15,15,18
"장기금융자산",63,66,67
"관계기업등지분관련투자자산",NA,NA,NA
"장기매출채권및기타비유동채권",136,35,59
"이연법인세자산",57,57,58
"장기당기법인세자산",NA,NA,NA
"기타비유동자산",NA,9,19
"기타금융업자산",NA,NA,NA
"부채",1886,2140,2152
"유동부채",1786,1630,1757
"단기사채",NA,NA,NA
"단기차입금",NA,NA,NA
"유동성장기부채",0,0,0
"유동금융부채",NA,NA,NA
"매입채무및기타유동채무",1503,1339,1425
"유동종업원급여충당부채",NA,NA,NA
"기타단기충당부채",13,5,9
"당기법인세부채",16,10,39
"계약부채",NA,NA,NA
"반품(환불)부채",NA,NA,NA
"배출부채",NA,NA,NA
"기타유동부채",255,276,283
"매각예정으로분류된처분자산집단에포함된부채",NA,NA,NA
"비유동부채",99,510,395
"사채",NA,NA,NA
"장기차입금",1,1,0
"비유동금융부채",NA,NA,NA
"장기매입채무및기타비유동채무",5,425,312
"비유동종업원급여충당부채",75,10,23
