"","X2016.12","X2017.12","X2018.12"
"매출액",6943,7249,7887
"매출원가",5163,5698,6326
"매출총이익",1780,1551,1562
"판매비와관리비",1017,1006,1019
"인건비",518,498,546
"유무형자산상각비",79,48,46
"연구개발비",NA,NA,NA
"광고선전비",NA,NA,NA
"판매비",288,326,263
"관리비",76,84,104
"기타원가성비용",NA,NA,NA
"기타",56,50,60
"영업이익",764,545,543
"금융수익",270,249,207
"이자수익",11,12,9
"배당금수익",0,0,NA
"외환이익",246,229,172
"대손충당금환입액",NA,NA,NA
"매출채권처분이익",NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산관련이익",NA,NA,NA
"금융자산처분이익",NA,1,NA
"금융자산평가이익",NA,NA,NA
"금융자산손상차손환입",NA,NA,NA
"파생상품이익",13,8,27
"기타금융수익",NA,NA,NA
"금융원가",413,365,289
"이자비용",112,99,100
"외환손실",276,250,182
"대손상각비",NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산관련손실",NA,NA,NA
"매출채권처분손실",NA,NA,NA
"금융자산처분손실",NA,NA,NA
"금융자산평가손실",NA,NA,4
"금융자산손상차손",NA,NA,NA
"파생상품손실",23,14,0
"기타금융원가",3,2,3
"기타수익",31,21,36
"재고자산감모손실환입",NA,NA,NA
"재고자산폐기(처분)이익",NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산평가이익",NA,NA,NA
"자산처분(폐기)이익",0,1,1
"자산평가이익",NA,NA,NA
"자산손상차손환입",NA,NA,NA
"임대료수익",0,0,0
"로열티수익",NA,NA,NA
"수수료수익",1,1,1
"대손충당금환입",NA,NA,NA
"충당부채환입액",NA,NA,NA
"기타비용",22,21,48
"재고자산감모손실",NA,NA,NA
"재고자산폐기(처분)손실",NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산평가손실",NA,NA,NA
"자산처분(폐기)손실",4,9,24
"자산평가손실",NA,NA,NA
"자산손상차손",NA,NA,NA
"기타대손상각비",NA,NA,NA
"충당부채전입액",NA,NA,NA
"종속기업,공동지배기업및관계기업관련손익",7,12,14
"지분법손익",7,12,14
"종속기업,공동지배기업및관계기업투자주식처분손익",NA,NA,NA
"종속기업,공동지배기업및관계기업투자주식손상관련손익",NA,NA,NA
"세전계속사업이익",636,442,463
"법인세비용",214,95,85
"계속영업이익",422,347,378
"중단영업이익",NA,NA,NA
"당기순이익",422,347,378
"지배주주순이익",432,354,381
"비지배주주순이익",-10,-7,-3
"자산",8295,8651,8725
"유동자산",3481,3775,3916
"재고자산",1557,1666,2014
"유동생물자산",NA,NA,NA
"유동금융자산",172,205,60
"매출채권및기타유동채권",1217,1309,1160
"당기법인세자산",5,5,6
"계약자산",NA,NA,NA
"반품(환불)자산",NA,NA,NA
"배출권",NA,NA,NA
"기타유동자산",36,35,44
"현금및현금성자산",493,554,633
"매각예정비유동자산및처분자산집단",NA,NA,NA
"비유동자산",4814,4876,4809
"유형자산",4315,4417,4393
"무형자산",273,216,178
"비유동생물자산",NA,NA,NA
"투자부동산",35,35,35
"장기금융자산",87,112,111
"관계기업등지분관련투자자산",66,70,48
"장기매출채권및기타비유동채권",NA,NA,NA
"이연법인세자산",39,25,28
"장기당기법인세자산",NA,NA,NA
"기타비유동자산",NA,0,15
"기타금융업자산",NA,NA,NA
"부채",4753,4870,4613
"유동부채",3006,3246,3767
"단기사채",NA,NA,NA
"단기차입금",1652,1873,1852
"유동성장기부채",237,215,827
"유동금융부채",1,12,14
"매입채무및기타유동채무",1002,1100,1011
"유동종업원급여충당부채",NA,NA,NA
"기타단기충당부채",NA,NA,NA
"당기법인세부채",77,28,43
"계약부채",NA,NA,NA
"반품(환불)부채",NA,NA,NA
"배출부채",NA,NA,NA
"기타유동부채",38,18,19
"매각예정으로분류된처분자산집단에포함된부채",NA,NA,NA
"비유동부채",1747,1624,847
"사채",NA,NA,NA
"장기차입금",1122,988,172
"비유동금융부채",1,46,34
"장기매입채무및기타비유동채무",NA,NA,NA
"비유동종업원급여충당부채",173,139,211
"기타장기충당부채",NA,NA,NA
"이연법인세부채",450,450,430
