"","X2016.12","X2017.12","X2018.12"
"매출액",170,120,80
"매출원가",148,87,35
"매출총이익",22,33,44
"판매비와관리비",100,21,55
"인건비",21,6,14
"유무형자산상각비",12,1,2
"연구개발비",NA,NA,NA
"광고선전비",0,0,4
"판매비",47,0,6
"관리비",21,14,30
"기타원가성비용",NA,NA,NA
"기타",NA,NA,NA
"영업이익",-78,12,-11
"금융수익",0,0,3
"이자수익",0,0,1
"배당금수익",NA,NA,0
"외환이익",NA,NA,NA
"대손충당금환입액",NA,NA,NA
"매출채권처분이익",NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산관련이익",NA,NA,NA
"금융자산처분이익",NA,NA,NA
"금융자산평가이익",NA,NA,NA
"금융자산손상차손환입",NA,NA,NA
"파생상품이익",NA,NA,NA
"기타금융수익",NA,NA,2
"금융원가",5,15,13
"이자비용",5,15,13
"외환손실",NA,NA,NA
"대손상각비",NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산관련손실",NA,NA,NA
"매출채권처분손실",NA,NA,NA
"금융자산처분손실",NA,NA,NA
"금융자산평가손실",NA,NA,NA
"금융자산손상차손",NA,NA,NA
"파생상품손실",NA,NA,NA
"기타금융원가",NA,NA,NA
"기타수익",2,3,17
"재고자산감모손실환입",NA,NA,NA
"재고자산폐기(처분)이익",NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산평가이익",NA,1,0
"자산처분(폐기)이익",0,1,15
"자산평가이익",NA,NA,NA
"자산손상차손환입",NA,NA,NA
"임대료수익",NA,NA,NA
"로열티수익",NA,NA,NA
"수수료수익",NA,1,0
"대손충당금환입",NA,NA,NA
"충당부채환입액",NA,NA,NA
"기타비용",97,11,40
"재고자산감모손실",NA,NA,NA
"재고자산폐기(처분)손실",7,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산평가손실",NA,0,6
"자산처분(폐기)손실",4,0,3
"자산평가손실",NA,NA,NA
"자산손상차손",30,9,22
"기타대손상각비",54,1,7
"충당부채전입액",NA,NA,NA
"종속기업,공동지배기업및관계기업관련손익",-49,2,-5
"지분법손익",-49,2,-5
"종속기업,공동지배기업및관계기업투자주식처분손익",NA,NA,NA
"종속기업,공동지배기업및관계기업투자주식손상관련손익",NA,NA,NA
"세전계속사업이익",-227,-10,-50
"법인세비용",NA,0,NA
"계속영업이익",-227,-10,-50
"중단영업이익",NA,NA,NA
"당기순이익",-227,-10,-50
"지배주주순이익",-227,-10,-49
"비지배주주순이익",NA,NA,-1
"자산",179,272,380
"유동자산",122,179,242
"재고자산",1,5,16
"유동생물자산",NA,NA,NA
"유동금융자산",NA,59,53
"매출채권및기타유동채권",81,39,22
"당기법인세자산",0,0,0
"계약자산",NA,NA,NA
"반품(환불)자산",NA,NA,NA
"배출권",NA,NA,NA
"기타유동자산",15,22,25
"현금및현금성자산",26,53,126
"매각예정비유동자산및처분자산집단",NA,NA,NA
"비유동자산",57,94,138
"유형자산",13,13,1
"무형자산",20,26,8
"비유동생물자산",NA,NA,NA
"투자부동산",NA,NA,81
"장기금융자산",3,32,18
"관계기업등지분관련투자자산",21,22,30
"장기매출채권및기타비유동채권",NA,NA,NA
"이연법인세자산",NA,NA,NA
"장기당기법인세자산",NA,NA,NA
"기타비유동자산",NA,NA,NA
"기타금융업자산",NA,NA,NA
"부채",153,212,178
"유동부채",77,207,122
"단기사채",1,154,98
"단기차입금",7,NA,0
"유동성장기부채",1,18,NA
"유동금융부채",NA,NA,NA
"매입채무및기타유동채무",65,33,15
"유동종업원급여충당부채",NA,NA,NA
"기타단기충당부채",NA,NA,NA
"당기법인세부채",NA,NA,0
"계약부채",NA,NA,NA
"반품(환불)부채",NA,NA,NA
"배출부채",NA,NA,NA
"기타유동부채",3,2,9
"매각예정으로분류된처분자산집단에포함된부채",NA,NA,NA
"비유동부채",76,5,55
"사채",64,NA,NA
"장기차입금",0,NA,54
"비유동금융부채",NA,NA,NA
"장기매입채무및기타비유동채무",12,NA,NA
"비유동종업원급여충당부채",1,0,1
"기타장기충당부채",NA,NA,NA
"이연법인세부채",NA,4,NA
"장기당기법인세부채",NA,NA,NA
"기타비유동부채",NA,NA,NA
"기타금융업부채",NA,NA,NA
"자본",26,60,203
"지배기업주주지분",26,60,203
"자본금",293,33,86
"신종자본증권",NA,NA,NA
"자본잉여금",28,332,168
"기타자본",-3,-4,-4
"기타포괄손익누계액",2,2,2
"이익잉여금(결손금)",-293,-303,-49
"비지배주주지분",NA,NA,NA
"영업활동으로인한현금흐름",-65,-9,-36
"당기순손익",-227,-10,-50
"법인세비용차감전계속사업이익",NA,NA,NA
"현금유출이없는비용등가산",209,27,66
"퇴직급여",1,0,1
"종업원급여",NA,NA,NA
"주식보상비",NA,NA,NA
"감가상각비",9,1,2
"무형자산상각비",3,NA,NA
"계약부채전입액",NA,NA,NA
"반품(환불)부채전입액",NA,NA,NA
"배출부채전입액",NA,NA,NA
"기타의대손상각비",54,1,7
"배당금지급",NA,NA,NA
"금융부채관련손실",NA,NA,NA
"사채상환손실",NA,NA,NA
"투자자산평가손실",NA,NA,NA
"자산재평가손실",NA,NA,NA
"지분법관련손실",49,NA,5
"종속기업관련손실",NA,NA,NA
"관계기업관련손익",NA,NA,NA
"(현금유입이없는수익등차감)",1,3,23
"금융부채관련이익",NA,NA,NA
"사채상환이익",NA,NA,2
"퇴직급여충당부채환입액",NA,NA,NA
"계약부채환입액",NA,NA,NA
"반품(환불)부채환입액",NA,NA,NA
"배출부채환입액",NA,NA,NA
"주식보상비환입",NA,NA,NA
"투자자산평가이익",NA,NA,NA
"자산재평가이익",NA,NA,NA
"지분법관련이익",NA,2,NA
"종속회사관련이익",NA,NA,NA
"법인세수익",NA,NA,NA
"영업활동으로인한자산부채변동(운전자본변동)",-41,-17,-22
"자산의감소(증가)",-95,29,-19
"부채의증가(감소)",55,-46,-3
"정부보조금등의변동",NA,NA,NA
"기타운전자본의변동",NA,NA,NA
"*영업에서창출된현금흐름",-61,-3,-29
"기타영업활동으로인한현금흐름",-5,-6,-8
"이자수입",0,0,1
"이자지급(-)",-5,-6,-8
"배당금수입",NA,NA,0
"배당금지급(-)",NA,NA,NA
"법인세환입",NA,NA,0
"법인세납부(-)",NA,NA,NA
"중단영업관련현금흐름",NA,NA,NA
"투자활동으로인한현금흐름",-4,-103,-56
"투자활동으로인한현금유입액",1,0,77
"유동금융자산의감소",NA,NA,34
"장기금융상품의감소",NA,NA,NA
"매도가능금융자산의감소",NA,NA,30
"만기보유금융자산의감소",NA,NA,NA
"장기대여금의감소",NA,NA,NA
"파생상품의변동",NA,NA,NA
"기타비유동금융자산의감소",NA,NA,NA
"관계기업등지분관련투자자산의감소",NA,NA,NA
"유형자산의감소",0,0,1
"무형자산의감소",NA,NA,10
"생물자산의감소",NA,NA,NA
"투자부동산의감소",NA,NA,NA
"기타투자활동으로인한현금유입액",1,0,1
"(투자활동으로인한현금유출액)",4,103,133
"유동금융자산의증가",1,88,22
"장기금융상품의증가",NA,NA,NA
"매도가능금융자산의증가",NA,NA,15
"만기보유금융자산의증가",NA,NA,NA
"장기대여금의증가",NA,NA,NA
"기타비유동금융자산의증가",NA,NA,NA
"관계기업등지분관련투자자산의증가",NA,NA,13
"유형자산의증가",3,1,2
"무형자산의증가",0,15,8
"생물자산의증가",NA,NA,NA
"투자부동산의증가",NA,NA,71
"기타투자활동으로인한현금유출액",NA,NA,2
"기타투자활동으로인한현금흐름",NA,NA,NA
"재무활동으로인한현금흐름",65,139,165
"재무활동으로인한현금유입액",68,154,200
"사채의증가",NA,142,50
"차입금의증가",33,NA,55
"미지급금의증가",NA,NA,NA
"유동성장기부채의증가",NA,NA,NA
"기타금융부채의증가",NA,NA,2
"기타부채의증가",NA,NA,NA
"유상증자",35,13,94
"자기주식의처분",NA,NA,NA
"주식매입선택권의행사",NA,NA,NA
"자본구성항목의증가",NA,NA,NA
"기타재무활동으로인한현금유입액",NA,NA,NA
"(재무활동으로인한현금유출액)",3,15,35
"사채의감소",1,7,33
"차입금의감소",NA,7,2
"미지급금의감소",NA,NA,NA
"유동성장기부채의감소",2,0,NA
"기타금융부채의감소",0,NA,NA
"기타부채의감소",NA,NA,NA
"유상감자",NA,NA,NA
"자기주식의취득",NA,0,NA
"자본구성항목의감소",NA,NA,NA
"기타재무활동으로인한현금유출액",NA,NA,NA
"기타재무활동으로인한현금흐름",NA,NA,NA
"영업투자재무활동기타현금흐름",NA,NA,NA
"연결범위변동으로인한현금의증가",NA,NA,NA
"환율변동효과",NA,NA,0
"현금및현금성자산의증가",-4,27,73
