"","X2016.12","X2017.12","X2018.12"
"매출액",1308,1311,1324
"매출원가",1191,1220,1240
"매출총이익",116,90,83
"판매비와관리비",104,69,75
"인건비",58,51,53
"유무형자산상각비",2,2,2
"연구개발비",NA,NA,NA
"광고선전비",0,0,0
"판매비",23,-2,3
"관리비",21,17,17
"기타원가성비용",0,0,0
"기타",1,0,0
"영업이익",13,22,9
"금융수익",8,20,2
"이자수익",1,3,2
"배당금수익",0,0,0
"외환이익",0,0,0
"대손충당금환입액",NA,NA,NA
"매출채권처분이익",NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산관련이익",NA,NA,NA
"금융자산처분이익",6,16,NA
"금융자산평가이익",NA,NA,NA
"금융자산손상차손환입",NA,NA,NA
"파생상품이익",NA,NA,NA
"기타금융수익",NA,NA,NA
"금융원가",67,27,7
"이자비용",20,19,7
"외환손실",0,0,0
"대손상각비",NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산관련손실",NA,NA,NA
"매출채권처분손실",NA,NA,NA
"금융자산처분손실",NA,NA,NA
"금융자산평가손실",NA,NA,NA
"금융자산손상차손",47,7,NA
"파생상품손실",NA,NA,NA
"기타금융원가",NA,1,0
"기타수익",20,3,3
"재고자산감모손실환입",NA,NA,NA
"재고자산폐기(처분)이익",NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산평가이익",NA,NA,NA
"자산처분(폐기)이익",12,0,0
"자산평가이익",NA,NA,NA
"자산손상차손환입",NA,NA,NA
"임대료수익",NA,NA,NA
"로열티수익",NA,NA,NA
"수수료수익",NA,NA,NA
"대손충당금환입",NA,NA,NA
"충당부채환입액",NA,NA,NA
"기타비용",2,2,4
"재고자산감모손실",NA,NA,NA
"재고자산폐기(처분)손실",NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산평가손실",NA,NA,NA
"자산처분(폐기)손실",0,0,0
"자산평가손실",NA,NA,NA
"자산손상차손",1,NA,2
"기타대손상각비",NA,NA,NA
"충당부채전입액",NA,NA,NA
"종속기업,공동지배기업및관계기업관련손익",21,30,19
"지분법손익",NA,NA,NA
"종속기업,공동지배기업및관계기업투자주식처분손익",NA,NA,NA
"종속기업,공동지배기업및관계기업투자주식손상관련손익",NA,NA,NA
"세전계속사업이익",-7,46,22
"법인세비용",-41,0,15
"계속영업이익",35,45,7
"중단영업이익",NA,NA,NA
"당기순이익",35,45,7
"지배주주순이익",34,45,7
"비지배주주순이익",1,NA,NA
"자산",3124,2990,2860
"유동자산",553,510,419
"재고자산",5,4,4
"유동생물자산",NA,NA,NA
"유동금융자산",35,33,38
"매출채권및기타유동채권",352,354,319
"당기법인세자산",NA,NA,NA
"계약자산",NA,NA,NA
"반품(환불)자산",NA,NA,NA
"배출권",NA,NA,NA
"기타유동자산",13,15,12
"현금및현금성자산",149,103,47
"매각예정비유동자산및처분자산집단",NA,NA,NA
"비유동자산",2571,2480,2441
