"","X2018.12","X2019.12","X2020.12"
"매출액",546,268,311
"매출원가",329,172,188
"매출총이익",217,96,123
"판매비와관리비",60,48,57
"인건비",24,24,27
"유무형자산상각비",0,2,2
"연구개발비",12,12,14
"광고선전비",NA,0,NA
"판매비",1,1,4
"관리비",23,9,12
"기타원가성비용",NA,NA,NA
"기타",NA,NA,NA
"영업이익",157,48,65
"영업이익(발표기준)",157,48,65
"금융수익",32,38,38
"이자수익",12,11,8
"배당금수익",NA,NA,NA
"외환이익",13,19,16
"대손충당금환입액",NA,NA,NA
"매출채권처분이익",NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산관련이익",NA,NA,NA
"금융자산처분이익",NA,NA,NA
"금융자산평가이익",7,8,14
"금융자산손상차손환입",NA,NA,NA
"파생상품이익",NA,NA,NA
"기타금융수익",NA,NA,NA
"금융원가",1,7,36
"이자비용",0,0,0
"외환손실",0,6,32
"대손상각비",NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산관련손실",NA,NA,NA
"매출채권처분손실",NA,NA,NA
"금융자산처분손실",NA,NA,NA
"금융자산평가손실",1,1,4
"금융자산손상차손",NA,NA,NA
"파생상품손실",NA,NA,NA
"기타금융원가",NA,NA,NA
"기타수익",6,2,1
"재고자산감모손실환입",NA,NA,NA
"재고자산폐기(처분)이익",NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산평가이익",NA,NA,NA
"자산처분(폐기)이익",2,0,NA
"자산평가이익",NA,NA,NA
"자산손상차손환입",NA,NA,NA
"임대료수익",NA,NA,NA
"로열티수익",NA,NA,NA
"수수료수익",NA,NA,NA
"대손충당금환입",NA,NA,NA
"충당부채환입액",NA,NA,NA
"기타비용",1,1,5
"재고자산감모손실",NA,NA,NA
"재고자산폐기(처분)손실",NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산평가손실",NA,NA,NA
"자산처분(폐기)손실",0,NA,NA
"자산평가손실",NA,NA,NA
"자산손상차손",NA,NA,NA
"기타대손상각비",NA,NA,NA
"충당부채전입액",NA,NA,NA
"종속기업,공동지배기업및관계기업관련손익",NA,NA,NA
"지분법손익",NA,NA,NA
"종속기업,공동지배기업및관계기업투자주식처분손익",NA,NA,NA
"종속기업,공동지배기업및관계기업투자주식손상관련손익",NA,NA,NA
"세전계속사업이익",193,81,64
"법인세비용",40,15,9
"계속영업이익",153,66,55
"중단영업이익",NA,NA,NA
"당기순이익",153,66,55
"지배주주순이익",153,66,55
"비지배주주순이익",0,NA,NA
"자산",819,873,936
"유동자산",702,630,508
"재고자산",39,53,88
"유동생물자산",NA,NA,NA
"유동금융자산",453,391,257
"매출채권및기타유동채권",34,49,58
"당기법인세자산",NA,NA,NA
"계약자산",NA,NA,NA
"반품(환불)자산",NA,NA,NA
"배출권",NA,NA,NA
"기타유동자산",3,1,2
"현금및현금성자산",172,136,102
"매각예정비유동자산및처분자산집단",NA,NA,NA
"비유동자산",117,243,428
"유형자산",31,123,182
"무형자산",2,1,2
"비유동생물자산",NA,NA,NA
"투자부동산",NA,NA,NA
"장기금융자산",18,70,188
"관계기업등지분관련투자자산",NA,NA,NA
"장기매출채권및기타비유동채권",60,48,56
"이연법인세자산",2,NA,NA
"장기당기법인세자산",NA,NA,NA
"기타비유동자산",4,1,NA
"기타금융업자산",NA,NA,NA
"부채",50,56,89
"유동부채",49,54,81
"단기사채",NA,NA,NA
"단기차입금",NA,NA,NA
"유동성장기부채",NA,NA,NA
"유동금융부채",NA,2,2
"매입채무및기타유동채무",19,20,40
"유동종업원급여충당부채",NA,NA,NA
"기타단기충당부채",NA,NA,NA
"당기법인세부채",24,6,3
"계약부채",NA,NA,NA
"반품(환불)부채",NA,NA,NA
"배출부채",NA,NA,NA
"기타유동부채",6,26,35
"매각예정으로분류된처분자산집단에포함된부채",NA,NA,NA
"비유동부채",0,2,9
"사채",NA,NA,NA
"장기차입금",NA,NA,NA
"비유동금융부채",NA,2,2
"장기매입채무및기타비유동채무",0,0,NA
"비유동종업원급여충당부채",NA,NA,NA
"기타장기충당부채",NA,NA,NA
"이연법인세부채",NA,0,7
"장기당기법인세부채",NA,NA,NA
"기타비유동부채",NA,NA,NA
"기타금융업부채",NA,NA,NA
"자본",770,817,847
"지배기업주주지분",770,817,847
"자본금",38,75,75
"신종자본증권",NA,NA,NA
"자본잉여금",280,243,243
"기타자본",1,-12,-45
"기타포괄손익누계액",-9,0,22
"이익잉여금(결손금)",460,511,552
"비지배주주지분",NA,NA,NA
"영업활동으로인한현금흐름",89,38,34
"당기순손익",153,66,55
"법인세비용차감전계속사업이익",NA,NA,NA
"현금유출이없는비용등가산",46,24,35
"퇴직급여",NA,NA,NA
"종업원급여",NA,NA,NA
"주식보상비",3,2,1
"감가상각비",1,4,3
"무형자산상각비",0,0,0
"계약부채전입액",NA,NA,NA
"반품(환불)부채전입액",NA,NA,NA
"배출부채전입액",NA,NA,NA
"기타의대손상각비",NA,NA,NA
"배당금지급",NA,NA,NA
"금융부채관련손실",NA,NA,NA
"사채상환손실",NA,NA,NA
"투자자산평가손실",NA,NA,NA
"자산재평가손실",NA,NA,NA
"지분법관련손실",NA,NA,NA
"종속기업관련손실",NA,NA,NA
"관계기업관련손익",NA,NA,NA
"(현금유입이없는수익등차감)",34,22,22
"금융부채관련이익",NA,NA,NA
"사채상환이익",NA,NA,NA
"퇴직급여충당부채환입액",NA,NA,NA
"계약부채환입액",NA,NA,NA
"반품(환불)부채환입액",NA,NA,NA
"배출부채환입액",NA,NA,NA
"주식보상비환입",NA,NA,NA
"투자자산평가이익",NA,NA,NA
"자산재평가이익",NA,NA,NA
"지분법관련이익",NA,NA,NA
"종속회사관련이익",NA,NA,NA
"법인세수익",NA,NA,NA
"영업활동으로인한자산부채변동(운전자본변동)",-52,-8,-31
"자산의감소(증가)",165,-29,-59
"부채의증가(감소)",-217,21,28
"정부보조금등의변동",NA,NA,NA
"기타운전자본의변동",NA,NA,NA
"*영업에서창출된현금흐름",113,61,37
"기타영업활동으로인한현금흐름",-24,-22,-3
"이자수입",10,11,8
"이자지급(-)",0,NA,0
"배당금수입",NA,NA,NA
"배당금지급(-)",NA,NA,NA
"법인세환입",NA,NA,NA
"법인세납부(-)",-33,-33,-11
"중단영업관련현금흐름",NA,NA,NA
"투자활동으로인한현금흐름",-34,-42,-9
"투자활동으로인한현금유입액",1039,1637,2562
"유동금융자산의감소",NA,1632,2560
"장기금융상품의감소",NA,NA,NA
"매도가능금융자산의감소",NA,NA,NA
"만기보유금융자산의감소",NA,NA,NA
"장기대여금의감소",6,4,2
"파생상품의변동",NA,NA,NA
"기타비유동금융자산의감소",1024,NA,NA
"관계기업등지분관련투자자산의감소",NA,NA,NA
"유형자산의감소",9,0,NA
"무형자산의감소",NA,NA,NA
"생물자산의감소",NA,NA,NA
"투자부동산의감소",NA,NA,NA
"기타투자활동으로인한현금유입액",0,1,0
"(투자활동으로인한현금유출액)",1073,1679,2571
"유동금융자산의증가",NA,1609,2511
"장기금융상품의증가",NA,NA,NA
"매도가능금융자산의증가",NA,NA,NA
"만기보유금융자산의증가",NA,NA,NA
"장기대여금의증가",NA,NA,NA
"기타비유동금융자산의증가",1048,1,1
"관계기업등지분관련투자자산의증가",NA,NA,NA
"유형자산의증가",23,67,58
"무형자산의증가",2,0,0
"생물자산의증가",NA,NA,NA
"투자부동산의증가",NA,NA,NA
"기타투자활동으로인한현금유출액",1,3,1
"기타투자활동으로인한현금흐름",NA,NA,NA
"재무활동으로인한현금흐름",3,-33,-52
"재무활동으로인한현금유입액",10,1,NA
"사채의증가",NA,NA,NA
"차입금의증가",NA,NA,NA
"미지급금의증가",NA,NA,NA
"유동성장기부채의증가",NA,NA,NA
"기타금융부채의증가",0,NA,NA
"기타부채의증가",NA,NA,NA
"유상증자",NA,NA,NA
"자기주식의처분",NA,NA,NA
"주식매입선택권의행사",10,1,NA
"자본구성항목의증가",NA,NA,NA
"기타재무활동으로인한현금유입액",NA,NA,NA
"(재무활동으로인한현금유출액)",7,18,37
"사채의감소",NA,NA,NA
"차입금의감소",NA,NA,NA
"미지급금의감소",NA,NA,NA
"유동성장기부채의감소",4,NA,NA
"기타금융부채의감소",0,3,3
"기타부채의감소",NA,NA,NA
"유상감자",NA,NA,NA
"자기주식의취득",NA,15,34
"자본구성항목의감소",NA,NA,NA
"기타재무활동으로인한현금유출액",2,0,NA
"기타재무활동으로인한현금흐름",NA,-15,-15
"영업투자재무활동기타현금흐름",NA,NA,NA
"연결범위변동으로인한현금의증가",NA,NA,NA
"환율변동효과",5,1,-7
"현금및현금성자산의증가",63,-36,-34
"기초현금및현금성자산",109,172,136
"기말현금및현금성자산",172,136,102
