"","X2016.12","X2017.12","X2018.12"
"매출액",266,267,266
"매출원가",NA,NA,NA
"매출총이익",266,267,266
"판매비와관리비",215,216,230
"인건비",57,56,61
"유무형자산상각비",9,7,8
"연구개발비",9,9,9
"광고선전비",2,2,3
"판매비",106,109,108
"관리비",32,34,41
"기타원가성비용",NA,NA,NA
"기타",NA,NA,NA
"영업이익",51,51,36
"금융수익",5,4,7
"이자수익",3,3,3
"배당금수익",NA,NA,NA
"외환이익",3,1,4
"대손충당금환입액",NA,NA,NA
"매출채권처분이익",NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산관련이익",NA,NA,NA
"금융자산처분이익",NA,NA,NA
"금융자산평가이익",NA,NA,NA
"금융자산손상차손환입",NA,NA,NA
"파생상품이익",NA,NA,NA
"기타금융수익",NA,0,NA
"금융원가",3,6,2
"이자비용",0,NA,NA
"외환손실",2,6,1
"대손상각비",NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산관련손실",NA,NA,NA
"매출채권처분손실",NA,NA,NA
"금융자산처분손실",NA,NA,NA
"금융자산평가손실",NA,NA,NA
"금융자산손상차손",NA,NA,NA
"파생상품손실",NA,NA,NA
"기타금융원가",0,NA,0
"기타수익",2,1,1
"재고자산감모손실환입",NA,NA,NA
"재고자산폐기(처분)이익",NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산평가이익",NA,NA,NA
"자산처분(폐기)이익",NA,NA,NA
"자산평가이익",NA,NA,NA
"자산손상차손환입",NA,NA,NA
"임대료수익",NA,NA,NA
"로열티수익",NA,NA,NA
"수수료수익",NA,NA,NA
"대손충당금환입",NA,NA,NA
"충당부채환입액",NA,NA,NA
"기타비용",6,4,4
"재고자산감모손실",NA,NA,NA
"재고자산폐기(처분)손실",NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산평가손실",NA,NA,NA
"자산처분(폐기)손실",0,NA,NA
"자산평가손실",NA,NA,NA
"자산손상차손",NA,NA,NA
"기타대손상각비",NA,NA,0
"충당부채전입액",NA,NA,NA
"종속기업,공동지배기업및관계기업관련손익",9,-2,NA
"지분법손익",NA,NA,NA
"종속기업,공동지배기업및관계기업투자주식처분손익",NA,NA,NA
"종속기업,공동지배기업및관계기업투자주식손상관련손익",NA,NA,NA
"세전계속사업이익",59,44,38
"법인세비용",12,11,11
"계속영업이익",47,34,27
"중단영업이익",NA,NA,NA
"당기순이익",47,34,27
"지배주주순이익",48,34,28
"비지배주주순이익",-1,0,-1
"자산",462,485,527
"유동자산",422,424,465
"재고자산",1,2,3
"유동생물자산",NA,NA,NA
"유동금융자산",145,106,51
"매출채권및기타유동채권",26,27,27
"당기법인세자산",NA,NA,NA
"계약자산",NA,NA,NA
"반품(환불)자산",NA,NA,NA
"배출권",NA,NA,NA
"기타유동자산",46,50,80
"현금및현금성자산",204,239,304
"매각예정비유동자산및처분자산집단",NA,NA,NA
"비유동자산",40,61,63
"유형자산",6,6,6
"무형자산",12,11,8
"비유동생물자산",NA,NA,NA
"투자부동산",NA,NA,NA
"장기금융자산",12,36,41
"관계기업등지분관련투자자산",2,NA,NA
"장기매출채권및기타비유동채권",5,4,5
"이연법인세자산",4,3,4
"장기당기법인세자산",NA,NA,NA
"기타비유동자산",NA,NA,NA
"기타금융업자산",NA,NA,NA
"부채",146,152,176
"유동부채",140,142,171
"단기사채",NA,NA,NA
"단기차입금",NA,NA,NA
"유동성장기부채",NA,NA,NA
"유동금융부채",0,0,0
"매입채무및기타유동채무",28,31,60
"유동종업원급여충당부채",NA,NA,NA
"기타단기충당부채",NA,NA,NA
"당기법인세부채",6,5,5
"계약부채",NA,NA,NA
"반품(환불)부채",NA,NA,NA
"배출부채",NA,NA,NA
"기타유동부채",106,106,105
"매각예정으로분류된처분자산집단에포함된부채",NA,NA,NA
"비유동부채",5,9,5
"사채",NA,NA,NA
"장기차입금",NA,NA,NA
"비유동금융부채",0,NA,NA
"장기매입채무및기타비유동채무",NA,NA,NA
"비유동종업원급여충당부채",5,9,5
"기타장기충당부채",NA,NA,NA
"이연법인세부채",NA,NA,NA
"장기당기법인세부채",NA,NA,NA
"기타비유동부채",NA,NA,NA
"기타금융업부채",NA,NA,NA
"자본",317,333,351
"지배기업주주지분",315,332,349
"자본금",107,107,107
"신종자본증권",NA,NA,NA
"자본잉여금",47,48,51
"기타자본",-62,-61,-64
"기타포괄손익누계액",7,0,-1
"이익잉여금(결손금)",215,239,256
"비지배주주지분",2,1,2
"영업활동으로인한현금흐름",56,46,26
"당기순손익",NA,34,27
"법인세비용차감전계속사업이익",59,NA,NA
"현금유출이없는비용등가산",16,30,25
"퇴직급여",5,6,5
"종업원급여",NA,NA,NA
"주식보상비",1,1,1
"감가상각비",4,4,3
"무형자산상각비",5,3,5
"계약부채전입액",NA,NA,NA
"반품(환불)부채전입액",NA,NA,NA
"배출부채전입액",NA,NA,NA
"기타의대손상각비",NA,NA,0
"배당금지급",NA,NA,NA
"금융부채관련손실",0,NA,0
"사채상환손실",NA,NA,NA
"투자자산평가손실",NA,NA,NA
"자산재평가손실",NA,NA,NA
"지분법관련손실",0,2,NA
"종속기업관련손실",NA,NA,NA
"관계기업관련손익",NA,NA,NA
"(현금유입이없는수익등차감)",14,3,4
"금융부채관련이익",NA,0,NA
"사채상환이익",NA,NA,NA
"퇴직급여충당부채환입액",NA,NA,NA
"계약부채환입액",NA,NA,NA
"반품(환불)부채환입액",NA,NA,NA
"배출부채환입액",NA,NA,NA
"주식보상비환입",NA,NA,NA
"투자자산평가이익",NA,NA,NA
"자산재평가이익",NA,NA,NA
"지분법관련이익",NA,NA,NA
"종속회사관련이익",10,NA,NA
"법인세수익",NA,NA,NA
"영업활동으로인한자산부채변동(운전자본변동)",5,-8,-15
"자산의감소(증가)",2,-4,-32
"부채의증가(감소)",3,-4,17
"정부보조금등의변동",NA,NA,NA
"기타운전자본의변동",NA,NA,NA
"*영업에서창출된현금흐름",67,53,34
"기타영업활동으로인한현금흐름",-10,-7,-8
"이자수입",3,3,3
"이자지급(-)",0,NA,NA
"배당금수입",NA,NA,NA
"배당금지급(-)",NA,NA,NA
"법인세환입",NA,NA,NA
"법인세납부(-)",-13,-10,-11
"중단영업관련현금흐름",NA,NA,NA
"투자활동으로인한현금흐름",-10,3,43
"투자활동으로인한현금유입액",68,184,95
"유동금융자산의감소",NA,NA,NA
"장기금융상품의감소",NA,NA,NA
"매도가능금융자산의감소",NA,NA,NA
"만기보유금융자산의감소",NA,NA,NA
"장기대여금의감소",NA,NA,NA
"파생상품의변동",NA,NA,NA
"기타비유동금융자산의감소",54,183,95
"관계기업등지분관련투자자산의감소",14,NA,NA
"유형자산의감소",NA,NA,NA
"무형자산의감소",NA,NA,NA
"생물자산의감소",NA,NA,NA
"투자부동산의감소",NA,NA,NA
"기타투자활동으로인한현금유입액",0,0,0
"(투자활동으로인한현금유출액)",78,180,52
"유동금융자산의증가",NA,NA,NA
"장기금융상품의증가",NA,NA,NA
"매도가능금융자산의증가",NA,20,NA
"만기보유금융자산의증가",NA,NA,NA
"장기대여금의증가",12,NA,NA
"기타비유동금융자산의증가",55,154,41
"관계기업등지분관련투자자산의증가",NA,NA,NA
"유형자산의증가",3,4,3
"무형자산의증가",7,2,1
"생물자산의증가",NA,NA,NA
"투자부동산의증가",NA,NA,NA
"기타투자활동으로인한현금유출액",1,NA,7
"기타투자활동으로인한현금흐름",NA,NA,NA
"재무활동으로인한현금흐름",-6,-8,-7
"재무활동으로인한현금유입액",2,1,1
"사채의증가",NA,NA,NA
"차입금의증가",2,NA,NA
"미지급금의증가",NA,NA,NA
"유동성장기부채의증가",NA,NA,NA
"기타금융부채의증가",NA,NA,NA
"기타부채의증가",NA,NA,NA
"유상증자",NA,NA,NA
"자기주식의처분",NA,NA,NA
"주식매입선택권의행사",0,1,1
"자본구성항목의증가",NA,NA,NA
"기타재무활동으로인한현금유입액",NA,NA,NA
"(재무활동으로인한현금유출액)",NA,NA,NA
"사채의감소",NA,NA,NA
"차입금의감소",NA,NA,NA
"미지급금의감소",NA,NA,NA
"유동성장기부채의감소",NA,NA,NA
"기타금융부채의감소",NA,NA,NA
"기타부채의감소",NA,NA,NA
"유상감자",NA,NA,NA
"자기주식의취득",NA,NA,NA
"자본구성항목의감소",NA,NA,NA
"기타재무활동으로인한현금유출액",NA,NA,NA
"기타재무활동으로인한현금흐름",-8,-8,-8
"영업투자재무활동기타현금흐름",NA,NA,NA
"연결범위변동으로인한현금의증가",NA,NA,NA
"환율변동효과",4,-7,3
"현금및현금성자산의증가",44,35,65
"기초현금및현금성자산",160,204,239
"기말현금및현금성자산",204,239,304
