"","X2016.12","X2017.12","X2018.12"
"매출액",13342,15359,15478
"매출원가",12098,13747,14527
"매출총이익",1244,1612,951
"판매비와관리비",1046,1023,1472
"인건비",370,347,316
"유무형자산상각비",5,37,46
"연구개발비",56,68,82
"광고선전비",34,58,34
"판매비",238,170,658
"관리비",273,270,271
"기타원가성비용",NA,NA,NA
"기타",69,74,65
"영업이익",198,589,-522
"금융수익",110,88,78
"이자수익",72,79,66
"배당금수익",3,6,8
"외환이익",31,3,2
"대손충당금환입액",NA,NA,NA
"매출채권처분이익",NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산관련이익",NA,NA,NA
"금융자산처분이익",NA,NA,NA
"금융자산평가이익",NA,NA,NA
"금융자산손상차손환입",NA,NA,NA
"파생상품이익",3,NA,NA
"기타금융수익",1,1,2
"금융원가",1078,908,943
"이자비용",981,857,869
"외환손실",34,3,4
"대손상각비",NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산관련손실",NA,NA,NA
"매출채권처분손실",NA,NA,NA
"금융자산처분손실",NA,NA,NA
"금융자산평가손실",NA,NA,NA
"금융자산손상차손",NA,NA,NA
"파생상품손실",2,NA,NA
"기타금융원가",61,48,70
"기타수익",171,708,83
"재고자산감모손실환입",NA,NA,NA
"재고자산폐기(처분)이익",NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산평가이익",NA,NA,NA
"자산처분(폐기)이익",14,679,11
"자산평가이익",NA,NA,2
"자산손상차손환입",NA,NA,NA
"임대료수익",NA,NA,NA
"로열티수익",NA,NA,NA
"수수료수익",NA,NA,NA
"대손충당금환입",NA,NA,NA
"충당부채환입액",NA,NA,NA
"기타비용",1623,1540,3775
"재고자산감모손실",NA,NA,NA
"재고자산폐기(처분)손실",NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산평가손실",NA,NA,NA
"자산처분(폐기)손실",42,58,7
"자산평가손실",NA,NA,253
"자산손상차손",347,139,0
"기타대손상각비",1163,1083,3307
"충당부채전입액",NA,NA,NA
"종속기업,공동지배기업및관계기업관련손익",-145,-285,-212
"지분법손익",-145,NA,NA
"종속기업,공동지배기업및관계기업투자주식처분손익",NA,NA,NA
"종속기업,공동지배기업및관계기업투자주식손상관련손익",NA,NA,NA
"세전계속사업이익",-2367,-1348,-5291
"법인세비용",-13,238,3
"계속영업이익",-2354,-1586,-5294
"중단영업이익",-1217,-254,-224
"당기순이익",-3570,-1840,-5518
"지배주주순이익",-3570,-1845,-5527
"비지배주주순이익",NA,5,9
"자산",30300,28456,23991
"유동자산",12403,10042,9018
"재고자산",535,92,110
"유동생물자산",NA,NA,NA
"유동금융자산",1023,467,1122
"매출채권및기타유동채권",8262,7833,5916
"당기법인세자산",NA,NA,NA
"계약자산",NA,NA,NA
"반품(환불)자산",NA,NA,NA
"배출권",NA,NA,NA
"기타유동자산",661,541,880
"현금및현금성자산",799,1108,991
"매각예정비유동자산및처분자산집단",1124,NA,NA
"비유동자산",17898,18415,14973
"유형자산",3003,4669,4641
"무형자산",59,67,51
"비유동생물자산",NA,NA,NA
"투자부동산",2189,2,2
"장기금융자산",9139,10360,7280
"관계기업등지분관련투자자산",1120,826,525
"장기매출채권및기타비유동채권",286,401,366
"이연법인세자산",2101,2091,2100
"장기당기법인세자산",NA,NA,NA
"기타비유동자산",NA,NA,8
"기타금융업자산",NA,NA,NA
"부채",19654,18802,20314
"유동부채",17067,15395,19114
"단기사채",1561,1498,2295
"단기차입금",2283,569,677
"유동성장기부채",820,200,730
"유동금융부채",3060,4227,4914
"매입채무및기타유동채무",7389,8199,10235
"유동종업원급여충당부채",NA,NA,NA
"기타단기충당부채",NA,NA,NA
"당기법인세부채",11,166,6
"계약부채",NA,NA,NA
"반품(환불)부채",NA,NA,NA
"배출부채",NA,NA,NA
"기타유동부채",1943,536,257
"매각예정으로분류된처분자산집단에포함된부채",NA,NA,NA
"비유동부채",2586,3407,1200
"사채",1344,1410,NA
"장기차입금",NA,730,NA
"비유동금융부채",147,97,113
"장기매입채무및기타비유동채무",182,195,232
"비유동종업원급여충당부채",259,238,186
"기타장기충당부채",652,735,669
"이연법인세부채",3,1,NA
"장기당기법인세부채",NA,NA,NA
"기타비유동부채",0,NA,NA
"기타금융업부채",NA,NA,NA
"자본",10647,9654,3677
"지배기업주주지분",10647,8850,2870
"자본금",543,545,604
"신종자본증권",NA,NA,NA
"자본잉여금",10238,1433,1774
"기타자본",-297,-300,-300
"기타포괄손익누계액",1448,1187,946
"이익잉여금(결손금)",-1284,5986,-154
"비지배주주지분",NA,804,807
"영업활동으로인한현금흐름",-1005,553,945
"당기순손익",-3570,-1840,-5518
"법인세비용차감전계속사업이익",NA,NA,NA
"현금유출이없는비용등가산",4413,3221,5659
"퇴직급여",96,73,72
"종업원급여",NA,NA,NA
"주식보상비",0,NA,NA
"감가상각비",135,73,68
"무형자산상각비",45,7,7
"계약부채전입액",NA,NA,NA
"반품(환불)부채전입액",NA,NA,NA
"배출부채전입액",NA,NA,NA
"기타의대손상각비",1163,1083,3307
"배당금지급",NA,NA,NA
"금융부채관련손실",NA,NA,NA
"사채상환손실",47,35,56
"투자자산평가손실",NA,NA,253
"자산재평가손실",NA,16,NA
"지분법관련손실",145,285,287
"종속기업관련손실",NA,NA,NA
"관계기업관련손익",NA,NA,NA
"(현금유입이없는수익등차감)",171,802,166
