"","X2016.12","X2017.12","X2018.12"
"매출액",2684,2762,2868
"매출원가",2414,2533,2632
"매출총이익",270,229,236
"판매비와관리비",111,103,105
"인건비",49,42,42
"유무형자산상각비",1,1,1
"연구개발비",NA,NA,NA
"광고선전비",0,0,0
"판매비",42,44,47
"관리비",18,15,15
"기타원가성비용",NA,NA,NA
"기타",NA,NA,NA
"영업이익",159,126,131
"금융수익",4,4,7
"이자수익",2,4,7
"배당금수익",NA,NA,NA
"외환이익",0,NA,0
"대손충당금환입액",NA,NA,NA
"매출채권처분이익",NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산관련이익",NA,NA,NA
"금융자산처분이익",NA,NA,NA
"금융자산평가이익",NA,NA,NA
"금융자산손상차손환입",NA,NA,NA
"파생상품이익",NA,NA,NA
"기타금융수익",1,NA,NA
"금융원가",1,7,1
"이자비용",1,1,1
"외환손실",0,5,0
"대손상각비",NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산관련손실",NA,NA,NA
"매출채권처분손실",NA,NA,NA
"금융자산처분손실",NA,NA,NA
"금융자산평가손실",NA,NA,NA
"금융자산손상차손",NA,NA,NA
"파생상품손실",NA,NA,NA
"기타금융원가",NA,NA,NA
"기타수익",18,16,24
"재고자산감모손실환입",NA,NA,NA
"재고자산폐기(처분)이익",NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산평가이익",NA,NA,NA
"자산처분(폐기)이익",0,NA,0
"자산평가이익",NA,NA,NA
"자산손상차손환입",NA,NA,NA
"임대료수익",3,3,3
"로열티수익",NA,NA,NA
"수수료수익",NA,NA,NA
"대손충당금환입",NA,NA,NA
"충당부채환입액",NA,NA,NA
"기타비용",7,5,7
"재고자산감모손실",NA,NA,NA
"재고자산폐기(처분)손실",NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산평가손실",NA,NA,NA
"자산처분(폐기)손실",0,NA,1
"자산평가손실",NA,NA,NA
"자산손상차손",NA,NA,NA
"기타대손상각비",NA,NA,NA
"충당부채전입액",NA,NA,NA
"종속기업,공동지배기업및관계기업관련손익",7,8,4
"지분법손익",7,8,4
"종속기업,공동지배기업및관계기업투자주식처분손익",NA,NA,NA
"종속기업,공동지배기업및관계기업투자주식손상관련손익",NA,NA,NA
"세전계속사업이익",181,141,158
"법인세비용",39,31,39
"계속영업이익",142,110,119
"중단영업이익",NA,NA,NA
"당기순이익",142,110,119
"자산",2343,2456,2538
"유동자산",1160,1304,1371
"재고자산",323,331,315
"유동생물자산",NA,NA,NA
"유동금융자산",2,232,295
"매출채권및기타유동채권",562,491,530
"당기법인세자산",NA,NA,NA
"계약자산",NA,NA,NA
"반품(환불)자산",NA,NA,NA
"배출권",NA,NA,NA
"기타유동자산",1,1,34
"현금및현금성자산",273,248,197
"매각예정비유동자산및처분자산집단",NA,NA,NA
"비유동자산",1182,1153,1167
"유형자산",1079,1048,1035
"무형자산",6,6,6
"비유동생물자산",NA,NA,NA
"투자부동산",NA,NA,NA
"장기금융자산",29,29,49
"관계기업등지분관련투자자산",67,69,75
"장기매출채권및기타비유동채권",1,1,1
"이연법인세자산",NA,NA,NA
"장기당기법인세자산",NA,NA,NA
"기타비유동자산",NA,NA,NA
"기타금융업자산",NA,NA,NA
"부채",451,507,491
"유동부채",408,461,435
"단기사채",NA,NA,NA
"단기차입금",50,53,53
"유동성장기부채",3,NA,NA
"유동금융부채",NA,NA,NA
"매입채무및기타유동채무",335,387,348
"유동종업원급여충당부채",NA,NA,NA
"기타단기충당부채",NA,NA,NA
"당기법인세부채",16,17,29
"계약부채",NA,NA,NA
"반품(환불)부채",NA,NA,NA
"배출부채",NA,NA,NA
"기타유동부채",4,4,6
"매각예정으로분류된처분자산집단에포함된부채",NA,NA,NA
"비유동부채",42,46,55
"사채",NA,NA,NA
"장기차입금",6,3,1
"비유동금융부채",NA,NA,NA
"장기매입채무및기타비유동채무",8,11,12
"비유동종업원급여충당부채",15,19,30
"기타장기충당부채",1,1,1
"이연법인세부채",11,12,12
"장기당기법인세부채",NA,NA,NA
"기타비유동부채",NA,NA,NA
"기타금융업부채",NA,NA,NA
"자본",1892,1950,2047
"자본금",200,200,200
"신종자본증권",NA,NA,NA
"자본잉여금",656,656,656
"기타자본",NA,NA,NA
"기타포괄손익누계액",2,-4,7
"이익잉여금(결손금)",1034,1098,1184
"영업활동으로인한현금흐름",126,297,105
"당기순손익",142,110,119
"법인세비용차감전계속사업이익",NA,NA,NA
"현금유출이없는비용등가산",137,136,143
"퇴직급여",33,31,30
"종업원급여",1,3,2
"주식보상비",NA,NA,NA
"감가상각비",62,64,69
"무형자산상각비",NA,NA,NA
"계약부채전입액",NA,NA,NA
"반품(환불)부채전입액",NA,NA,NA
"배출부채전입액",NA,NA,NA
"기타의대손상각비",NA,NA,NA
"배당금지급",NA,NA,NA
"금융부채관련손실",NA,NA,NA
"사채상환손실",NA,NA,NA
"투자자산평가손실",NA,NA,NA
"자산재평가손실",NA,NA,NA
"지분법관련손실",NA,NA,NA
"종속기업관련손실",NA,NA,NA
"관계기업관련손익",NA,NA,NA
"(현금유입이없는수익등차감)",12,12,12
"금융부채관련이익",NA,NA,NA
"사채상환이익",NA,NA,NA
"퇴직급여충당부채환입액",NA,NA,NA
"계약부채환입액",NA,NA,NA
"반품(환불)부채환입액",NA,NA,NA
"배출부채환입액",NA,NA,NA
"주식보상비환입",NA,NA,NA
"투자자산평가이익",NA,NA,NA
"자산재평가이익",NA,NA,NA
"지분법관련이익",7,8,4
"종속회사관련이익",NA,NA,NA
"법인세수익",NA,NA,NA
"영업활동으로인한자산부채변동(운전자본변동)",-95,93,-119
"자산의감소(증가)",-37,63,-58
"부채의증가(감소)",-58,30,-61
"정부보조금등의변동",NA,NA,NA
"기타운전자본의변동",NA,NA,NA
"*영업에서창출된현금흐름",172,326,132
"기타영업활동으로인한현금흐름",-46,-29,-26
"이자수입",2,4,7
"이자지급(-)",-1,-1,-1
"배당금수입",NA,NA,NA
"배당금지급(-)",NA,NA,NA
"법인세환입",NA,NA,NA
"법인세납부(-)",-48,-31,-32
"중단영업관련현금흐름",NA,NA,NA
"투자활동으로인한현금흐름",-146,-264,-108
"투자활동으로인한현금유입액",183,3,0
"유동금융자산의감소",181,NA,NA
"장기금융상품의감소",NA,NA,NA
"매도가능금융자산의감소",NA,NA,NA
"만기보유금융자산의감소",0,0,NA
"장기대여금의감소",NA,NA,NA
"파생상품의변동",NA,NA,NA
"기타비유동금융자산의감소",NA,NA,NA
"관계기업등지분관련투자자산의감소",NA,NA,NA
"유형자산의감소",2,NA,0
"무형자산의감소",NA,3,NA
"생물자산의감소",NA,NA,NA
"투자부동산의감소",NA,NA,NA
"기타투자활동으로인한현금유입액",NA,NA,0
"(투자활동으로인한현금유출액)",329,266,108
"유동금융자산의증가",180,NA,8
"장기금융상품의증가",1,231,61
"매도가능금융자산의증가",17,NA,NA
"만기보유금융자산의증가",0,0,NA
"장기대여금의증가",NA,NA,NA
"기타비유동금융자산의증가",NA,NA,NA
"관계기업등지분관련투자자산의증가",NA,NA,NA
"유형자산의증가",131,33,39
"무형자산의증가",NA,2,NA
"생물자산의증가",NA,NA,NA
"투자부동산의증가",NA,NA,NA
"기타투자활동으로인한현금유출액",NA,NA,0
"기타투자활동으로인한현금흐름",NA,NA,NA
"재무활동으로인한현금흐름",-3,-53,-49
"재무활동으로인한현금유입액",50,NA,NA
"사채의증가",NA,NA,NA
"차입금의증가",50,NA,NA
"미지급금의증가",NA,NA,NA
"유동성장기부채의증가",NA,NA,NA
"기타금융부채의증가",NA,NA,NA
"기타부채의증가",NA,NA,NA
"유상증자",NA,NA,NA
"자기주식의처분",NA,NA,NA
"주식매입선택권의행사",NA,NA,NA
"자본구성항목의증가",NA,NA,NA
"기타재무활동으로인한현금유입액",NA,NA,NA
"(재무활동으로인한현금유출액)",3,3,3
"사채의감소",NA,NA,NA
"차입금의감소",3,3,3
"미지급금의감소",NA,NA,NA
"유동성장기부채의감소",NA,NA,NA
"기타금융부채의감소",NA,NA,NA
"기타부채의감소",NA,NA,NA
"유상감자",NA,NA,NA
"자기주식의취득",NA,NA,NA
"자본구성항목의감소",NA,NA,NA
"기타재무활동으로인한현금유출액",NA,NA,NA
"기타재무활동으로인한현금흐름",-50,-50,-46
"영업투자재무활동기타현금흐름",NA,NA,NA
"연결범위변동으로인한현금의증가",NA,NA,NA
"환율변동효과",0,-5,0
"현금및현금성자산의증가",-23,-25,-52
"기초현금및현금성자산",296,273,248
"기말현금및현금성자산",273,248,197
