"","X2018.12","X2019.12","X2020.12"
"매출액",992,734,853
"매출원가",824,594,707
"매출총이익",168,140,146
"판매비와관리비",158,161,159
"인건비",59,61,67
"유무형자산상각비",6,13,16
"연구개발비",1,1,NA
"광고선전비",25,30,28
"판매비",13,14,13
"관리비",55,42,36
"기타원가성비용",NA,NA,NA
"기타",0,0,0
"영업이익",9,-21,-14
"영업이익(발표기준)",9,-21,-14
"금융수익",2,1,1
"이자수익",0,0,0
"배당금수익",NA,NA,NA
"외환이익",NA,NA,NA
"대손충당금환입액",NA,NA,NA
"매출채권처분이익",NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산관련이익",NA,NA,NA
"금융자산처분이익",NA,NA,NA
"금융자산평가이익",NA,0,0
"금융자산손상차손환입",NA,NA,NA
"파생상품이익",2,1,NA
"기타금융수익",NA,NA,NA
"금융원가",3,5,7
"이자비용",3,5,4
"외환손실",NA,NA,NA
"대손상각비",NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산관련손실",NA,NA,NA
"매출채권처분손실",NA,NA,NA
"금융자산처분손실",0,NA,NA
"금융자산평가손실",NA,NA,NA
"금융자산손상차손",NA,NA,NA
"파생상품손실",0,0,3
"기타금융원가",NA,NA,NA
"기타수익",5,7,3
"재고자산감모손실환입",NA,NA,NA
"재고자산폐기(처분)이익",NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산평가이익",NA,NA,NA
"자산처분(폐기)이익",0,0,0
"자산평가이익",NA,NA,NA
"자산손상차손환입",NA,NA,NA
"임대료수익",1,2,0
"로열티수익",NA,NA,NA
"수수료수익",NA,NA,NA
"대손충당금환입",1,1,0
"충당부채환입액",NA,NA,NA
"기타비용",3,1,3
"재고자산감모손실",NA,NA,NA
"재고자산폐기(처분)손실",NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산평가손실",NA,NA,NA
"자산처분(폐기)손실",0,0,NA
"자산평가손실",NA,NA,NA
"자산손상차손",0,NA,NA
"기타대손상각비",NA,NA,NA
"충당부채전입액",NA,NA,NA
"종속기업,공동지배기업및관계기업관련손익",NA,NA,NA
"지분법손익",NA,NA,NA
"종속기업,공동지배기업및관계기업투자주식처분손익",NA,NA,NA
"종속기업,공동지배기업및관계기업투자주식손상관련손익",NA,NA,NA
"세전계속사업이익",11,-19,-20
"법인세비용",0,0,0
"계속영업이익",11,-19,-20
"중단영업이익",NA,NA,NA
"당기순이익",11,-19,-20
"지배주주순이익",11,-19,-19
"비지배주주순이익",NA,NA,0
"자산",464,557,533
"유동자산",312,357,363
"재고자산",148,195,180
"유동생물자산",NA,NA,NA
"유동금융자산",6,26,22
"매출채권및기타유동채권",137,114,138
"당기법인세자산",0,0,0
"계약자산",NA,NA,NA
"반품(환불)자산",0,0,0
"배출권",NA,NA,NA
"기타유동자산",5,4,8
"현금및현금성자산",16,18,15
"매각예정비유동자산및처분자산집단",NA,NA,NA
"비유동자산",153,200,170
"유형자산",143,174,161
"무형자산",2,2,2
"비유동생물자산",NA,NA,NA
"투자부동산",NA,NA,NA
"장기금융자산",6,12,5
"관계기업등지분관련투자자산",NA,NA,NA
"장기매출채권및기타비유동채권",3,12,3
"이연법인세자산",NA,NA,NA
"장기당기법인세자산",NA,NA,NA
"기타비유동자산",NA,NA,NA
"기타금융업자산",NA,NA,NA
"부채",262,313,308
"유동부채",185,210,288
"단기사채",NA,NA,NA
"단기차입금",12,30,36
"유동성장기부채",NA,NA,77
"유동금융부채",0,8,9
"매입채무및기타유동채무",169,165,163
"유동종업원급여충당부채",2,2,2
"기타단기충당부채",2,0,1
"당기법인세부채",NA,NA,NA
"계약부채",NA,NA,NA
"반품(환불)부채",0,1,0
"배출부채",NA,NA,NA
"기타유동부채",1,3,0
"매각예정으로분류된처분자산집단에포함된부채",NA,NA,NA
"비유동부채",77,103,20
"사채",NA,NA,NA
"장기차입금",77,77,NA
"비유동금융부채",NA,25,19
"장기매입채무및기타비유동채무",NA,NA,NA
"비유동종업원급여충당부채",NA,NA,NA
"기타장기충당부채",NA,1,1
"이연법인세부채",NA,NA,NA
"장기당기법인세부채",NA,NA,NA
"기타비유동부채",NA,NA,NA
"기타금융업부채",NA,NA,NA
"자본",202,244,225
"지배기업주주지분",202,244,225
"자본금",109,134,134
"신종자본증권",NA,NA,NA
"자본잉여금",567,604,604
"기타자본",-2,-2,-2
"기타포괄손익누계액",NA,NA,NA
"이익잉여금(결손금)",-472,-492,-511
"비지배주주지분",NA,NA,0
"영업활동으로인한현금흐름",12,-30,-13
"당기순손익",11,-19,-20
"법인세비용차감전계속사업이익",NA,NA,NA
"현금유출이없는비용등가산",13,27,33
"퇴직급여",4,4,4
"종업원급여",NA,NA,NA
"주식보상비",NA,NA,NA
"감가상각비",6,12,15
"무형자산상각비",1,0,0
"계약부채전입액",NA,NA,NA
"반품(환불)부채전입액",NA,NA,NA
"배출부채전입액",NA,NA,NA
"기타의대손상각비",NA,NA,NA
"배당금지급",NA,NA,NA
"금융부채관련손실",NA,NA,NA
"사채상환손실",NA,NA,NA
"투자자산평가손실",NA,NA,NA
"자산재평가손실",NA,NA,NA
"지분법관련손실",NA,NA,NA
"종속기업관련손실",NA,NA,NA
"관계기업관련손익",NA,NA,NA
"(현금유입이없는수익등차감)",19,4,1
"금융부채관련이익",NA,NA,NA
"사채상환이익",NA,NA,NA
"퇴직급여충당부채환입액",NA,NA,NA
"계약부채환입액",NA,NA,NA
"반품(환불)부채환입액",NA,NA,NA
"배출부채환입액",NA,NA,NA
"주식보상비환입",NA,NA,NA
"투자자산평가이익",NA,NA,NA
"자산재평가이익",NA,NA,NA
"지분법관련이익",NA,NA,NA
"종속회사관련이익",NA,NA,NA
"법인세수익",NA,NA,NA
"영업활동으로인한자산부채변동(운전자본변동)",9,-28,-20
"자산의감소(증가)",150,-29,-11
"부채의증가(감소)",-141,1,-9
"정부보조금등의변동",NA,NA,NA
"기타운전자본의변동",NA,NA,NA
"*영업에서창출된현금흐름",15,-25,-8
"기타영업활동으로인한현금흐름",-2,-5,-4
"이자수입",1,0,0
"이자지급(-)",-3,-6,-5
"배당금수입",NA,NA,NA
"배당금지급(-)",NA,NA,NA
"법인세환입",NA,NA,NA
"법인세납부(-)",0,0,0
"중단영업관련현금흐름",NA,NA,NA
"투자활동으로인한현금흐름",-1,-36,11
"투자활동으로인한현금유입액",75,11,127
"유동금융자산의감소",73,8,127
"장기금융상품의감소",NA,NA,NA
"매도가능금융자산의감소",NA,NA,NA
"만기보유금융자산의감소",NA,NA,NA
"장기대여금의감소",NA,NA,NA
"파생상품의변동",NA,NA,NA
"기타비유동금융자산의감소",0,2,0
"관계기업등지분관련투자자산의감소",NA,NA,NA
"유형자산의감소",0,0,0
"무형자산의감소",NA,NA,NA
"생물자산의감소",NA,NA,NA
"투자부동산의감소",NA,NA,NA
"기타투자활동으로인한현금유입액",1,2,0
"(투자활동으로인한현금유출액)",76,48,116
"유동금융자산의증가",69,26,110
"장기금융상품의증가",NA,NA,NA
"매도가능금융자산의증가",NA,NA,NA
"만기보유금융자산의증가",NA,NA,NA
"장기대여금의증가",NA,NA,NA
"기타비유동금융자산의증가",5,6,5
"관계기업등지분관련투자자산의증가",NA,NA,NA
"유형자산의증가",1,5,1
"무형자산의증가",0,0,0
"생물자산의증가",NA,NA,NA
"투자부동산의증가",NA,NA,NA
"기타투자활동으로인한현금유출액",0,10,0
"기타투자활동으로인한현금흐름",NA,NA,NA
"재무활동으로인한현금흐름",-10,68,-1
"재무활동으로인한현금유입액",178,188,67
"사채의증가",NA,NA,NA
"차입금의증가",NA,NA,NA
"미지급금의증가",NA,NA,NA
"유동성장기부채의증가",NA,NA,NA
"기타금융부채의증가",178,127,67
"기타부채의증가",NA,NA,NA
"유상증자",NA,62,NA
"자기주식의처분",NA,NA,NA
"주식매입선택권의행사",NA,NA,NA
"자본구성항목의증가",NA,NA,0
"기타재무활동으로인한현금유입액",NA,NA,NA
"(재무활동으로인한현금유출액)",187,120,69
"사채의감소",NA,NA,NA
"차입금의감소",NA,NA,NA
"미지급금의감소",NA,NA,NA
"유동성장기부채의감소",NA,NA,NA
"기타금융부채의감소",187,120,69
"기타부채의감소",NA,NA,NA
"유상감자",NA,NA,NA
"자기주식의취득",NA,NA,NA
"자본구성항목의감소",NA,NA,NA
"기타재무활동으로인한현금유출액",NA,NA,NA
"기타재무활동으로인한현금흐름",NA,NA,NA
"영업투자재무활동기타현금흐름",NA,NA,NA
"연결범위변동으로인한현금의증가",NA,NA,NA
"환율변동효과",0,0,0
"현금및현금성자산의증가",2,2,-3
"기초현금및현금성자산",14,16,18
"기말현금및현금성자산",16,18,15
