"","X2016.12","X2017.12","X2018.12"
"매출액",3145,2806,2781
"매출원가",2533,2336,2351
"매출총이익",613,470,430
"판매비와관리비",485,415,391
"인건비",169,156,145
"유무형자산상각비",67,60,46
"연구개발비",95,82,68
"광고선전비",NA,NA,NA
"판매비",38,38,38
"관리비",95,62,84
"기타원가성비용",NA,NA,NA
"기타",21,17,11
"영업이익",128,55,39
"금융수익",106,207,142
"이자수익",9,8,7
"배당금수익",4,4,46
"외환이익",79,48,49
"대손충당금환입액",NA,NA,NA
"매출채권처분이익",NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산관련이익",NA,NA,NA
"금융자산처분이익",12,4,8
"금융자산평가이익",0,116,27
"금융자산손상차손환입",NA,NA,NA
"파생상품이익",3,26,4
"기타금융수익",NA,NA,0
"금융원가",122,114,116
"이자비용",30,28,26
"외환손실",71,75,43
"대손상각비",NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산관련손실",NA,NA,NA
"매출채권처분손실",NA,NA,NA
"금융자산처분손실",NA,0,1
"금융자산평가손실",10,0,43
"금융자산손상차손",NA,9,NA
"파생상품손실",11,2,4
"기타금융원가",NA,NA,NA
"기타수익",16,22,47
"재고자산감모손실환입",NA,NA,NA
"재고자산폐기(처분)이익",NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산평가이익",NA,NA,NA
"자산처분(폐기)이익",3,2,36
"자산평가이익",NA,NA,NA
"자산손상차손환입",NA,NA,NA
"임대료수익",NA,NA,NA
"로열티수익",NA,NA,NA
"수수료수익",9,3,6
"대손충당금환입",NA,NA,NA
"충당부채환입액",NA,NA,NA
"기타비용",108,73,15
"재고자산감모손실",NA,NA,NA
"재고자산폐기(처분)손실",NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산평가손실",NA,NA,NA
"자산처분(폐기)손실",2,0,8
"자산평가손실",NA,NA,NA
"자산손상차손",82,16,NA
"기타대손상각비",23,15,2
"충당부채전입액",NA,NA,NA
"종속기업,공동지배기업및관계기업관련손익",-1,-7,-2
"지분법손익",-1,-7,-2
"종속기업,공동지배기업및관계기업투자주식처분손익",NA,NA,NA
"종속기업,공동지배기업및관계기업투자주식손상관련손익",NA,NA,NA
"세전계속사업이익",21,89,93
"법인세비용",29,-14,24
"계속영업이익",-9,103,69
"중단영업이익",NA,NA,NA
"당기순이익",-9,103,69
"지배주주순이익",10,99,61
"비지배주주순이익",-19,4,8
"자산",2984,2842,3034
"유동자산",1529,1581,1773
"재고자산",307,352,430
"유동생물자산",NA,NA,NA
"유동금융자산",184,222,342
"매출채권및기타유동채권",368,379,443
"당기법인세자산",3,0,0
"계약자산",NA,NA,NA
"반품(환불)자산",NA,NA,NA
"배출권",NA,NA,NA
"기타유동자산",29,18,32
"현금및현금성자산",639,609,526
"매각예정비유동자산및처분자산집단",NA,NA,NA
"비유동자산",1455,1260,1261
"유형자산",609,489,459
"무형자산",168,73,57
"비유동생물자산",NA,NA,NA
"투자부동산",247,235,166
"장기금융자산",331,324,396
"관계기업등지분관련투자자산",14,29,80
"장기매출채권및기타비유동채권",0,NA,NA
"이연법인세자산",88,103,97
"장기당기법인세자산",NA,NA,NA
"기타비유동자산",NA,6,7
"기타금융업자산",NA,NA,NA
"부채",1476,1196,1403
"유동부채",1242,1065,1127
"단기사채",NA,NA,NA
"단기차입금",672,684,711
"유동성장기부채",178,72,79
"유동금융부채",6,2,1
"매입채무및기타유동채무",358,295,297
"유동종업원급여충당부채",NA,NA,NA
"기타단기충당부채",13,5,6
"당기법인세부채",8,5,28
"계약부채",NA,NA,NA
"반품(환불)부채",NA,NA,NA
"배출부채",NA,NA,NA
"기타유동부채",7,1,5
"매각예정으로분류된처분자산집단에포함된부채",NA,NA,NA
"비유동부채",234,131,276
"사채",NA,NA,229
"장기차입금",165,79,NA
"비유동금융부채",15,4,6
"장기매입채무및기타비유동채무",7,6,7
"비유동종업원급여충당부채",26,27,31
"기타장기충당부채",0,0,NA
"이연법인세부채",21,15,2
"장기당기법인세부채",NA,NA,NA
"기타비유동부채",NA,NA,NA
"기타금융업부채",NA,NA,NA
"자본",1509,1646,1631
"지배기업주주지분",1357,1450,1445
"자본금",116,116,116
"신종자본증권",NA,NA,NA
"자본잉여금",833,830,810
"기타자본",-248,-248,-298
"기타포괄손익누계액",-4,-11,-10
"이익잉여금(결손금)",660,763,826
"비지배주주지분",152,195,186
"영업활동으로인한현금흐름",247,75,20
"당기순손익",NA,NA,NA
"법인세비용차감전계속사업이익",21,89,93
"현금유출이없는비용등가산",397,309,237
"퇴직급여",26,24,21
"종업원급여",NA,NA,0
"주식보상비",0,1,1
"감가상각비",140,120,100
"무형자산상각비",28,27,18
"계약부채전입액",NA,NA,NA
"반품(환불)부채전입액",NA,NA,NA
"배출부채전입액",NA,NA,NA
"기타의대손상각비",23,15,2
"배당금지급",NA,NA,NA
"금융부채관련손실",NA,NA,NA
"사채상환손실",NA,NA,NA
"투자자산평가손실",NA,NA,NA
"자산재평가손실",NA,NA,NA
"지분법관련손실",1,7,2
"종속기업관련손실",NA,33,0
"관계기업관련손익",NA,NA,NA
"(현금유입이없는수익등차감)",45,176,139
"금융부채관련이익",NA,NA,NA
"사채상환이익",NA,NA,NA
"퇴직급여충당부채환입액",0,NA,NA
"계약부채환입액",NA,NA,NA
"반품(환불)부채환입액",NA,NA,NA
"배출부채환입액",NA,NA,NA
"주식보상비환입",NA,NA,NA
"투자자산평가이익",NA,NA,NA
"자산재평가이익",NA,NA,NA
"지분법관련이익",NA,NA,NA
"종속회사관련이익",NA,11,NA
"법인세수익",NA,NA,NA
