"","X2018.12","X2019.12","X2020.12"
"매도가능금융자산의감소",NA,NA,NA
"만기보유금융자산의감소",NA,NA,NA
"장기대여금의감소",0,0,0
"파생상품의변동",NA,NA,NA
"기타비유동금융자산의감소",NA,NA,NA
"관계기업등지분관련투자자산의감소",NA,0,NA
"유형자산의감소",9,3,3
"무형자산의감소",NA,NA,NA
"생물자산의감소",NA,NA,NA
"투자부동산의감소",NA,NA,NA
"기타투자활동으로인한현금유입액",3,41,1
"(투자활동으로인한현금유출액)",406,299,346
"유동금융자산의증가",343,140,12
"장기금융상품의증가",16,17,18
"매도가능금융자산의증가",NA,NA,NA
"만기보유금융자산의증가",NA,NA,NA
"장기대여금의증가",2,0,0
"기타비유동금융자산의증가",NA,NA,NA
"관계기업등지분관련투자자산의증가",NA,NA,NA
"유형자산의증가",32,67,52
"무형자산의증가",6,3,3
"생물자산의증가",NA,NA,NA
"투자부동산의증가",NA,71,NA
"기타투자활동으로인한현금유출액",7,0,260
"기타투자활동으로인한현금흐름",NA,NA,NA
"재무활동으로인한현금흐름",-29,118,324
"재무활동으로인한현금유입액",59,532,448
"사채의증가",NA,252,NA
"차입금의증가",50,271,103
"미지급금의증가",NA,NA,NA
"유동성장기부채의증가",NA,NA,NA
"기타금융부채의증가",NA,1,241
"기타부채의증가",NA,NA,NA
"유상증자",NA,NA,NA
"자기주식의처분",NA,NA,NA
"주식매입선택권의행사",NA,NA,NA
"자본구성항목의증가",NA,NA,NA
"기타재무활동으로인한현금유입액",9,8,105
"(재무활동으로인한현금유출액)",87,414,124
"사채의감소",NA,283,10
"차입금의감소",0,17,29
"미지급금의감소",NA,NA,NA
"유동성장기부채의감소",87,102,70
"기타금융부채의감소",NA,12,15
"기타부채의감소",NA,NA,NA
"유상감자",NA,NA,NA
"자기주식의취득",NA,NA,NA
"자본구성항목의감소",NA,NA,NA
"기타재무활동으로인한현금유출액",1,NA,NA
"기타재무활동으로인한현금흐름",NA,NA,NA
"영업투자재무활동기타현금흐름",NA,NA,NA
"연결범위변동으로인한현금의증가",-9,NA,NA
"환율변동효과",1,0,2
"현금및현금성자산의증가",-37,-115,3
"기초현금및현금성자산",344,307,192
"기말현금및현금성자산",307,192,195
