"","X2016.12","X2017.12","X2018.12"
"매출액",61965,69343,73571
"매출원가",48807,55376,60505
"매출총이익",13158,13967,13065
"판매비와관리비",8650,9321,9516
"인건비",2150,2240,2363
"유무형자산상각비",347,365,372
"연구개발비",54,60,48
"광고선전비",199,220,235
"판매비",2120,2393,2339
"관리비",3645,3943,4069
"기타원가성비용",NA,NA,NA
"기타",135,101,90
"영업이익",4507,4646,3549
"금융수익",1847,1026,574
"이자수익",247,202,266
"배당금수익",5,13,4
"외환이익",537,750,179
"대손충당금환입액",NA,NA,NA
"매출채권처분이익",NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산관련이익",NA,NA,NA
"금융자산처분이익",3,6,4
"금융자산평가이익",3,4,1
"금융자산손상차손환입",NA,NA,NA
"파생상품이익",93,41,115
"기타금융수익",960,11,5
"금융원가",1876,1507,1844
"이자비용",1176,1196,1255
"외환손실",529,109,448
"대손상각비",NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산관련손실",NA,NA,NA
"매출채권처분손실",NA,NA,NA
"금융자산처분손실",46,3,0
"금융자산평가손실",1,0,4
"금융자산손상차손",40,NA,NA
"파생상품손실",55,175,108
"기타금융원가",29,25,29
"기타수익",606,462,460
"재고자산감모손실환입",NA,NA,NA
"재고자산폐기(처분)이익",0,1,NA
"당기손익-공정가치측정<U+00A0>금융자산평가이익",NA,NA,NA
"자산처분(폐기)이익",108,113,149
"자산평가이익",NA,NA,NA
"자산손상차손환입",NA,NA,NA
"임대료수익",22,14,14
"로열티수익",NA,NA,NA
"수수료수익",10,6,1
"대손충당금환입",1,1,0
"충당부채환입액",143,1,0
"기타비용",689,542,446
"재고자산감모손실",NA,NA,NA
"재고자산폐기(처분)손실",NA,NA,9
"당기손익-공정가치측정<U+00A0>금융자산평가손실",NA,NA,NA
"자산처분(폐기)손실",140,71,68
"자산평가손실",NA,NA,NA
"자산손상차손",202,62,137
"기타대손상각비",18,7,25
"충당부채전입액",NA,NA,NA
"종속기업,공동지배기업및관계기업관련손익",79,11,-2
"지분법손익",10,11,-2
"종속기업,공동지배기업및관계기업투자주식처분손익",70,NA,NA
"종속기업,공동지배기업및관계기업투자주식손상관련손익",-1,NA,NA
"세전계속사업이익",4475,4095,2290
"법인세비용",757,758,347
"계속영업이익",3718,3337,1943
"중단영업이익",NA,NA,NA
"당기순이익",3718,3337,1943
"지배주주순이익",1748,1546,964
"비지배주주순이익",1969,1791,980
"자산",70681,70339,81134
"유동자산",19509,20456,26463
"재고자산",4478,4494,6014
"유동생물자산",1479,1582,1641
"유동금융자산",1721,2028,3101
"매출채권및기타유동채권",5560,6507,7746
"당기법인세자산",12,3,17
"계약자산",NA,NA,NA
"반품(환불)자산",NA,NA,NA
"배출권",NA,NA,NA
"기타유동자산",1095,1222,1611
"현금및현금성자산",5165,4620,6334
