"","Price"
"2018-11-05",35699
"2018-11-06",41332
"2018-11-07",38991
"2018-11-08",38688
"2018-11-09",37302
"2018-11-12",37345
"2018-11-13",37259
"2018-11-14",37216
"2018-11-15",37648
"2018-11-16",38126
"2018-11-19",38905
"2018-11-20",37866
"2018-11-21",38732
"2018-11-22",39512
"2018-11-23",38386
"2018-11-26",38776
"2018-11-27",38949
"2018-11-28",38862
"2018-11-29",38862
"2018-11-30",38819
"2018-12-03",40248
"2018-12-04",40075
"2018-12-05",39425
"2018-12-06",37952
"2018-12-07",38298
"2018-12-10",39771
"2018-12-11",42371
"2018-12-12",42891
"2018-12-13",42025
"2018-12-14",41635
"2018-12-17",42112
"2018-12-18",42068
"2018-12-19",42804
"2018-12-20",41851
"2018-12-21",41851
"2018-12-24",43194
"2018-12-26",41981
"2018-12-27",40618
"2018-12-28",40119
"2019-01-02",37710
"2019-01-03",35893
"2019-01-04",36438
"2019-01-07",36347
"2019-01-08",36302
"2019-01-09",37256
"2019-01-10",36756
"2019-01-11",36847
"2019-01-14",36620
"2019-01-15",36983
"2019-01-16",37528
"2019-01-17",37347
"2019-01-18",36893
"2019-01-21",36620
"2019-01-22",36983
"2019-01-23",36666
"2019-01-24",38029
"2019-01-25",37620
"2019-01-28",37574
"2019-01-29",37347
"2019-01-30",37256
"2019-01-31",37620
"2019-02-01",37347
"2019-02-07",37801
"2019-02-08",38165
"2019-02-11",38756
"2019-02-12",38211
"2019-02-13",38710
"2019-02-14",39028
"2019-02-15",39119
"2019-02-18",40073
"2019-02-19",39800
"2019-02-20",40119
"2019-02-21",39528
"2019-02-22",39664
"2019-02-25",39574
"2019-02-26",39392
"2019-02-27",38710
"2019-02-28",39346
"2019-03-04",40436
"2019-03-05",41163
"2019-03-06",40346
"2019-03-07",39346
"2019-03-08",38937
"2019-03-11",38620
"2019-03-12",40027
"2019-03-13",41436
"2019-03-14",40981
"2019-03-15",40482
"2019-03-18",40618
"2019-03-19",39482
"2019-03-20",38801
"2019-03-21",38301
"2019-03-22",38664
"2019-03-25",37847
"2019-03-26",37756
"2019-03-27",37528
"2019-03-28",37029
"2019-03-29",36938
"2019-04-01",37620
"2019-04-02",37528
"2019-04-03",37710
"2019-04-04",37665
"2019-04-05",37438
"2019-04-08",36983
"2019-04-09",36666
"2019-04-10",37847
"2019-04-11",38983
"2019-04-12",38983
"2019-04-15",39482
"2019-04-16",38710
"2019-04-17",38301
"2019-04-18",37392
"2019-04-19",38029
"2019-04-22",37756
"2019-04-23",37347
"2019-04-24",37211
"2019-04-25",37211
"2019-04-26",37165
"2019-04-29",37801
"2019-04-30",37301
"2019-05-02",37347
"2019-05-03",37347
"2019-05-07",36711
"2019-05-08",35939
"2019-05-09",35121
"2019-05-10",34894
"2019-05-13",33485
"2019-05-14",32894
"2019-05-15",34212
"2019-05-16",33622
"2019-05-17",32576
"2019-05-20",32486
"2019-05-21",33258
"2019-05-22",33666
"2019-05-23",33440
"2019-05-24",33530
"2019-05-27",33622
"2019-05-28",34394
"2019-05-29",32758
"2019-05-30",32349
"2019-05-31",33031
"2019-06-03",32940
"2019-06-04",33258
"2019-06-05",34121
"2019-06-07",34802
"2019-06-10",35303
"2019-06-11",36393
"2019-06-12",35802
"2019-06-13",35712
"2019-06-14",35620
"2019-06-17",35439
"2019-06-18",35075
"2019-06-19",35939
"2019-06-20",36438
"2019-06-21",36438
"2019-06-24",36620
"2019-06-25",36075
"2019-06-26",36165
"2019-06-27",35257
"2019-06-28",35257
"2019-07-01",36121
"2019-07-02",36165
"2019-07-03",36121
"2019-07-04",35620
"2019-07-05",35257
"2019-07-08",33803
"2019-07-09",33712
"2019-07-10",33394
"2019-07-11",33894
"2019-07-12",33985
"2019-07-15",33258
"2019-07-16",33121
"2019-07-17",32712
"2019-07-18",32167
"2019-07-19",32894
"2019-07-22",32395
"2019-07-23",31895
"2019-07-24",31259
"2019-07-25",30032
"2019-07-26",29896
"2019-07-29",28578
"2019-07-30",28987
"2019-07-31",29033
"2019-08-01",28714
"2019-08-02",28442
"2019-08-05",24852
"2019-08-06",23489
"2019-08-07",24944
"2019-08-08",25852
"2019-08-09",25443
"2019-08-12",25943
"2019-08-13",25353
"2019-08-14",24852
"2019-08-16",24171
"2019-08-19",24307
"2019-08-20",25670
"2019-08-21",26760
"2019-08-22",27351
"2019-08-23",26897
"2019-08-26",24989
"2019-08-27",24898
"2019-08-28",26079
"2019-08-29",25898
"2019-08-30",26397
"2019-09-02",26760
"2019-09-03",26397
"2019-09-04",26397
"2019-09-05",26443
"2019-09-06",26079
"2019-09-09",25670
"2019-09-10",25625
"2019-09-11",25670
"2019-09-16",26624
"2019-09-17",27079
"2019-09-18",26852
"2019-09-19",26897
"2019-09-20",26988
"2019-09-23",26307
"2019-09-24",26352
"2019-09-25",25806
"2019-09-26",26079
"2019-09-27",25806
"2019-09-30",25670
"2019-10-01",26534
"2019-10-02",25670
"2019-10-04",25762
"2019-10-07",25625
"2019-10-08",25670
"2019-10-10",25398
"2019-10-11",25762
"2019-10-14",26261
"2019-10-15",26988
"2019-10-16",27578
"2019-10-17",27169
"2019-10-18",27351
"2019-10-21",27033
"2019-10-22",27124
"2019-10-23",27079
"2019-10-24",27261
"2019-10-25",26897
"2019-10-28",27124
"2019-10-29",26897
"2019-10-30",26852
"2019-10-31",27578
"2019-11-01",27578
"2019-11-04",27533
"2019-11-05",27533
"2019-11-06",28442
"2019-11-07",28896
"2019-11-08",28305
"2019-11-11",28397
"2019-11-12",28397
"2019-11-13",28079
"2019-11-14",28760
"2019-11-15",28942
"2019-11-18",29941
"2019-11-19",29623
"2019-11-20",29896
"2019-11-21",29396
"2019-11-22",29305
"2019-11-25",29896
"2019-11-26",30305
"2019-11-27",30350
"2019-11-28",30169
"2019-11-29",29760
"2019-12-02",29805
"2019-12-03",28851
"2019-12-04",28896
"2019-12-05",28896
"2019-12-06",29169
"2019-12-09",29668
"2019-12-10",29805
"2019-12-11",30395
"2019-12-12",30895
"2019-12-13",31622
"2019-12-16",31123
"2019-12-17",31577
"2019-12-18",31213
"2019-12-19",32395
"2019-12-20",32167
"2019-12-23",32259
"2019-12-24",32576
"2019-12-26",33167
"2019-12-27",33310
"2019-12-30",33501
"2020-01-02",33072
"2020-01-03",32833
"2020-01-06",31594
"2020-01-07",31833
"2020-01-08",30498
"2020-01-09",31737
"2020-01-10",31594
"2020-01-13",31213
"2020-01-14",30880
"2020-01-15",30594
"2020-01-16",31166
"2020-01-17",31070
"2020-01-20",30737
"2020-01-21",30784
"2020-01-22",31451
"2020-01-23",31070
"2020-01-28",29641
"2020-01-29",30117
"2020-01-30",29498
"2020-01-31",29021
"2020-02-03",28878
"2020-02-04",29831
"2020-02-05",29974
"2020-02-06",30689
"2020-02-07",30117
"2020-02-10",30260
"2020-02-11",30784
"2020-02-12",30308
"2020-02-13",30022
"2020-02-14",29593
"2020-02-17",29116
"2020-02-18",28402
"2020-02-19",29402
"2020-02-20",29831
"2020-02-21",29021
"2020-02-24",27258
"2020-02-25",27830
"2020-02-26",27877
"2020-02-27",27639
"2020-02-28",26781
"2020-03-02",27592
"2020-03-03",28020
"2020-03-04",28068
"2020-03-05",27925
"2020-03-06",27592
"2020-03-09",26448
"2020-03-10",26734
"2020-03-11",25352
"2020-03-12",23541
"2020-03-13",21587
"2020-03-16",21301
"2020-03-17",22064
"2020-03-18",20968
"2020-03-19",17918
"2020-03-20",19919
"2020-03-23",18394
"2020-03-24",19490
"2020-03-25",21349
"2020-03-26",21254
"2020-03-27",23207
"2020-03-30",23636
"2020-03-31",24399
"2020-04-01",24256
"2020-04-02",24256
"2020-04-03",24017
"2020-04-06",24685
"2020-04-07",24780
"2020-04-08",25590
"2020-04-09",25733
"2020-04-10",25495
"2020-04-13",24923
"2020-04-14",25399
"2020-04-16",25590
"2020-04-17",26686
"2020-04-20",30737
"2020-04-21",30117
"2020-04-22",31261
"2020-04-23",32881
"2020-04-24",31451
"2020-04-27",31023
"2020-04-28",30212
"2020-04-29",30165
"2020-05-04",29831
"2020-05-06",31928
"2020-05-07",31928
"2020-05-08",32452
"2020-05-11",33024
"2020-05-12",32833
"2020-05-13",33072
"2020-05-14",33358
"2020-05-15",34072
"2020-05-18",33834
"2020-05-19",34311
"2020-05-20",33882
"2020-05-21",33405
"2020-05-22",32166
"2020-05-25",32166
"2020-05-26",31547
"2020-05-27",31737
"2020-05-28",30260
"2020-05-29",29641
"2020-06-01",31023
"2020-06-02",32119
"2020-06-03",31690
"2020-06-04",31356
"2020-06-05",31356
"2020-06-08",31785
"2020-06-09",32214
"2020-06-10",32119
"2020-06-11",31976
"2020-06-12",31404
"2020-06-15",28688
"2020-06-16",30546
"2020-06-17",30546
"2020-06-18",32119
"2020-06-19",32881
"2020-06-22",31737
"2020-06-23",31451
"2020-06-24",31594
"2020-06-25",30498
"2020-06-26",30784
"2020-06-29",29498
"2020-06-30",29974
"2020-07-01",29879
"2020-07-02",31356
"2020-07-03",31166
"2020-07-06",32405
"2020-07-07",31642
"2020-07-08",30451
"2020-07-09",30784
"2020-07-10",30451
"2020-07-13",30403
"2020-07-14",30117
"2020-07-15",30403
"2020-07-16",30117
"2020-07-17",30165
"2020-07-20",29641
"2020-07-21",30451
"2020-07-22",31070
"2020-07-23",31213
"2020-07-24",31213
"2020-07-27",30880
"2020-07-28",30832
"2020-07-29",31166
"2020-07-30",31261
"2020-07-31",30880
"2020-08-03",31070
"2020-08-04",31499
"2020-08-05",32071
"2020-08-06",31976
"2020-08-07",32166
"2020-08-10",31976
"2020-08-11",32262
"2020-08-12",31976
"2020-08-13",32547
"2020-08-14",32166
"2020-08-18",30737
"2020-08-19",32309
"2020-08-20",30403
"2020-08-21",30784
"2020-08-24",31499
"2020-08-25",32262
"2020-08-26",32309
"2020-08-27",31785
"2020-08-28",32547
"2020-08-31",32500
"2020-09-01",34120
"2020-09-02",33262
"2020-09-03",33644
"2020-09-04",32833
"2020-09-07",32595
"2020-09-08",32452
"2020-09-09",31690
"2020-09-10",31642
"2020-09-11",32262
"2020-09-14",32309
"2020-09-15",32309
"2020-09-16",32262
"2020-09-17",31213
"2020-09-18",31118
"2020-09-21",30260
"2020-09-22",29355
"2020-09-23",29736
