"","Price"
"2017-05-30",2280
"2017-05-31",2265
"2017-06-01",2305
"2017-06-02",2285
"2017-06-05",2315
"2017-06-07",2280
"2017-06-08",2230
"2017-06-09",2270
"2017-06-12",2215
"2017-06-13",2220
"2017-06-14",2220
"2017-06-15",2205
"2017-06-16",2210
"2017-06-19",2200
"2017-06-20",2200
"2017-06-21",2190
"2017-06-22",2175
"2017-06-23",2160
"2017-06-26",2160
"2017-06-27",2160
"2017-06-28",2150
"2017-06-29",2160
"2017-06-30",2185
"2017-07-03",2175
"2017-07-04",2150
"2017-07-05",2160
"2017-07-06",2155
"2017-07-07",2150
"2017-07-10",2160
"2017-07-11",2165
"2017-07-12",2135
"2017-07-13",2000
"2017-07-14",1910
"2017-07-17",1970
"2017-07-18",1995
"2017-07-19",2015
"2017-07-20",1995
"2017-07-21",2070
"2017-07-24",2065
"2017-07-25",2030
"2017-07-26",2045
"2017-07-27",2110
"2017-07-28",2080
"2017-07-31",2095
"2017-08-01",2090
"2017-08-02",2090
"2017-08-03",2095
"2017-08-04",2095
"2017-08-07",2100
"2017-08-08",2110
"2017-08-09",2080
"2017-08-10",2040
"2017-08-11",2005
"2017-08-14",1970
"2017-08-16",2020
"2017-08-17",2050
"2017-08-18",2040
"2017-08-21",1975
"2017-08-22",1995
"2017-08-23",1985
"2017-08-24",2010
"2017-08-25",2030
"2017-08-28",2010
"2017-08-29",2005
"2017-08-30",2025
"2017-08-31",2065
"2017-09-01",2050
"2017-09-04",2015
"2017-09-05",2010
"2017-09-06",2030
"2017-09-07",2060
"2017-09-08",2040
"2017-09-11",2020
"2017-09-12",2015
"2017-09-13",2020
"2017-09-14",1995
"2017-09-15",1985
"2017-09-18",2000
"2017-09-19",2010
"2017-09-20",1995
"2017-09-21",1970
"2017-09-22",1940
"2017-09-25",1890
"2017-09-26",1895
"2017-09-27",1905
"2017-09-28",1930
"2017-09-29",1950
"2017-10-10",1925
"2017-10-11",1920
"2017-10-12",1925
"2017-10-13",1925
"2017-10-16",1920
"2017-10-17",1910
"2017-10-18",1910
"2017-10-19",1910
"2017-10-20",1930
"2017-10-23",1895
"2017-10-24",1915
"2017-10-25",1910
"2017-10-26",1925
"2017-10-27",1915
"2017-10-30",1975
"2017-10-31",1960
"2017-11-01",1955
"2017-11-02",1945
"2017-11-03",1965
"2017-11-06",1955
"2017-11-07",1930
"2017-11-08",1930
"2017-11-09",1935
"2017-11-10",1950
"2017-11-13",1980
"2017-11-14",1985
"2017-11-15",1965
"2017-11-16",1965
"2017-11-17",1945
"2017-11-20",1955
"2017-11-21",1960
"2017-11-22",1930
"2017-11-23",1925
"2017-11-24",1930
"2017-11-27",1910
"2017-11-28",1890
"2017-11-29",1895
"2017-11-30",1885
"2017-12-01",1925
"2017-12-04",1895
"2017-12-05",1905
"2017-12-06",1910
"2017-12-07",1900
"2017-12-08",1890
"2017-12-11",1890
"2017-12-12",1885
"2017-12-13",1855
"2017-12-14",1910
"2017-12-15",1955
"2017-12-18",1950
"2017-12-19",1920
"2017-12-20",1905
"2017-12-21",1870
"2017-12-22",1880
"2017-12-26",1885
"2017-12-27",1845
"2017-12-28",1870
"2018-01-02",1895
"2018-01-03",1870
"2018-01-04",1865
"2018-01-05",1870
"2018-01-08",1880
"2018-01-09",1845
"2018-01-10",1935
"2018-01-11",1940
"2018-01-12",1965
"2018-01-15",2030
"2018-01-16",2005
"2018-01-17",2020
"2018-01-18",2010
"2018-01-19",2025
"2018-01-22",1960
"2018-01-23",1990
"2018-01-24",1965
"2018-01-25",1980
"2018-01-26",1975
"2018-01-29",2000
"2018-01-30",1990
"2018-01-31",1990
"2018-02-01",2005
"2018-02-02",2065
"2018-02-05",2000
"2018-02-06",1905
"2018-02-07",1905
"2018-02-08",1930
"2018-02-09",1865
"2018-02-12",1900
"2018-02-13",1940
"2018-02-14",1945
"2018-02-19",1945
"2018-02-20",1940
"2018-02-21",1955
"2018-02-22",1930
"2018-02-23",1940
"2018-02-26",1950
"2018-02-27",1985
"2018-02-28",1980
"2018-03-02",2160
"2018-03-05",2275
"2018-03-06",2235
"2018-03-07",2410
"2018-03-08",2390
"2018-03-09",2420
"2018-03-12",2515
"2018-03-13",2425
"2018-03-14",2375
"2018-03-15",2320
"2018-03-16",2330
"2018-03-19",2350
"2018-03-20",2490
"2018-03-21",2430
"2018-03-22",2400
"2018-03-23",2240
"2018-03-26",2385
"2018-03-27",2320
"2018-03-28",2320
"2018-03-29",2265
"2018-03-30",2305
"2018-04-02",2260
"2018-04-03",2285
