"","Price"
"2018-11-05",4840
"2018-11-06",4770
"2018-11-07",4465
"2018-11-08",4615
"2018-11-09",4685
"2018-11-12",4775
"2018-11-13",4795
"2018-11-14",4665
"2018-11-15",4925
"2018-11-16",4855
"2018-11-19",5450
"2018-11-20",5260
"2018-11-21",5200
"2018-11-22",5110
"2018-11-23",5110
"2018-11-26",5250
"2018-11-27",5230
"2018-11-28",5440
"2018-11-29",5300
"2018-11-30",5400
"2018-12-03",5440
"2018-12-04",5620
"2018-12-05",5690
"2018-12-06",5700
"2018-12-07",6060
"2018-12-10",6110
"2018-12-11",6020
"2018-12-12",6090
"2018-12-13",6050
"2018-12-14",5920
"2018-12-17",5710
"2018-12-18",5640
"2018-12-19",5490
"2018-12-20",5400
"2018-12-21",5450
"2018-12-24",5610
"2018-12-26",5610
"2018-12-27",5740
"2018-12-28",6120
"2019-01-02",6070
"2019-01-03",7270
"2019-01-04",7700
"2019-01-07",8040
"2019-01-08",7950
"2019-01-09",8010
"2019-01-10",7950
"2019-01-11",7430
"2019-01-14",7620
"2019-01-15",7600
"2019-01-16",7600
"2019-01-17",7480
"2019-01-18",7600
"2019-01-21",7850
"2019-01-22",7490
"2019-01-23",7380
"2019-01-24",7420
"2019-01-25",7640
"2019-01-28",7580
"2019-01-29",7470
"2019-01-30",7460
"2019-01-31",7260
"2019-02-01",7360
"2019-02-07",7330
"2019-02-08",7330
"2019-02-11",7880
"2019-02-12",7450
"2019-02-13",7770
"2019-02-14",7750
"2019-02-15",7750
"2019-02-18",8150
"2019-02-19",7960
"2019-02-20",8010
"2019-02-21",7830
"2019-02-22",7700
"2019-02-25",7710
"2019-02-26",7530
"2019-02-27",7310
"2019-02-28",7120
"2019-03-04",7160
"2019-03-05",7290
"2019-03-06",7480
"2019-03-07",7570
"2019-03-08",7410
"2019-03-11",7500
"2019-03-12",7450
"2019-03-13",7130
"2019-03-14",7080
"2019-03-15",6830
"2019-03-18",7150
"2019-03-19",7510
"2019-03-20",7390
"2019-03-21",7050
"2019-03-22",7350
"2019-03-25",7150
"2019-03-26",7110
"2019-03-27",7080
"2019-03-28",7070
"2019-03-29",7130
"2019-04-01",7300
"2019-04-02",7210
"2019-04-03",7290
"2019-04-04",7380
"2019-04-05",7320
"2019-04-08",7400
"2019-04-09",7860
"2019-04-10",8010
"2019-04-11",7810
"2019-04-12",7920
"2019-04-15",8030
"2019-04-16",7990
"2019-04-17",8040
"2019-04-18",7830
"2019-04-19",7940
"2019-04-22",7850
"2019-04-23",7740
"2019-04-24",7750
"2019-04-25",7690
"2019-04-26",7550
"2019-04-29",7490
"2019-04-30",7460
"2019-05-02",8120
"2019-05-03",8170
"2019-05-07",8590
"2019-05-08",8500
"2019-05-09",8000
"2019-05-10",7880
"2019-05-13",7950
"2019-05-14",7800
"2019-05-15",8400
"2019-05-16",8180
"2019-05-17",8120
"2019-05-20",8010
"2019-05-21",8510
"2019-05-22",8230
"2019-05-23",8050
"2019-05-24",7870
"2019-05-27",8140
"2019-05-28",8380
"2019-05-29",8820
"2019-05-30",8560
"2019-05-31",8940
"2019-06-03",8390
"2019-06-04",8310
"2019-06-05",8420
"2019-06-07",8940
"2019-06-10",9990
"2019-06-11",9940
"2019-06-12",9640
"2019-06-13",9640
"2019-06-14",11100
"2019-06-17",11100
"2019-06-18",11000
"2019-06-19",10200
"2019-06-20",10450
"2019-06-21",10900
"2019-06-24",10800
"2019-06-25",10150
"2019-06-26",10050
"2019-06-27",10100
"2019-06-28",10150
"2019-07-01",9000
"2019-07-02",9200
"2019-07-03",8970
"2019-07-04",8990
"2019-07-05",8990
"2019-07-08",8530
"2019-07-09",8510
"2019-07-10",8630
"2019-07-11",8580
"2019-07-12",9050
"2019-07-15",8790
"2019-07-16",8510
"2019-07-17",8240
"2019-07-18",8360
"2019-07-19",8520
"2019-07-22",8650
"2019-07-23",8520
"2019-07-24",8360
"2019-07-25",8110
"2019-07-26",8130
"2019-07-29",7530
"2019-07-30",7810
"2019-07-31",7560
"2019-08-01",7560
"2019-08-02",7640
"2019-08-05",6670
"2019-08-06",6200
"2019-08-07",6730
"2019-08-08",7020
"2019-08-09",7200
"2019-08-12",7200
"2019-08-13",7370
"2019-08-14",7670
"2019-08-16",9500
"2019-08-19",9750
"2019-08-20",9690
"2019-08-21",9610
"2019-08-22",9250
"2019-08-23",8880
"2019-08-26",8430
"2019-08-27",8410
"2019-08-28",8500
"2019-08-29",8490
"2019-08-30",8410
"2019-09-02",8710
"2019-09-03",9250
"2019-09-04",9880
"2019-09-05",10600
"2019-09-06",10750
"2019-09-09",9870
"2019-09-10",9580
"2019-09-11",9650
"2019-09-16",9750
"2019-09-17",9600
"2019-09-18",9990
"2019-09-19",10050
"2019-09-20",9840
"2019-09-23",9890
"2019-09-24",10050
"2019-09-25",9510
"2019-09-26",9550
"2019-09-27",9550
"2019-09-30",9680
"2019-10-01",9700
"2019-10-02",9960
"2019-10-04",10550
"2019-10-07",9810
"2019-10-08",10150
"2019-10-10",10100
"2019-10-11",10550
"2019-10-14",10600
"2019-10-15",10400
"2019-10-16",10600
"2019-10-17",10300
"2019-10-18",10300
"2019-10-21",10600
"2019-10-22",9960
"2019-10-23",9600
"2019-10-24",10550
"2019-10-25",13700
"2019-10-28",15050
"2019-10-29",14700
"2019-10-30",14050
"2019-10-31",13850
"2019-11-01",13350
"2019-11-04",12900
"2019-11-05",13250
"2019-11-06",13850
"2019-11-07",12700
"2019-11-08",12250
"2019-11-11",12650
"2019-11-12",11800
"2019-11-13",11700
"2019-11-14",11950
"2019-11-15",11850
"2019-11-18",11950
"2019-11-19",11450
"2019-11-20",11050
"2019-11-21",11000
"2019-11-22",10650
"2019-11-25",11000
"2019-11-26",11500
"2019-11-27",11050
"2019-11-28",10900
"2019-11-29",10500
"2019-12-02",10700
"2019-12-03",10850
"2019-12-04",10750
"2019-12-05",10600
"2019-12-06",11100
"2019-12-09",11500
"2019-12-10",11400
"2019-12-11",11500
"2019-12-12",11250
"2019-12-13",11450
"2019-12-16",11300
"2019-12-17",11250
"2019-12-18",10950
"2019-12-19",10550
"2019-12-20",10700
"2019-12-23",10500
"2019-12-24",9990
"2019-12-26",10250
"2019-12-27",10500
"2019-12-30",10600
"2020-01-02",11050
