"","Price"
"2018-11-05",53318
"2018-11-06",57837
"2018-11-07",53770
"2018-11-08",52565
"2018-11-09",50908
"2018-11-12",52942
"2018-11-13",51360
"2018-11-14",53770
"2018-11-15",53544
"2018-11-16",54749
"2018-11-19",55200
"2018-11-20",53921
"2018-11-21",54222
"2018-11-22",53921
"2018-11-23",53921
"2018-11-26",54372
"2018-11-27",54975
"2018-11-28",55050
"2018-11-29",54749
"2018-11-30",54824
"2018-12-03",55427
"2018-12-04",55427
"2018-12-05",55427
"2018-12-06",54749
"2018-12-07",55803
"2018-12-10",57913
"2018-12-11",62054
"2018-12-12",63109
"2018-12-13",62054
"2018-12-14",60849
"2018-12-17",60246
"2018-12-18",60547
"2018-12-19",61828
"2018-12-20",62054
"2018-12-21",61904
"2018-12-24",62807
"2018-12-26",61828
"2018-12-27",59097
"2018-12-28",59262
"2019-01-02",56282
"2019-01-03",53303
"2019-01-04",55372
"2019-01-07",56697
"2019-01-08",55951
"2019-01-09",57524
"2019-01-10",56779
"2019-01-11",57110
"2019-01-14",56531
"2019-01-15",57110
"2019-01-16",57275
"2019-01-17",56200
"2019-01-18",55041
"2019-01-21",54875
"2019-01-22",55703
"2019-01-23",55207
"2019-01-24",56365
"2019-01-25",56614
"2019-01-28",56614
"2019-01-29",56614
"2019-01-30",56117
"2019-01-31",56117
"2019-02-01",55537
"2019-02-07",56200
"2019-02-08",56448
"2019-02-11",58600
"2019-02-12",57772
"2019-02-13",58434
"2019-02-14",58848
"2019-02-15",57938
"2019-02-18",59097
"2019-02-19",58268
"2019-02-20",59262
"2019-02-21",58186
"2019-02-22",58104
"2019-02-25",58104
"2019-02-26",58517
"2019-02-27",57855
"2019-02-28",60669
"2019-03-04",61165
"2019-03-05",61083
"2019-03-06",60835
"2019-03-07",59511
"2019-03-08",59179
"2019-03-11",59594
"2019-03-12",60338
"2019-03-13",61579
"2019-03-14",60669
"2019-03-15",61579
"2019-03-18",61745
"2019-03-19",60090
"2019-03-20",59179
"2019-03-21",59014
"2019-03-22",59675
"2019-03-25",58021
"2019-03-26",57855
"2019-03-27",55703
"2019-03-28",55124
"2019-03-29",55124
"2019-04-01",55703
"2019-04-02",55207
"2019-04-03",55537
"2019-04-04",55620
"2019-04-05",55455
"2019-04-08",54875
"2019-04-09",54378
"2019-04-10",55868
"2019-04-11",55868
"2019-04-12",55124
"2019-04-15",55786
"2019-04-16",55124
"2019-04-17",54544
"2019-04-18",53800
"2019-04-19",54048
"2019-04-22",54710
"2019-04-23",54213
"2019-04-24",53965
"2019-04-25",53385
"2019-04-26",52971
"2019-04-29",53800
"2019-04-30",53220
"2019-05-02",53137
"2019-05-03",55124
"2019-05-07",53965
"2019-05-08",52971
"2019-05-09",51564
