"","Price"
"2017-05-30",4835
"2017-05-31",4875
"2017-06-01",4805
"2017-06-02",4750
"2017-06-05",4785
"2017-06-07",4705
"2017-06-08",4650
"2017-06-09",4730
"2017-06-12",4725
"2017-06-13",4730
"2017-06-14",4725
"2017-06-15",4685
"2017-06-16",4695
"2017-06-19",4720
"2017-06-20",4675
"2017-06-21",4580
"2017-06-22",4665
"2017-06-23",4750
"2017-06-26",4700
"2017-06-27",4720
"2017-06-28",4640
"2017-06-29",4620
"2017-06-30",4570
"2017-07-03",4490
"2017-07-04",4350
"2017-07-05",4500
"2017-07-06",4525
"2017-07-07",4485
"2017-07-10",4425
"2017-07-11",4420
"2017-07-12",4425
"2017-07-13",4350
"2017-07-14",4290
"2017-07-17",4355
"2017-07-18",4490
"2017-07-19",4620
"2017-07-20",4620
"2017-07-21",4835
"2017-07-24",4760
"2017-07-25",4725
"2017-07-26",4840
"2017-07-27",4865
"2017-07-28",4700
"2017-07-31",4695
"2017-08-01",4785
"2017-08-02",4910
"2017-08-03",4885
"2017-08-04",5225
"2017-08-07",5475
"2017-08-08",5500
"2017-08-09",5250
"2017-08-10",5075
"2017-08-11",5000
"2017-08-14",5125
"2017-08-16",5375
"2017-08-17",5350
"2017-08-18",5275
"2017-08-21",5200
"2017-08-22",5300
"2017-08-23",5200
"2017-08-24",5300
"2017-08-25",5475
"2017-08-28",5450
"2017-08-29",5475
"2017-08-30",5500
"2017-08-31",5310
"2017-09-01",5470
"2017-09-04",5320
"2017-09-05",5380
"2017-09-06",5340
"2017-09-07",5400
"2017-09-08",5340
"2017-09-11",5490
"2017-09-12",5520
"2017-09-13",5520
"2017-09-14",5470
"2017-09-15",5440
"2017-09-18",5370
"2017-09-19",5200
"2017-09-20",4815
"2017-09-21",4725
"2017-09-22",4420
"2017-09-25",4155
"2017-09-26",4025
"2017-09-27",4065
"2017-09-28",4115
"2017-09-29",4290
"2017-10-10",4135
"2017-10-11",4130
"2017-10-12",4130
"2017-10-13",4060
"2017-10-16",4000
"2017-10-17",4010
"2017-10-18",3850
"2017-10-19",3835
"2017-10-20",3935
"2017-10-23",3995
"2017-10-24",3965
"2017-10-25",3895
"2017-10-26",3900
"2017-10-27",3900
"2017-10-30",4285
"2017-10-31",4300
"2017-11-01",4335
"2017-11-02",4310
"2017-11-03",4260
"2017-11-06",4150
"2017-11-07",4185
"2017-11-08",4160
"2017-11-09",4160
"2017-11-10",4200
"2017-11-13",4220
"2017-11-14",4180
"2017-11-15",3995
"2017-11-16",4025
"2017-11-17",3955
"2017-11-20",4060
"2017-11-21",4005
"2017-11-22",3960
"2017-11-23",3960
"2017-11-24",4080
"2017-11-27",4185
"2017-11-28",4150
"2017-11-29",4225
"2017-11-30",4185
"2017-12-01",4210
"2017-12-04",4140
"2017-12-05",4165
"2017-12-06",4165
"2017-12-07",4075
"2017-12-08",4000
"2017-12-11",3945
"2017-12-12",3945
"2017-12-13",4000
"2017-12-14",3965
"2017-12-15",3950
"2017-12-18",3910
"2017-12-19",3730
"2017-12-20",3725
"2017-12-21",3500
"2017-12-22",3375
"2017-12-26",3340
"2017-12-27",3300
"2017-12-28",3440
"2018-01-02",3440
"2018-01-03",3430
"2018-01-04",3620
"2018-01-05",3580
"2018-01-08",3490
"2018-01-09",3470
"2018-01-10",3425
"2018-01-11",3375
"2018-01-12",3455
"2018-01-15",3380
