"","Price"
"2018-11-05",9630
"2018-11-06",9690
"2018-11-07",9610
"2018-11-08",9530
"2018-11-09",9360
"2018-11-12",9320
"2018-11-13",8970
"2018-11-14",8740
"2018-11-15",8660
"2018-11-16",8830
"2018-11-19",8820
"2018-11-20",8630
"2018-11-21",8560
"2018-11-22",8630
"2018-11-23",8470
"2018-11-26",8410
"2018-11-27",8600
"2018-11-28",8850
"2018-11-29",8730
"2018-11-30",8570
"2018-12-03",8930
"2018-12-04",8960
"2018-12-05",8970
"2018-12-06",8760
"2018-12-07",8890
"2018-12-10",8620
"2018-12-11",8960
"2018-12-12",9230
"2018-12-13",9260
"2018-12-14",8910
"2018-12-17",9150
"2018-12-18",9150
"2018-12-19",9010
"2018-12-20",9000
"2018-12-21",9080
"2018-12-24",9450
"2018-12-26",9590
"2018-12-27",9520
"2018-12-28",9340
"2019-01-02",9130
"2019-01-03",9070
"2019-01-04",9180
"2019-01-07",9340
"2019-01-08",9260
"2019-01-09",9270
"2019-01-10",9290
"2019-01-11",9080
"2019-01-14",9030
"2019-01-15",9120
"2019-01-16",9060
"2019-01-17",9080
"2019-01-18",9200
"2019-01-21",9110
"2019-01-22",9050
"2019-01-23",9040
"2019-01-24",9080
"2019-01-25",9090
"2019-01-28",9110
"2019-01-29",9060
"2019-01-30",9180
"2019-01-31",9140
"2019-02-01",9090
"2019-02-07",9180
"2019-02-08",9020
"2019-02-11",9010
"2019-02-12",8930
"2019-02-13",9140
"2019-02-14",9140
"2019-02-15",9050
"2019-02-18",9300
"2019-02-19",9260
"2019-02-20",9360
"2019-02-21",9450
"2019-02-22",9280
"2019-02-25",9510
"2019-02-26",9480
"2019-02-27",9530
"2019-02-28",9290
"2019-03-04",9400
"2019-03-05",9430
"2019-03-06",9350
"2019-03-07",9170
"2019-03-08",8990
"2019-03-11",9140
"2019-03-12",9310
"2019-03-13",9400
"2019-03-14",9370
"2019-03-15",9450
"2019-03-18",9420
"2019-03-19",9310
"2019-03-20",9210
"2019-03-21",9200
"2019-03-22",9180
"2019-03-25",8950
"2019-03-26",9040
"2019-03-27",9020
"2019-03-28",9000
"2019-03-29",9090
"2019-04-01",9290
"2019-04-02",9300
"2019-04-03",9330
"2019-04-04",9200
"2019-04-05",9140
"2019-04-08",9250
"2019-04-09",9250
"2019-04-10",9270
"2019-04-11",9400
"2019-04-12",9350
"2019-04-15",9330
"2019-04-16",9390
"2019-04-17",9550
"2019-04-18",9180
"2019-04-19",9300
"2019-04-22",9300
"2019-04-23",9260
"2019-04-24",9230
"2019-04-25",9210
"2019-04-26",9120
"2019-04-29",9270
"2019-04-30",9100
"2019-05-02",9230
"2019-05-03",9200
"2019-05-07",9060
"2019-05-08",9060
"2019-05-09",8890
"2019-05-10",8800
"2019-05-13",8750
"2019-05-14",8770
"2019-05-15",8980
"2019-05-16",8750
"2019-05-17",8680
"2019-05-20",8710
"2019-05-21",9070
"2019-05-22",9000
"2019-05-23",8940
"2019-05-24",8720
"2019-05-27",8950
"2019-05-28",8840
"2019-05-29",8870
"2019-05-30",8980
"2019-05-31",9010
"2019-06-03",8930
"2019-06-04",8900
"2019-06-05",8990
"2019-06-07",9080
"2019-06-10",9100
"2019-06-11",9300
"2019-06-12",9110
"2019-06-13",8920
"2019-06-14",8900
"2019-06-17",8900
"2019-06-18",9110
"2019-06-19",9120
"2019-06-20",9100
"2019-06-21",9130
"2019-06-24",8980
"2019-06-25",9000
"2019-06-26",8940
"2019-06-27",8940
"2019-06-28",8850
"2019-07-01",8990
"2019-07-02",8920
"2019-07-03",8890
"2019-07-04",8920
"2019-07-05",8870
"2019-07-08",8490
"2019-07-09",8670
"2019-07-10",8690
"2019-07-11",8930
"2019-07-12",8910
"2019-07-15",8820
"2019-07-16",8660
"2019-07-17",8520
"2019-07-18",8260
"2019-07-19",8470
"2019-07-22",8530
"2019-07-23",8800
"2019-07-24",8940
"2019-07-25",8790
"2019-07-26",8890
"2019-07-29",8720
"2019-07-30",8970
"2019-07-31",8850
"2019-08-01",8800
"2019-08-02",8770
"2019-08-05",8430
"2019-08-06",8280
"2019-08-07",8610
"2019-08-08",8800
"2019-08-09",8680
"2019-08-12",8520
"2019-08-13",8400
"2019-08-14",8340
"2019-08-16",8170
"2019-08-19",8370
"2019-08-20",8400
"2019-08-21",8790
"2019-08-22",8660
"2019-08-23",8570
"2019-08-26",8140
"2019-08-27",8270
"2019-08-28",8690
"2019-08-29",8630
"2019-08-30",8900
"2019-09-02",9050
"2019-09-03",8920
"2019-09-04",9110
"2019-09-05",9050
"2019-09-06",9090
"2019-09-09",9110
"2019-09-10",8930
"2019-09-11",8830
"2019-09-16",9100
"2019-09-17",9100
"2019-09-18",8940
"2019-09-19",9180
"2019-09-20",9250
"2019-09-23",9100
"2019-09-24",9150
"2019-09-25",9070
"2019-09-26",9100
"2019-09-27",9080
"2019-09-30",8980
"2019-10-01",9160
"2019-10-02",8750
"2019-10-04",8750
"2019-10-07",8780
"2019-10-08",8530
"2019-10-10",8360
"2019-10-11",8350
"2019-10-14",8440
"2019-10-15",8400
"2019-10-16",8430
"2019-10-17",8370
"2019-10-18",8350
"2019-10-21",8310
"2019-10-22",8280
"2019-10-23",8190
"2019-10-24",8210
"2019-10-25",8160
"2019-10-28",8390
"2019-10-29",8320
