"","Price"
"2017-12-27",4405
"2017-12-28",3645
"2018-01-02",4070
"2018-01-03",4090
"2018-01-04",4015
"2018-01-05",3895
"2018-01-08",3830
"2018-01-09",3745
"2018-01-10",3695
"2018-01-11",3890
"2018-01-12",3805
"2018-01-15",3695
"2018-01-16",3805
"2018-01-17",3860
"2018-01-18",4050
"2018-01-19",4035
"2018-01-22",3955
"2018-01-23",4140
"2018-01-24",4100
"2018-01-25",4080
"2018-01-26",4190
"2018-01-29",4115
"2018-01-30",3995
"2018-01-31",3835
"2018-02-01",3835
"2018-02-02",3950
"2018-02-05",3795
"2018-02-06",3835
"2018-02-07",3840
"2018-02-08",4010
"2018-02-09",3965
"2018-02-12",4045
"2018-02-13",4010
"2018-02-14",3900
"2018-02-19",3905
"2018-02-20",3865
"2018-02-21",3880
"2018-02-22",3840
"2018-02-23",3845
"2018-02-26",3800
"2018-02-27",3745
"2018-02-28",3690
"2018-03-02",3700
"2018-03-05",3720
"2018-03-06",3720
"2018-03-07",3665
"2018-03-08",3600
"2018-03-09",3570
"2018-03-12",3595
"2018-03-13",3535
"2018-03-14",3545
"2018-03-15",3595
"2018-03-16",3610
"2018-03-19",3575
"2018-03-20",3540
"2018-03-21",3445
"2018-03-22",3365
"2018-03-23",3190
"2018-03-26",3255
"2018-03-27",3300
"2018-03-28",3225
"2018-03-29",3190
"2018-03-30",3245
"2018-04-02",3255
"2018-04-03",3235
"2018-04-04",3180
"2018-04-05",3165
"2018-04-06",3215
"2018-04-09",3180
"2018-04-10",3265
"2018-04-11",3855
"2018-04-12",3605
"2018-04-13",3500
"2018-04-16",3620
"2018-04-17",3600
"2018-04-18",3620
"2018-04-19",3780
"2018-04-20",3750
"2018-04-23",3760
"2018-04-24",3765
"2018-04-25",3715
"2018-04-26",3780
"2018-04-27",3735
"2018-04-30",3650
"2018-05-02",3730
"2018-05-03",3725
"2018-05-04",3735
"2018-05-08",3715
"2018-05-09",3795
"2018-05-10",3795
"2018-05-11",3775
"2018-05-14",3650
"2018-05-15",3630
"2018-05-16",3575
"2018-05-17",3585
"2018-05-18",3620
"2018-05-21",3725
"2018-05-23",3785
"2018-05-24",3700
"2018-05-25",3650
"2018-05-28",3625
"2018-05-29",3665
"2018-05-30",3595
"2018-05-31",3750
"2018-06-01",3750
"2018-06-04",3750
"2018-06-05",3750
"2018-06-07",3760
"2018-06-08",3690
"2018-06-11",3935
"2018-06-12",3855
"2018-06-14",3940
"2018-06-15",4055
"2018-06-18",3825
"2018-06-19",3650
"2018-06-20",3750
"2018-06-21",3545
"2018-06-22",3365
"2018-06-25",3415
"2018-06-26",3475
"2018-06-27",3335
"2018-06-28",3200
"2018-06-29",3140
"2018-07-02",2985
"2018-07-03",2960
"2018-07-04",3105
"2018-07-05",3130
"2018-07-06",3235
"2018-07-09",3315
"2018-07-10",3280
"2018-07-11",3410
"2018-07-12",3390
"2018-07-13",3360
"2018-07-16",3415
"2018-07-17",3395
"2018-07-18",3365
"2018-07-19",3285
"2018-07-20",3290
"2018-07-23",3200
"2018-07-24",3205
"2018-07-25",3170
"2018-07-26",3150
"2018-07-27",3295
"2018-07-30",3290
"2018-07-31",3310
"2018-08-01",3300
"2018-08-02",3305
"2018-08-03",3260
"2018-08-06",3265
"2018-08-07",3260
"2018-08-08",3340
"2018-08-09",3365
"2018-08-10",3345
"2018-08-13",3280
"2018-08-14",3290
"2018-08-16",3245
"2018-08-17",3245
"2018-08-20",3255
"2018-08-21",3260
"2018-08-22",3275
"2018-08-23",3275
"2018-08-24",3285
"2018-08-27",3285
"2018-08-28",3300
"2018-08-29",3280
"2018-08-30",3230
"2018-08-31",3165
"2018-09-03",3125
"2018-09-04",3130
"2018-09-05",3115
"2018-09-06",3090
"2018-09-07",3085
"2018-09-10",3130
"2018-09-11",3130
"2018-09-12",3090
"2018-09-13",3125
"2018-09-14",3090
"2018-09-17",3060
"2018-09-18",3035
"2018-09-19",2975
"2018-09-20",2985
"2018-09-21",3005
"2018-09-27",3030
"2018-09-28",3030
"2018-10-01",3015
"2018-10-02",2955
"2018-10-04",2955
"2018-10-05",2920
"2018-10-08",2835
"2018-10-10",2700
"2018-10-11",2430
"2018-10-12",2395
"2018-10-15",2325
"2018-10-16",2355
"2018-10-17",2395
"2018-10-18",2350
"2018-10-19",2355
"2018-10-22",2380
"2018-10-23",2465
"2018-10-24",2350
"2018-10-25",2145
"2018-10-26",2080
"2018-10-29",1765
"2018-10-30",1900
"2018-10-31",2000
"2018-11-01",2175
"2018-11-02",2225
"2018-11-05",2260
"2018-11-06",2215
"2018-11-07",2150
"2018-11-08",2210
"2018-11-09",2255
"2018-11-12",2185
"2018-11-13",2175
"2018-11-14",2135
"2018-11-15",2155
"2018-11-16",2185
"2018-11-19",2225
"2018-11-20",2170
"2018-11-21",2105
"2018-11-22",2080
"2018-11-23",2020
"2018-11-26",2020
"2018-11-27",2040
"2018-11-28",2045
"2018-11-29",2340
"2018-11-30",2300
"2018-12-03",2345
"2018-12-04",2410
"2018-12-05",2370
"2018-12-06",2275
"2018-12-07",2275
"2018-12-10",2195
"2018-12-11",2140
"2018-12-12",2180
"2018-12-13",2695
"2018-12-14",2700
"2018-12-17",2735
"2018-12-18",2850
"2018-12-19",2800
"2018-12-20",2545
"2018-12-21",2615
"2018-12-24",2475
"2018-12-26",2290
"2018-12-27",2260
"2018-12-28",2385
"2019-01-02",2400
"2019-01-03",2355
"2019-01-04",2705
"2019-01-07",2770
"2019-01-08",2700
"2019-01-09",2855
"2019-01-10",2725
"2019-01-11",2630
"2019-01-14",2685
"2019-01-15",2770
"2019-01-16",2770
"2019-01-17",2730
"2019-01-18",2720
"2019-01-21",2855
"2019-01-22",2850
"2019-01-23",2880
