"","Price"
"2018-11-05",7870
"2018-11-06",7860
"2018-11-07",8090
"2018-11-08",8120
"2018-11-09",8090
"2018-11-12",8120
"2018-11-13",8070
"2018-11-14",8130
"2018-11-15",8060
"2018-11-16",8010
"2018-11-19",8150
"2018-11-20",8140
"2018-11-21",7970
"2018-11-22",7860
"2018-11-23",7950
"2018-11-26",7990
"2018-11-27",7990
"2018-11-28",7940
"2018-11-29",7910
"2018-11-30",7900
"2018-12-03",7940
"2018-12-04",7930
"2018-12-05",7880
"2018-12-06",7800
"2018-12-07",7800
"2018-12-10",7480
"2018-12-11",7330
"2018-12-12",7270
"2018-12-13",7120
"2018-12-14",7070
"2018-12-17",7080
"2018-12-18",6900
"2018-12-19",6810
"2018-12-20",6780
"2018-12-21",6740
"2018-12-24",6990
"2018-12-26",6960
"2018-12-27",7030
"2018-12-28",7300
"2019-01-02",7370
"2019-01-03",9580
"2019-01-04",10050
"2019-01-07",12550
"2019-01-08",11350
"2019-01-09",10800
"2019-01-10",10500
"2019-01-11",9860
"2019-01-14",10050
"2019-01-15",11050
"2019-01-16",10650
"2019-01-17",10150
"2019-01-18",13150
"2019-01-21",11850
"2019-01-22",12200
"2019-01-23",12000
"2019-01-24",11600
"2019-01-25",11150
"2019-01-28",11500
"2019-01-29",11800
"2019-01-30",11700
"2019-01-31",14050
"2019-02-01",13350
"2019-02-07",13050
"2019-02-08",12900
"2019-02-11",13050
"2019-02-12",12450
"2019-02-13",12600
"2019-02-14",12300
"2019-02-15",12700
"2019-02-18",12750
"2019-02-19",12550
"2019-02-20",12250
"2019-02-21",11250
"2019-02-22",10550
"2019-02-25",10150
"2019-02-26",10150
"2019-02-27",10750
"2019-02-28",11050
"2019-03-04",11000
"2019-03-05",10300
"2019-03-06",10500
"2019-03-07",10200
"2019-03-08",10100
"2019-03-11",10200
"2019-03-12",10050
"2019-03-13",10400
"2019-03-14",10250
"2019-03-15",10050
"2019-03-18",10100
"2019-03-19",10100
"2019-03-20",10050
"2019-03-21",9940
"2019-03-22",9800
"2019-03-25",9570
"2019-03-26",9700
"2019-03-27",9390
"2019-03-28",9260
"2019-03-29",9260
"2019-04-01",9320
"2019-04-02",9300
"2019-04-03",9480
"2019-04-04",10200
"2019-04-05",10050
"2019-04-08",9990
"2019-04-09",10150
"2019-04-10",10100
"2019-04-11",10000
"2019-04-12",10000
"2019-04-15",10000
"2019-04-16",10050
"2019-04-17",10050
"2019-04-18",10100
"2019-04-19",9920
"2019-04-22",9950
"2019-04-23",9960
"2019-04-24",10500
"2019-04-25",9990
"2019-04-26",9430
"2019-04-29",9660
"2019-04-30",9570
"2019-05-02",9700
"2019-05-03",9890
"2019-05-07",9790
"2019-05-08",10200
"2019-05-09",9910
"2019-05-10",10000
"2019-05-13",12250
"2019-05-14",9790
"2019-05-15",9520
"2019-05-16",9820
"2019-05-17",10550
"2019-05-20",10250
"2019-05-21",10050
"2019-05-22",10150
"2019-05-23",9300
"2019-05-24",9590
"2019-05-27",9640
"2019-05-28",9600
"2019-05-29",9530
"2019-05-30",9250
"2019-05-31",9560
"2019-06-03",9000
"2019-06-04",8460
"2019-06-05",8430
"2019-06-07",8560
"2019-06-10",8500
"2019-06-11",8530
"2019-06-12",8530
"2019-06-13",8490
"2019-06-14",8540
"2019-06-17",8380
"2019-06-18",8170
"2019-06-19",8100
"2019-06-20",8030
"2019-06-21",7650
"2019-06-24",7550
"2019-06-25",7540
"2019-06-26",6900
"2019-06-27",6730
"2019-06-28",6770
"2019-07-01",6940
"2019-07-02",7130
"2019-07-03",6960
"2019-07-04",6880
"2019-07-05",7010
"2019-07-08",6940
"2019-07-09",6890
"2019-07-10",7220
"2019-07-11",7590
"2019-07-12",7940
"2019-07-15",8110
"2019-07-16",8250
"2019-07-17",8230
"2019-07-18",8120
"2019-07-19",8100
"2019-07-22",8200
"2019-07-23",8210
"2019-07-24",8070
"2019-07-25",7980
"2019-07-26",7660
"2019-07-29",7210
"2019-07-30",7300
"2019-07-31",7370
"2019-08-01",7470
"2019-08-02",7460
"2019-08-05",6900
"2019-08-06",6410
"2019-08-07",6720
"2019-08-08",7200
"2019-08-09",8420
"2019-08-12",8750
"2019-08-13",9030
"2019-08-14",8320
"2019-08-16",8320
"2019-08-19",7730
"2019-08-20",7790
"2019-08-21",8610
"2019-08-22",9780
"2019-08-23",9610
"2019-08-26",9150
"2019-08-27",9880
"2019-08-28",10250
"2019-08-29",10300
"2019-08-30",10900
"2019-09-02",11750
"2019-09-03",10900
"2019-09-04",10850
"2019-09-05",11450
"2019-09-06",11600
"2019-09-09",11550
"2019-09-10",11750
"2019-09-11",12300
"2019-09-16",12600
"2019-09-17",12150
"2019-09-18",12200
"2019-09-19",12150
"2019-09-20",12000
"2019-09-23",12050
"2019-09-24",11500
"2019-09-25",11200
"2019-09-26",11450
"2019-09-27",11350
"2019-09-30",11450
"2019-10-01",11450
"2019-10-02",11600
"2019-10-04",11150
"2019-10-07",10050
"2019-10-08",10200
"2019-10-10",10900
"2019-10-11",10450
"2019-10-14",10650
"2019-10-15",10750
"2019-10-16",10200
"2019-10-17",10000
"2019-10-18",10000
"2019-10-21",10050
"2019-10-22",9990
"2019-10-23",9470
"2019-10-24",9090
"2019-10-25",8970
"2019-10-28",9350
"2019-10-29",10000
"2019-10-30",11100
"2019-10-31",11000
"2019-11-01",11400
"2019-11-04",11100
"2019-11-05",10450
"2019-11-06",11150
"2019-11-07",8970
"2019-11-08",8980
"2019-11-11",9180
"2019-11-12",8550
"2019-11-13",7790
"2019-11-14",8110
"2019-11-15",8400
"2019-11-18",8020
"2019-11-19",7760
"2019-11-20",7580
"2019-11-21",7350
"2019-11-22",7340
"2019-11-25",7500
"2019-11-26",7770
"2019-11-27",7800
"2019-11-28",8310
"2019-11-29",8160
"2019-12-02",7970
"2019-12-03",7920
"2019-12-04",7880
"2019-12-05",7650
"2019-12-06",7650
"2019-12-09",7540
"2019-12-10",7700
"2019-12-11",8010
"2019-12-12",8080
"2019-12-13",8190
"2019-12-16",8020
"2019-12-17",7950
"2019-12-18",7830
"2019-12-19",7820
"2019-12-20",7750
"2019-12-23",7630
"2019-12-24",7600
"2019-12-26",7500
"2019-12-27",7410
"2019-12-30",7520
"2020-01-02",7540
"2020-01-03",7490
"2020-01-06",7310
"2020-01-07",7310
"2020-01-08",7060
"2020-01-09",7310
"2020-01-10",7500
"2020-01-13",7500
"2020-01-14",7520
"2020-01-15",7490
"2020-01-16",7560
"2020-01-17",7440
"2020-01-20",7360
"2020-01-21",7370
"2020-01-22",7690
"2020-01-23",7800
"2020-01-28",7540
"2020-01-29",7400
"2020-01-30",7270
"2020-01-31",7270
"2020-02-03",7490
"2020-02-04",7850
"2020-02-05",7680
"2020-02-06",7680
"2020-02-07",7600
"2020-02-10",7450
"2020-02-11",7500
"2020-02-12",7560
"2020-02-13",7360
"2020-02-14",7720
"2020-02-17",7820
"2020-02-18",7560
"2020-02-19",7600
"2020-02-20",7650
"2020-02-21",7680
"2020-02-24",7570
"2020-02-25",7700
"2020-02-26",7690
"2020-02-27",7480
"2020-02-28",7280
"2020-03-02",7310
"2020-03-03",7380
"2020-03-04",7660
"2020-03-05",7670
"2020-03-06",7550
"2020-03-09",7300
"2020-03-10",7310
"2020-03-11",7250
"2020-03-12",7060
"2020-03-13",6910
"2020-03-16",7010
"2020-03-17",7300
"2020-03-18",7000
