"","Price"
"2020-01-09",7150
"2020-01-10",7100
"2020-01-13",7230
"2020-01-14",7240
"2020-01-15",7480
"2020-01-16",7520
"2020-01-17",7510
"2020-01-20",7360
"2020-01-21",7270
"2020-01-22",7240
"2020-01-23",7230
"2020-01-28",7090
"2020-01-29",7070
"2020-01-30",7080
"2020-01-31",6950
"2020-02-03",6960
"2020-02-04",7000
"2020-02-05",7020
"2020-02-06",7060
"2020-02-07",7100
"2020-02-10",7000
"2020-02-11",7020
"2020-02-12",7020
"2020-02-13",7020
"2020-02-14",7290
"2020-02-17",7340
"2020-02-18",7240
"2020-02-19",7310
"2020-02-20",7180
"2020-02-21",7120
"2020-02-24",6900
"2020-02-25",6940
"2020-02-26",6970
"2020-02-27",6980
"2020-02-28",6660
"2020-03-02",6610
"2020-03-03",6730
"2020-03-04",6800
"2020-03-05",6950
"2020-03-06",6790
"2020-03-09",6520
"2020-03-10",6330
"2020-03-11",5970
"2020-03-12",5380
"2020-03-13",5000
"2020-03-16",4755
"2020-03-17",4615
"2020-03-18",4420
"2020-03-19",3500
"2020-03-20",4000
"2020-03-23",4080
"2020-03-24",4550
"2020-03-25",5050
"2020-03-26",5410
"2020-03-27",5770
"2020-03-30",6180
"2020-03-31",7170
"2020-04-01",9320
"2020-04-02",7440
"2020-04-03",7140
"2020-04-06",7180
"2020-04-07",7100
"2020-04-08",6980
"2020-04-09",6980
"2020-04-10",6860
"2020-04-13",6580
"2020-04-14",6620
"2020-04-16",6680
"2020-04-17",6770
"2020-04-20",7010
"2020-04-21",6890
"2020-04-22",6940
"2020-04-23",7010
"2020-04-24",6970
"2020-04-27",7010
"2020-04-28",6990
"2020-04-29",7070
"2020-05-04",7060
"2020-05-06",7490
"2020-05-07",7640
"2020-05-08",7610
"2020-05-11",7520
"2020-05-12",7430
"2020-05-13",7600
"2020-05-14",7480
"2020-05-15",7570
"2020-05-18",8040
"2020-05-19",8000
"2020-05-20",7980
"2020-05-21",7960
"2020-05-22",8010
"2020-05-25",8080
"2020-05-26",8030
"2020-05-27",8060
"2020-05-28",7850
"2020-05-29",7870
"2020-06-01",8010
"2020-06-02",8020
"2020-06-03",7960
"2020-06-04",7900
"2020-06-05",7880
"2020-06-08",7910
"2020-06-09",7950
"2020-06-10",8110
"2020-06-11",8000
"2020-06-12",7980
"2020-06-15",7840
"2020-06-16",8090
"2020-06-17",8110
"2020-06-18",9100
"2020-06-19",8900
"2020-06-22",8890
"2020-06-23",8820
"2020-06-24",9340
"2020-06-25",9210
"2020-06-26",8920
"2020-06-29",8560
"2020-06-30",8610
"2020-07-01",8390
"2020-07-02",8510
"2020-07-03",8450
"2020-07-06",8530
"2020-07-07",8420
"2020-07-08",8420
"2020-07-09",8430
"2020-07-10",8300
"2020-07-13",8270
"2020-07-14",8200
"2020-07-15",8210
"2020-07-16",8220
"2020-07-17",8190
"2020-07-20",8160
"2020-07-21",8170
"2020-07-22",8210
"2020-07-23",8220
"2020-07-24",8190
"2020-07-27",8300
"2020-07-28",8580
"2020-07-29",8640
"2020-07-30",8600
"2020-07-31",8370
"2020-08-03",8290
"2020-08-04",8300
"2020-08-05",8180
"2020-08-06",8190
"2020-08-07",8140
"2020-08-10",8250
"2020-08-11",8340
"2020-08-12",8480
"2020-08-13",8790
"2020-08-14",8600
"2020-08-18",8190
"2020-08-19",8240
"2020-08-20",8130
"2020-08-21",8110
"2020-08-24",8130
"2020-08-25",8130
"2020-08-26",8130
"2020-08-27",7970
"2020-08-28",8920
"2020-08-31",9540
"2020-09-01",9410
"2020-09-02",9210
"2020-09-03",9380
"2020-09-04",9590
"2020-09-07",9360
"2020-09-08",9220
"2020-09-09",9070
"2020-09-10",9200
"2020-09-11",9200
"2020-09-14",9400
"2020-09-15",9310
"2020-09-16",9180
"2020-09-17",9050
"2020-09-18",8910
"2020-09-21",8680
"2020-09-22",8300
"2020-09-23",8390
"2020-09-24",8200
"2020-09-25",8500
"2020-09-28",9490
"2020-09-29",8900
"2020-10-05",8890
"2020-10-06",8780
"2020-10-07",8640
"2020-10-08",8830
"2020-10-12",8840
"2020-10-13",8830
"2020-10-14",8710
"2020-10-15",8650
"2020-10-16",8500
"2020-10-19",8480
"2020-10-20",8420
"2020-10-21",8590
"2020-10-22",8500
"2020-10-23",8530
"2020-10-26",8470
"2020-10-27",8290
"2020-10-28",8260
"2020-10-29",8280
"2020-10-30",8280
"2020-11-02",8280
"2020-11-03",8300
"2020-11-04",8300
"2020-11-05",8360
"2020-11-06",8370
"2020-11-09",8380
"2020-11-10",8350
"2020-11-11",8440
"2020-11-12",8360
"2020-11-13",8370
"2020-11-16",8430
"2020-11-17",8400
"2020-11-18",8340
"2020-11-19",8290
"2020-11-20",8310
"2020-11-23",8280
"2020-11-24",8290
"2020-11-25",8240
"2020-11-26",8220
"2020-11-27",8230
"2020-11-30",8150
"2020-12-01",8170
"2020-12-02",8180
"2020-12-03",8190
"2020-12-04",8110
"2020-12-07",8090
"2020-12-08",8060
"2020-12-09",8120
"2020-12-10",8050
"2020-12-11",8160
"2020-12-14",8270
"2020-12-15",8200
"2020-12-16",8240
"2020-12-17",8230
"2020-12-18",8270
"2020-12-21",8290
"2020-12-22",8200
"2020-12-23",8410
"2020-12-24",8410
