"","Price"
"2018-11-05",807
"2018-11-06",807
"2018-11-07",808
"2018-11-08",829
"2018-11-09",830
"2018-11-12",824
"2018-11-13",818
"2018-11-14",808
"2018-11-15",803
"2018-11-16",801
"2018-11-19",805
"2018-11-20",805
"2018-11-21",804
"2018-11-22",800
"2018-11-23",790
"2018-11-26",780
"2018-11-27",782
"2018-11-28",781
"2018-11-29",783
"2018-11-30",790
"2018-12-03",810
"2018-12-04",823
"2018-12-05",833
"2018-12-06",839
"2018-12-07",854
"2018-12-10",825
"2018-12-11",808
"2018-12-12",818
"2018-12-13",834
"2018-12-14",853
"2018-12-17",863
"2018-12-18",833
"2018-12-19",853
"2018-12-20",856
"2018-12-21",850
"2018-12-24",854
"2018-12-26",828
"2018-12-27",837
"2018-12-28",867
"2019-01-02",868
"2019-01-03",847
"2019-01-04",838
"2019-01-07",1085
"2019-01-08",1210
"2019-01-09",1235
"2019-01-10",1270
"2019-01-11",1245
"2019-01-14",1190
"2019-01-15",1240
"2019-01-16",1240
"2019-01-17",1205
"2019-01-18",1240
"2019-01-21",1240
"2019-01-22",1245
"2019-01-23",1235
"2019-01-24",1220
"2019-01-25",1330
"2019-01-28",1340
"2019-01-29",1345
"2019-01-30",1320
"2019-01-31",1245
"2019-02-01",1245
"2019-02-07",1265
"2019-02-08",1305
"2019-02-11",1290
"2019-02-12",1370
"2019-02-13",1370
"2019-02-14",1435
"2019-02-15",1400
"2019-02-18",1350
"2019-02-19",1350
"2019-02-20",1350
"2019-02-21",1360
"2019-02-22",1240
"2019-02-25",1285
"2019-02-26",1280
"2019-02-27",1335
"2019-02-28",1220
"2019-03-04",1330
"2019-03-05",1310
"2019-03-06",1275
"2019-03-07",1320
"2019-03-08",1220
"2019-03-11",1150
"2019-03-12",1140
"2019-03-13",1085
"2019-03-14",1120
"2019-03-15",1110
"2019-03-18",1130
"2019-03-19",1155
"2019-03-20",1150
"2019-03-21",1110
"2019-03-22",1155
"2019-03-25",1130
"2019-03-26",1135
"2019-03-27",1125
"2019-03-28",1120
"2019-03-29",1130
"2019-04-01",1180
"2019-04-02",1180
"2019-04-03",1190
"2019-04-04",1195
"2019-04-05",1215
"2019-04-08",1200
"2019-04-09",1220
"2019-04-10",1225
"2019-04-11",1255
"2019-04-12",1240
"2019-04-15",1255
"2019-04-16",1245
"2019-04-17",1285
"2019-04-18",1250
"2019-04-19",1265
"2019-04-22",1295
"2019-04-23",1290
"2019-04-24",1415
"2019-04-25",1440
"2019-04-26",1485
"2019-04-29",1510
"2019-04-30",1600
"2019-05-02",1585
"2019-05-03",1540
"2019-05-07",1535
"2019-05-08",1445
"2019-05-09",1405
"2019-05-10",1450
"2019-05-13",1385
"2019-05-14",1400
"2019-05-15",1385
"2019-05-16",1330
"2019-05-17",1330
"2019-05-20",1240
"2019-05-21",1290
"2019-05-22",1250
"2019-05-23",1220
"2019-05-24",1200
"2019-05-27",1195
"2019-05-28",1215
"2019-05-29",1175
"2019-05-30",1170
"2019-05-31",1210
"2019-06-03",1210
"2019-06-04",1220
"2019-06-05",1250
"2019-06-07",1280
"2019-06-10",1265
"2019-06-11",1265
"2019-06-12",1240
"2019-06-13",1285
"2019-06-14",1245
"2019-06-17",1255
"2019-06-18",1265
"2019-06-19",1290
"2019-06-20",1355
"2019-06-21",1340
"2019-06-24",1390
"2019-06-25",1385
"2019-06-26",1355
"2019-06-27",1325
"2019-06-28",1290
"2019-07-01",1240
"2019-07-02",1205
"2019-07-03",1160
"2019-07-04",1230
"2019-07-05",1175
"2019-07-08",1050
"2019-07-09",1040
"2019-07-10",1040
"2019-07-11",1055
"2019-07-12",1075
"2019-07-15",1030
"2019-07-16",1020
"2019-07-17",990
"2019-07-18",1000
"2019-07-19",1030
"2019-07-22",1045
"2019-07-23",1035
"2019-07-24",1020
"2019-07-25",1015
"2019-07-26",1010
"2019-07-29",920
"2019-07-30",968
"2019-07-31",984
"2019-08-01",989
"2019-08-02",975
"2019-08-05",895
"2019-08-06",820
"2019-08-07",1025
"2019-08-08",990
"2019-08-09",989
"2019-08-12",969
"2019-08-13",1000
"2019-08-14",1010
"2019-08-16",982
"2019-08-19",992
"2019-08-20",1050
"2019-08-21",1045
"2019-08-22",1030
"2019-08-23",1010
"2019-08-26",966
"2019-08-27",992
"2019-08-28",1010
"2019-08-29",984
"2019-08-30",1005
"2019-09-02",1020
"2019-09-03",1010
"2019-09-04",1055
"2019-09-05",1060
"2019-09-06",1040
"2019-09-09",1045
"2019-09-10",1045
"2019-09-11",1070
"2019-09-16",1065
"2019-09-17",1070
"2019-09-18",1105
"2019-09-19",1090
"2019-09-20",1085
"2019-09-23",1055
"2019-09-24",1090
"2019-09-25",1045
"2019-09-26",1045
"2019-09-27",1025
"2019-09-30",1000
"2019-10-01",1025
"2019-10-02",1045
"2019-10-04",1040
"2019-10-07",1050
"2019-10-08",1090
"2019-10-10",1075
"2019-10-11",1060
"2019-10-14",1065
"2019-10-15",1085
"2019-10-16",1085
"2019-10-17",1155
"2019-10-18",1095
"2019-10-21",1095
"2019-10-22",1075
"2019-10-23",1040
"2019-10-24",1025
"2019-10-25",1045
"2019-10-28",1060
"2019-10-29",1075
"2019-10-30",1050
"2019-10-31",1085
"2019-11-01",1105
"2019-11-04",1100
"2019-11-05",1080
"2019-11-06",1100
"2019-11-07",1105
"2019-11-08",1085
"2019-11-11",1155
"2019-11-12",1155
"2019-11-13",1125
"2019-11-14",1130
"2019-11-15",1125
"2019-11-18",1145
"2019-11-19",1110
"2019-11-20",1090
"2019-11-21",1045
"2019-11-22",1045
"2019-11-25",1070
"2019-11-26",1080
"2019-11-27",1070
"2019-11-28",1050
"2019-11-29",1040
"2019-12-02",1025
"2019-12-03",1025
"2019-12-04",1005
"2019-12-05",995
"2019-12-06",1005
"2019-12-09",1035
"2019-12-10",1035
"2019-12-11",1055
"2019-12-12",1060
"2019-12-13",1075
"2019-12-16",1110
"2019-12-17",1090
"2019-12-18",1115
"2019-12-19",1105
"2019-12-20",1130
"2019-12-23",1100
"2019-12-24",1085
"2019-12-26",1100
"2019-12-27",1120
"2019-12-30",1140
"2020-01-02",1155
"2020-01-03",1150
"2020-01-06",1140
"2020-01-07",1160
"2020-01-08",1105
"2020-01-09",1185
"2020-01-10",1185
"2020-01-13",1180
"2020-01-14",1180
"2020-01-15",1215
"2020-01-16",1170
