"","Price"
"2018-11-05",13550
"2018-11-06",13300
"2018-11-07",13300
"2018-11-08",13300
"2018-11-09",13450
"2018-11-12",13350
"2018-11-13",13400
"2018-11-14",13100
"2018-11-15",13200
"2018-11-16",13300
"2018-11-19",13450
"2018-11-20",13450
"2018-11-21",13100
"2018-11-22",13150
"2018-11-23",13100
"2018-11-26",12350
"2018-11-27",12500
"2018-11-28",13150
"2018-11-29",13400
"2018-11-30",13250
"2018-12-03",13300
"2018-12-04",12950
"2018-12-05",13150
"2018-12-06",13100
"2018-12-07",13050
"2018-12-10",13000
"2018-12-11",13050
"2018-12-12",12850
"2018-12-13",12850
"2018-12-14",12450
"2018-12-17",12650
"2018-12-18",13050
"2018-12-19",12850
"2018-12-20",12800
"2018-12-21",12850
"2018-12-24",12900
"2018-12-26",12500
"2018-12-27",12850
"2018-12-28",12700
"2019-01-02",12700
"2019-01-03",12900
"2019-01-04",12750
"2019-01-07",12900
"2019-01-08",12800
"2019-01-09",12650
"2019-01-10",12850
"2019-01-11",12850
"2019-01-14",12750
"2019-01-15",12700
"2019-01-16",12600
"2019-01-17",12550
"2019-01-18",12450
"2019-01-21",12450
"2019-01-22",12450
"2019-01-23",11750
"2019-01-24",11850
"2019-01-25",11850
"2019-01-28",11800
"2019-01-29",12050
"2019-01-30",12050
"2019-01-31",12100
"2019-02-01",12150
"2019-02-07",12000
"2019-02-08",11800
"2019-02-11",12000
"2019-02-12",11950
"2019-02-13",11950
"2019-02-14",11950
"2019-02-15",11950
"2019-02-18",11950
"2019-02-19",12000
"2019-02-20",12000
"2019-02-21",12000
"2019-02-22",12000
"2019-02-25",12300
"2019-02-26",12550
"2019-02-27",12300
"2019-02-28",12300
"2019-03-04",12400
"2019-03-05",12600
"2019-03-06",12650
"2019-03-07",12600
"2019-03-08",12700
"2019-03-11",12600
"2019-03-12",12550
"2019-03-13",12550
"2019-03-14",12600
"2019-03-15",12550
"2019-03-18",12500
"2019-03-19",12650
"2019-03-20",12800
"2019-03-21",13200
"2019-03-22",13450
"2019-03-25",13200
"2019-03-26",13100
"2019-03-27",13050
"2019-03-28",13300
"2019-03-29",13300
"2019-04-01",13350
"2019-04-02",13300
"2019-04-03",13300
"2019-04-04",13200
"2019-04-05",13150
"2019-04-08",13050
"2019-04-09",12850
"2019-04-10",12900
"2019-04-11",13000
"2019-04-12",13200
"2019-04-15",13150
"2019-04-16",13100
"2019-04-17",12900
"2019-04-18",13000
"2019-04-19",13000
"2019-04-22",13050
"2019-04-23",12850
"2019-04-24",13050
"2019-04-25",13000
"2019-04-26",13000
"2019-04-29",13000
"2019-04-30",13100
"2019-05-02",13000
"2019-05-03",13000
"2019-05-07",13000
"2019-05-08",13000
"2019-05-09",12850
"2019-05-10",12900
"2019-05-13",12950
"2019-05-14",13000
"2019-05-15",13050
"2019-05-16",13100
"2019-05-17",13200
"2019-05-20",13150
"2019-05-21",13050
"2019-05-22",13050
"2019-05-23",13000
"2019-05-24",12950
"2019-05-27",12950
"2019-05-28",13100
"2019-05-29",13100
"2019-05-30",13200
"2019-05-31",13250
"2019-06-03",13150
"2019-06-04",13300
"2019-06-05",13400
"2019-06-07",13450
"2019-06-10",13550
"2019-06-11",13500
"2019-06-12",13550
"2019-06-13",13450
"2019-06-14",13450
"2019-06-17",13500
"2019-06-18",13450
"2019-06-19",13350
"2019-06-20",13450
"2019-06-21",13400
"2019-06-24",13350
"2019-06-25",13450
"2019-06-26",13550
"2019-06-27",13500
"2019-06-28",13500
"2019-07-01",13300
"2019-07-02",13300
"2019-07-03",13600
"2019-07-04",13450
"2019-07-05",13350
"2019-07-08",13350
"2019-07-09",13550
"2019-07-10",13600
"2019-07-11",13350
"2019-07-12",13200
"2019-07-15",13300
"2019-07-16",13050
"2019-07-17",13050
"2019-07-18",13400
"2019-07-19",13400
"2019-07-22",13400
"2019-07-23",13400
"2019-07-24",13550
"2019-07-25",13350
"2019-07-26",12900
"2019-07-29",13000
"2019-07-30",12450
"2019-07-31",12200
"2019-08-01",12700
"2019-08-02",12400
"2019-08-05",12550
"2019-08-06",12200
"2019-08-07",12500
"2019-08-08",12650
"2019-08-09",12250
"2019-08-12",12450
"2019-08-13",12400
"2019-08-14",12500
"2019-08-16",12300
"2019-08-19",12700
"2019-08-20",12550
"2019-08-21",12600
"2019-08-22",12500
"2019-08-23",12350
"2019-08-26",12350
"2019-08-27",12400
"2019-08-28",12400
"2019-08-29",12400
"2019-08-30",12550
"2019-09-02",12600
"2019-09-03",12600
"2019-09-04",12600
"2019-09-05",12600
"2019-09-06",12500
"2019-09-09",12400
"2019-09-10",12450
"2019-09-11",12150
"2019-09-16",12500
"2019-09-17",12650
"2019-09-18",12400
"2019-09-19",12350
"2019-09-20",12450
"2019-09-23",12450
"2019-09-24",12450
"2019-09-25",12250
"2019-09-26",12350
"2019-09-27",12350
"2019-09-30",12300
"2019-10-01",12450
"2019-10-02",12200
"2019-10-04",12300
"2019-10-07",12050
"2019-10-08",12500
"2019-10-10",12200
"2019-10-11",12300
"2019-10-14",12100
"2019-10-15",12300
"2019-10-16",12350
"2019-10-17",12050
"2019-10-18",12100
"2019-10-21",12000
"2019-10-22",12100
"2019-10-23",12000
"2019-10-24",12150
"2019-10-25",12150
"2019-10-28",12350
"2019-10-29",12350
"2019-10-30",12300
"2019-10-31",12400
"2019-11-01",12500
"2019-11-04",12250
"2019-11-05",12350
"2019-11-06",12450
"2019-11-07",12450
"2019-11-08",12450
"2019-11-11",12250
"2019-11-12",12250
"2019-11-13",12250
"2019-11-14",12400
"2019-11-15",12350
"2019-11-18",12450
"2019-11-19",12150
"2019-11-20",12200
"2019-11-21",12100
"2019-11-22",12450
"2019-11-25",12450
"2019-11-26",12300
"2019-11-27",12300
"2019-11-28",12400
"2019-11-29",12300
"2019-12-02",12400
"2019-12-03",12400
"2019-12-04",12400
"2019-12-05",12300
"2019-12-06",12300
"2019-12-09",12400
"2019-12-10",12400
"2019-12-11",12400
"2019-12-12",12400
"2019-12-13",12300
"2019-12-16",12150
"2019-12-17",12300
"2019-12-18",12300
"2019-12-19",12200
"2019-12-20",12200
"2019-12-23",12250
"2019-12-24",12300
"2019-12-26",12350
"2019-12-27",12300
"2019-12-30",12350
"2020-01-02",12350
"2020-01-03",12350
"2020-01-06",12200
"2020-01-07",12150
"2020-01-08",12100
"2020-01-09",11850
"2020-01-10",12200
"2020-01-13",12100
"2020-01-14",11950
"2020-01-15",11950
"2020-01-16",11800
"2020-01-17",11650
"2020-01-20",11650
"2020-01-21",11650
"2020-01-22",11600
"2020-01-23",11550
"2020-01-28",11500
"2020-01-29",11700
"2020-01-30",11400
"2020-01-31",11600
"2020-02-03",11500
"2020-02-04",11300
"2020-02-05",11350
"2020-02-06",11400
"2020-02-07",11350
"2020-02-10",11350
"2020-02-11",11050
"2020-02-12",11000
"2020-02-13",11000
"2020-02-14",11100
"2020-02-17",11000
"2020-02-18",11250
"2020-02-19",11150
"2020-02-20",10950
"2020-02-21",10500
"2020-02-24",10800
"2020-02-25",11300
"2020-02-26",11200
"2020-02-27",11100
"2020-02-28",11100
"2020-03-02",10350
"2020-03-03",10300
"2020-03-04",10500
"2020-03-05",10650
"2020-03-06",10650
"2020-03-09",10950
"2020-03-10",11300
"2020-03-11",11150
"2020-03-12",10700
"2020-03-13",10900
"2020-03-16",11000
"2020-03-17",10050
"2020-03-18",9900
"2020-03-19",9240
"2020-03-20",9650
"2020-03-23",9360
"2020-03-24",9600
"2020-03-25",9900
"2020-03-26",10250
"2020-03-27",10150
"2020-03-30",10250
"2020-03-31",10250
"2020-04-01",10100
"2020-04-02",10100
"2020-04-03",10100
"2020-04-06",10150
"2020-04-07",10550
"2020-04-08",10800
"2020-04-09",10850
"2020-04-10",10850
"2020-04-13",10850
"2020-04-14",10700
"2020-04-16",10750
"2020-04-17",11200
"2020-04-20",11250
"2020-04-21",11000
"2020-04-22",10900
"2020-04-23",10850
"2020-04-24",10750
"2020-04-27",10850
"2020-04-28",10950
"2020-04-29",11100
"2020-05-04",11200
"2020-05-06",11250
"2020-05-07",11300
"2020-05-08",11000
"2020-05-11",10850
"2020-05-12",11150
"2020-05-13",11000
"2020-05-14",10750
"2020-05-15",10700
"2020-05-18",10800
"2020-05-19",10950
"2020-05-20",10950
"2020-05-21",11150
"2020-05-22",10700
"2020-05-25",10750
"2020-05-26",10950
"2020-05-27",11000
"2020-05-28",11000
"2020-05-29",10850
"2020-06-01",10950
"2020-06-02",11450
"2020-06-03",11150
"2020-06-04",11500
"2020-06-05",11700
"2020-06-08",11700
"2020-06-09",11600
"2020-06-10",11850
"2020-06-11",11650
"2020-06-12",11550
"2020-06-15",11350
"2020-06-16",11350
"2020-06-17",11600
"2020-06-18",11400
"2020-06-19",11550
"2020-06-22",11600
"2020-06-23",11350
"2020-06-24",11300
"2020-06-25",11400
"2020-06-26",11500
"2020-06-29",11400
"2020-06-30",11400
"2020-07-01",11250
"2020-07-02",11350
"2020-07-03",11150
"2020-07-06",10900
"2020-07-07",10850
"2020-07-08",11100
"2020-07-09",11000
"2020-07-10",11200
