"","Price"
"2018-11-05",6450
"2018-11-06",6600
"2018-11-07",6680
"2018-11-08",7240
"2018-11-09",7830
"2018-11-12",7830
"2018-11-13",7800
"2018-11-14",7990
"2018-11-15",8000
"2018-11-16",7910
"2018-11-19",7510
"2018-11-20",7330
"2018-11-21",7370
"2018-11-22",7380
"2018-11-23",7290
"2018-11-26",7500
"2018-11-27",7310
"2018-11-28",7310
"2018-11-29",7250
"2018-11-30",6890
"2018-12-03",6800
"2018-12-04",7100
"2018-12-05",5470
"2018-12-06",5450
"2018-12-07",5450
"2018-12-10",3825
"2018-12-11",3800
"2018-12-12",4035
"2018-12-13",3850
"2018-12-14",3360
"2018-12-17",4365
"2018-12-18",5070
"2018-12-19",5030
"2018-12-20",4550
"2018-12-21",4730
"2018-12-24",4950
"2018-12-26",5010
"2018-12-27",4860
"2018-12-28",5020
"2019-01-02",5800
"2019-01-03",5780
"2019-01-04",5500
"2019-01-07",5050
"2019-01-08",4100
"2019-01-09",4150
"2019-01-10",5390
"2019-01-11",5290
"2019-01-14",5490
"2019-01-15",5350
"2019-01-16",5460
"2019-01-17",5420
"2019-01-18",5580
"2019-01-21",5710
"2019-01-22",5710
"2019-01-23",5550
"2019-01-24",5390
"2019-01-25",5400
"2019-01-28",5300
"2019-01-29",5090
"2019-01-30",4885
"2019-01-31",4860
"2019-02-01",5420
"2019-02-07",5060
"2019-02-08",4950
"2019-02-11",4990
"2019-02-12",4935
"2019-02-13",4880
"2019-02-14",5050
"2019-02-15",4980
"2019-02-18",4865
"2019-02-19",4855
"2019-02-20",4685
"2019-02-21",4795
"2019-02-22",4815
"2019-02-25",4495
"2019-02-26",4310
"2019-02-27",4085
"2019-02-28",4125
"2019-03-04",4310
"2019-03-05",4540
"2019-03-06",4610
"2019-03-07",4700
"2019-03-08",4850
"2019-03-11",4860
"2019-03-12",4840
"2019-03-13",4635
"2019-03-14",4635
"2019-03-15",4950
"2019-03-18",5100
"2019-03-19",4710
"2019-03-20",4360
"2019-03-21",4150
"2019-03-22",4460
"2019-03-25",4410
"2019-03-26",4465
"2019-03-27",4270
"2019-03-28",4230
"2019-03-29",4370
"2019-04-01",4330
"2019-04-02",4415
"2019-04-03",4415
"2019-04-04",4260
"2019-04-05",4100
"2019-04-08",3920
"2019-04-09",3935
"2019-04-10",3795
"2019-04-11",3910
"2019-04-12",4015
"2019-04-15",4000
"2019-04-16",3895
"2019-04-17",3785
"2019-04-18",3785
"2019-04-19",3805
"2019-04-22",3580
"2019-04-23",3590
"2019-04-24",3855
"2019-04-25",3695
"2019-04-26",3520
"2019-04-29",3445
"2019-04-30",3395
"2019-05-02",3220
"2019-05-03",3460
"2019-05-07",3260
"2019-05-08",3130
"2019-05-09",2960
"2019-05-10",2910
"2019-05-13",2880
"2019-05-14",2950
"2019-05-15",3015
"2019-05-16",2935
"2019-05-17",2975
"2019-05-20",2925
"2019-05-21",2895
"2019-05-22",2820
"2019-05-23",2640
"2019-05-24",2760
"2019-05-27",2925
"2019-05-28",3140
"2019-05-29",2960
"2019-05-30",2885
"2019-05-31",2995
"2019-06-03",2935
"2019-06-04",2795
"2019-06-05",2650
"2019-06-07",2640
"2019-06-10",2750
"2019-06-11",2915
"2019-06-12",2815
"2019-06-13",2835
"2019-06-14",2875
"2019-06-17",2790
"2019-06-18",2750
"2019-06-19",2710
"2019-06-20",2700
"2019-06-21",2650
"2019-06-24",2595
"2019-06-25",3370
"2019-06-26",3860
"2019-06-27",3790
"2019-06-28",4095
"2019-07-01",4640
"2019-07-02",4655
"2019-07-03",5000
"2019-07-04",5020
"2019-07-05",4905
