"","Price"
"2017-06-21",6463
"2017-06-22",6463
"2017-06-23",6816
"2017-06-26",7568
"2017-06-27",8079
"2017-06-28",7521
"2017-06-29",7893
"2017-06-30",8106
"2017-07-03",8079
"2017-07-04",8682
"2017-07-05",8886
"2017-07-06",9564
"2017-07-07",9796
"2017-07-10",9239
"2017-07-11",10168
"2017-07-12",10725
"2017-07-13",9982
"2017-07-14",10121
"2017-07-17",9889
"2017-07-18",8961
"2017-07-19",6946
"2017-07-20",6797
"2017-07-21",6519
"2017-07-24",6472
"2017-07-25",6082
"2017-07-26",5683
"2017-07-27",5878
"2017-07-28",5349
"2017-07-31",5599
"2017-08-01",5432
"2017-08-02",5302
"2017-08-03",5144
"2017-08-04",4921
"2017-08-07",5200
"2017-08-08",5107
"2017-08-09",5089
"2017-08-10",4949
"2017-08-11",4689
"2017-08-14",4522
"2017-08-16",4671
"2017-08-17",4708
"2017-08-18",4661
"2017-08-21",4745
"2017-08-22",4699
"2017-08-23",4819
"2017-08-24",5042
"2017-08-25",5256
"2017-08-28",5246
"2017-08-29",5246
"2017-08-30",5274
"2017-08-31",5219
"2017-09-01",5246
"2017-09-04",5256
"2017-09-05",5664
"2017-09-06",5776
"2017-09-07",5739
"2017-09-08",5887
"2017-09-11",5989
"2017-09-12",6073
"2017-09-13",6026
"2017-09-14",6073
"2017-09-15",6045
"2017-09-18",5906
"2017-09-19",5822
"2017-09-20",5479
"2017-09-21",5228
"2017-09-22",5330
"2017-09-25",4699
"2017-09-26",4726
"2017-09-27",5228
"2017-09-28",5414
"2017-09-29",5414
"2017-10-10",5618
"2017-10-11",5599
"2017-10-12",5451
"2017-10-13",5200
"2017-10-16",5200
"2017-10-17",5191
"2017-10-18",5163
"2017-10-19",5246
"2017-10-20",5293
"2017-10-23",5479
"2017-10-24",5469
"2017-10-25",5293
"2017-10-26",5200
"2017-10-27",5172
"2017-10-30",5014
"2017-10-31",4968
"2017-11-01",4986
"2017-11-02",5154
"2017-11-03",5163
"2017-11-06",4986
