"","Price"
"2018-11-05",3950
"2018-11-06",4050
"2018-11-07",4040
"2018-11-08",4080
"2018-11-09",4000
"2018-11-12",3855
"2018-11-13",3870
"2018-11-14",3945
"2018-11-15",4145
"2018-11-16",4280
"2018-11-19",4310
"2018-11-20",4380
"2018-11-21",4365
"2018-11-22",4390
"2018-11-23",4360
"2018-11-26",4300
"2018-11-27",4385
"2018-11-28",4335
"2018-11-29",4325
"2018-11-30",4420
"2018-12-03",4430
"2018-12-04",4600
"2018-12-05",4605
"2018-12-06",4590
"2018-12-07",4640
"2018-12-10",4510
"2018-12-11",4455
"2018-12-12",4425
"2018-12-13",4370
"2018-12-14",4420
"2018-12-17",4360
"2018-12-18",4230
"2018-12-19",4270
"2018-12-20",4215
"2018-12-21",4080
"2018-12-24",3875
"2018-12-26",3845
"2018-12-27",3885
"2018-12-28",4150
"2019-01-02",4245
"2019-01-03",4185
"2019-01-04",4220
"2019-01-07",4350
"2019-01-08",4275
"2019-01-09",4345
"2019-01-10",4280
"2019-01-11",4320
"2019-01-14",4360
"2019-01-15",4605
"2019-01-16",4800
"2019-01-17",4720
"2019-01-18",5070
"2019-01-21",5100
"2019-01-22",4920
"2019-01-23",5020
"2019-01-24",5250
"2019-01-25",5210
"2019-01-28",5110
"2019-01-29",4950
"2019-01-30",4985
"2019-01-31",5000
"2019-02-01",5110
"2019-02-07",5280
"2019-02-08",5250
"2019-02-11",5210
"2019-02-12",5130
"2019-02-13",5150
"2019-02-14",5230
"2019-02-15",5240
"2019-02-18",5230
"2019-02-19",5170
"2019-02-20",5150
"2019-02-21",5080
"2019-02-22",5060
"2019-02-25",5030
"2019-02-26",5100
"2019-02-27",5060
"2019-02-28",4810
"2019-03-04",4920
"2019-03-05",4875
"2019-03-06",4950
"2019-03-07",5100
"2019-03-08",5070
"2019-03-11",5040
"2019-03-12",5140
"2019-03-13",5090
"2019-03-14",4975
"2019-03-15",4930
"2019-03-18",5020
"2019-03-19",5060
"2019-03-20",4950
"2019-03-21",5020
"2019-03-22",4945
"2019-03-25",4915
"2019-03-26",4850
"2019-03-27",4830
"2019-03-28",4800
"2019-03-29",4760
"2019-04-01",4765
"2019-04-02",4825
"2019-04-03",4900
"2019-04-04",4875
"2019-04-05",5250
"2019-04-08",5190
"2019-04-09",5410
"2019-04-10",5410
"2019-04-11",5470
"2019-04-12",6110
"2019-04-15",6410
"2019-04-16",6480
"2019-04-17",6110
"2019-04-18",5830
"2019-04-19",5970
"2019-04-22",5890
"2019-04-23",5960
"2019-04-24",5850
"2019-04-25",5660
"2019-04-26",5700
"2019-04-29",5630
"2019-04-30",5470
"2019-05-02",5440
"2019-05-03",5310
"2019-05-07",5360
"2019-05-08",5500
"2019-05-09",5300
"2019-05-10",5200
"2019-05-13",4990
"2019-05-14",5100
"2019-05-15",5110
"2019-05-16",5170
"2019-05-17",5090
"2019-05-20",4990
"2019-05-21",4910
"2019-05-22",4850
"2019-05-23",4900
"2019-05-24",4850
"2019-05-27",4805
"2019-05-28",4870
"2019-05-29",4880
"2019-05-30",4770
"2019-05-31",4725
"2019-06-03",4650
"2019-06-04",4840
"2019-06-05",4960
"2019-06-07",5000
"2019-06-10",5080
"2019-06-11",5110
"2019-06-12",5100
"2019-06-13",5140
"2019-06-14",5120
"2019-06-17",5080
"2019-06-18",5150
"2019-06-19",5160
"2019-06-20",5300
"2019-06-21",5300
"2019-06-24",5290
"2019-06-25",5110
"2019-06-26",5080
"2019-06-27",5080
"2019-06-28",5010
"2019-07-01",5100
"2019-07-02",5010
"2019-07-03",4965
"2019-07-04",4960
"2019-07-05",4890
"2019-07-08",4715
"2019-07-09",4740
"2019-07-10",4685
"2019-07-11",4715
"2019-07-12",4710
"2019-07-15",4675
"2019-07-16",4690
"2019-07-17",4590
"2019-07-18",4575
"2019-07-19",4530
"2019-07-22",4495
"2019-07-23",4470
"2019-07-24",4500
"2019-07-25",4390
"2019-07-26",4260
"2019-07-29",3995
"2019-07-30",4195
"2019-07-31",4100
"2019-08-01",4080
"2019-08-02",4065
