"","Price"
"2017-05-23",5040
"2017-05-24",5020
"2017-05-25",4965
"2017-05-26",4990
"2017-05-29",4950
"2017-05-30",5080
"2017-05-31",5080
"2017-06-01",5350
"2017-06-02",5370
"2017-06-05",5250
"2017-06-07",5460
"2017-06-08",5550
"2017-06-09",5490
"2017-06-12",5300
"2017-06-13",5380
"2017-06-14",5290
"2017-06-15",5290
"2017-06-16",5300
"2017-06-19",5350
"2017-06-20",5170
"2017-06-21",5160
"2017-06-22",5170
"2017-06-23",5120
"2017-06-26",5140
"2017-06-27",5070
"2017-06-28",5010
"2017-06-29",4915
"2017-06-30",4790
"2017-07-03",4630
"2017-07-04",4580
"2017-07-05",4705
"2017-07-06",4650
"2017-07-07",4585
"2017-07-10",4590
"2017-07-11",4670
"2017-07-12",4600
"2017-07-13",4600
"2017-07-14",4660
"2017-07-17",4685
"2017-07-18",4940
"2017-07-19",5020
"2017-07-20",5020
"2017-07-21",4975
"2017-07-24",5260
"2017-07-25",5100
"2017-07-26",5010
"2017-07-27",4975
"2017-07-28",4775
"2017-07-31",4845
"2017-08-01",4845
"2017-08-02",4855
"2017-08-03",4710
"2017-08-04",4620
"2017-08-07",4745
"2017-08-08",4760
"2017-08-09",4750
"2017-08-10",4715
"2017-08-11",4630
"2017-08-14",4700
"2017-08-16",4700
"2017-08-17",4790
"2017-08-18",4930
"2017-08-21",4910
"2017-08-22",5030
"2017-08-23",4970
"2017-08-24",4975
"2017-08-25",4995
"2017-08-28",4920
"2017-08-29",4830
"2017-08-30",4935
"2017-08-31",5000
"2017-09-01",5010
"2017-09-04",4935
"2017-09-05",4760
"2017-09-06",4760
"2017-09-07",4725
"2017-09-08",4710
"2017-09-11",4680
"2017-09-12",4735
"2017-09-13",4730
"2017-09-14",4710
"2017-09-15",4780
"2017-09-18",4925
"2017-09-19",4830
"2017-09-20",4770
"2017-09-21",4770
"2017-09-22",4530
"2017-09-25",4175
"2017-09-26",4245
"2017-09-27",4200
"2017-09-28",4130
"2017-09-29",4230
"2017-10-10",4170
"2017-10-11",4180
"2017-10-12",4190
"2017-10-13",4065
"2017-10-16",4015
"2017-10-17",4135
"2017-10-18",4140
"2017-10-19",4130
"2017-10-20",4130
"2017-10-23",4090
"2017-10-24",4055
"2017-10-25",4135
"2017-10-26",4130
"2017-10-27",4225
"2017-10-30",4210
"2017-10-31",4265
"2017-11-01",4425
"2017-11-02",4380
"2017-11-03",4355
"2017-11-06",4250
"2017-11-07",4250
"2017-11-08",4230
"2017-11-09",4330
"2017-11-10",4460
"2017-11-13",4470
"2017-11-14",4400
"2017-11-15",4320
"2017-11-16",4240
"2017-11-17",4260
"2017-11-20",4190
"2017-11-21",4350
"2017-11-22",4350
"2017-11-23",4350
"2017-11-24",4335
"2017-11-27",4415
"2017-11-28",4245
"2017-11-29",4220
"2017-11-30",4080
"2017-12-01",4130
"2017-12-04",4025
"2017-12-05",4045
"2017-12-06",3970
"2017-12-07",3970
"2017-12-08",4000
"2017-12-11",3965
"2017-12-12",3980
"2017-12-13",3975
"2017-12-14",3995
"2017-12-15",3960
"2017-12-18",3965
"2017-12-19",3965
"2017-12-20",3965
"2017-12-21",3960
"2017-12-22",3945
"2017-12-26",3910
"2017-12-27",3880
"2017-12-28",3880
"2018-01-02",3895
"2018-01-03",4010
