"","Price"
"2018-11-05",89900
"2018-11-06",89800
"2018-11-07",91600
"2018-11-08",91800
"2018-11-09",91500
"2018-11-12",87400
"2018-11-13",86600
"2018-11-14",89900
"2018-11-15",92900
"2018-11-16",92900
"2018-11-19",94200
"2018-11-20",92800
"2018-11-21",95500
"2018-11-22",93300
"2018-11-23",90800
"2018-11-26",92200
"2018-11-27",92800
"2018-11-28",91400
"2018-11-29",88900
"2018-11-30",91200
"2018-12-03",91500
"2018-12-04",91200
"2018-12-05",91200
"2018-12-06",87600
"2018-12-07",87700
"2018-12-10",88400
"2018-12-11",87800
"2018-12-12",89400
"2018-12-13",92600
"2018-12-14",84200
"2018-12-17",84200
"2018-12-18",84600
"2018-12-19",87000
"2018-12-20",86100
"2018-12-21",85300
"2018-12-24",86600
"2018-12-26",88400
"2018-12-27",90200
"2018-12-28",92000
"2019-01-02",89800
"2019-01-03",85500
"2019-01-04",86100
"2019-01-07",84400
"2019-01-08",81700
"2019-01-09",81700
"2019-01-10",82600
"2019-01-11",82700
"2019-01-14",81900
"2019-01-15",83400
"2019-01-16",82100
"2019-01-17",81500
"2019-01-18",84200
"2019-01-21",84500
"2019-01-22",85200
"2019-01-23",84300
"2019-01-24",85000
"2019-01-25",85500
"2019-01-28",86100
"2019-01-29",86000
"2019-01-30",88000
"2019-01-31",91000
"2019-02-01",93500
"2019-02-07",95000
"2019-02-08",96100
"2019-02-11",99200
"2019-02-12",96100
"2019-02-13",98500
"2019-02-14",98400
"2019-02-15",98400
"2019-02-18",101500
"2019-02-19",104800
"2019-02-20",105600
"2019-02-21",105600
"2019-02-22",105500
"2019-02-25",104700
"2019-02-26",102800
"2019-02-27",112000
"2019-02-28",116600
"2019-03-04",117900
"2019-03-05",116800
"2019-03-06",120500
"2019-03-07",114000
"2019-03-08",117100
"2019-03-11",118800
"2019-03-12",119900
"2019-03-13",122500
"2019-03-14",120100
"2019-03-15",118300
"2019-03-18",117900
"2019-03-19",118900
"2019-03-20",124700
"2019-03-21",125500
"2019-03-22",129400
"2019-03-25",133900
"2019-03-26",136100
"2019-03-27",137000
"2019-03-28",136300
"2019-03-29",138400
"2019-04-01",131100
"2019-04-02",127700
"2019-04-03",127700
"2019-04-04",127200
"2019-04-05",123400
"2019-04-08",123100
"2019-04-09",122500
"2019-04-10",122800
"2019-04-11",123900
"2019-04-12",125800
"2019-04-15",128100
"2019-04-16",138600
"2019-04-17",148400
"2019-04-18",143300
"2019-04-19",140100
"2019-04-22",139800
"2019-04-23",137800
"2019-04-24",137500
"2019-04-25",135700
"2019-04-26",137600
"2019-04-29",123600
"2019-04-30",120000
"2019-05-02",113700
"2019-05-03",116800
"2019-05-07",121000
"2019-05-08",119100
"2019-05-09",117300
"2019-05-10",116000
"2019-05-13",116000
"2019-05-14",116700
"2019-05-15",119700
"2019-05-16",115800
"2019-05-17",115300
"2019-05-20",111500
"2019-05-21",106200
"2019-05-22",113100
"2019-05-23",109700
"2019-05-24",109700
"2019-05-27",111400
"2019-05-28",114500
"2019-05-29",108000
"2019-05-30",102400
"2019-05-31",112200
"2019-06-03",109800
"2019-06-04",110000
"2019-06-05",110500
"2019-06-07",112000
"2019-06-10",115600
"2019-06-11",118500
"2019-06-12",117000
"2019-06-13",117500
"2019-06-14",115600
"2019-06-17",114500
"2019-06-18",110000
"2019-06-19",110900
"2019-06-20",117900
"2019-06-21",117500
"2019-06-24",117300
"2019-06-25",116400
"2019-06-26",114900
"2019-06-27",82700
"2019-06-28",63000
"2019-07-01",81900
"2019-07-02",94500
"2019-07-03",91400
"2019-07-04",92300
"2019-07-05",91000
"2019-07-08",92100
"2019-07-09",90000
"2019-07-10",90000
"2019-07-11",90300
"2019-07-12",88800
"2019-07-15",90000
"2019-07-16",90400
"2019-07-17",89700
"2019-07-18",89200
"2019-07-19",90100
"2019-07-22",94800
"2019-07-23",105500
"2019-07-24",102700
"2019-07-25",104000
"2019-07-26",101300
"2019-07-29",103200
"2019-07-30",104900
"2019-07-31",106000
"2019-08-01",128500
"2019-08-02",123900
"2019-08-05",119600
"2019-08-06",109900
"2019-08-07",108200
"2019-08-08",108400
"2019-08-09",107600
"2019-08-12",106100
"2019-08-13",100500
"2019-08-14",104500
"2019-08-16",101200
"2019-08-19",101700
"2019-08-20",106400
"2019-08-21",106400
"2019-08-22",107300
"2019-08-23",106100
"2019-08-26",100400
"2019-08-27",100400
"2019-08-28",104000
"2019-08-29",101000
"2019-08-30",101900
"2019-09-02",101200
"2019-09-03",99700
"2019-09-04",98000
"2019-09-05",103000
"2019-09-06",107400
"2019-09-09",105100
"2019-09-10",101500
"2019-09-11",102500
"2019-09-16",105000
"2019-09-17",104500
"2019-09-18",102000
"2019-09-19",102000
"2019-09-20",100200
"2019-09-23",99900
"2019-09-24",104400
"2019-09-25",103700
"2019-09-26",120400
"2019-09-27",122500
"2019-09-30",123200
"2019-10-01",134000
"2019-10-02",134000
"2019-10-04",139000
"2019-10-07",152300
"2019-10-08",175000
"2019-10-10",180600
"2019-10-11",176900
"2019-10-14",172500
"2019-10-15",173900
"2019-10-16",173000
"2019-10-17",174100
"2019-10-18",180200
"2019-10-21",182700
"2019-10-22",193000
"2019-10-23",204300
"2019-10-24",199700
"2019-10-25",203000
"2019-10-28",200200
"2019-10-29",193900
"2019-10-30",191000
"2019-10-31",192500
"2019-11-01",200800
"2019-11-04",202000
"2019-11-05",215700
"2019-11-06",231900
"2019-11-07",233000
"2019-11-08",231500
"2019-11-11",249100
"2019-11-12",246800
"2019-11-13",223600
"2019-11-14",226400
"2019-11-15",226400
"2019-11-18",173500
"2019-11-19",162100
"2019-11-20",153000
"2019-11-21",148000
"2019-11-22",139000
"2019-11-25",150500
"2019-11-26",143500
"2019-11-27",145800
"2019-11-28",139100
"2019-11-29",139800
"2019-12-02",145500
"2019-12-03",159900
"2019-12-04",150900
"2019-12-05",145000
"2019-12-06",145200
"2019-12-09",141200
"2019-12-10",141500
"2019-12-11",135100
"2019-12-12",141300
"2019-12-13",140900
"2019-12-16",146600
"2019-12-17",159000
"2019-12-18",157100
"2019-12-19",155200
"2019-12-20",161800
"2019-12-23",163000
"2019-12-24",162000
"2019-12-26",160700
"2019-12-27",181500
"2019-12-30",191300
"2020-01-02",193800
"2020-01-03",191100
"2020-01-06",179400
"2020-01-07",185100
"2020-01-08",171900
"2020-01-09",185000
"2020-01-10",189900
"2020-01-13",186200
"2020-01-14",182600
"2020-01-15",181800
"2020-01-16",187700
"2020-01-17",185000
"2020-01-20",183300
"2020-01-21",178800
"2020-01-22",183700
"2020-01-23",178500
"2020-01-28",168800
"2020-01-29",180000
"2020-01-30",171300
"2020-01-31",165100
"2020-02-03",167000
"2020-02-04",171900
"2020-02-05",170500
"2020-02-06",173900
"2020-02-07",173400
"2020-02-10",177600
"2020-02-11",179800
"2020-02-12",178800
"2020-02-13",175700
"2020-02-14",173000
"2020-02-17",155200
"2020-02-18",159100
"2020-02-19",155000
"2020-02-20",150900
"2020-02-21",146900
"2020-02-24",139400
"2020-02-25",145700
"2020-02-26",143700
"2020-02-27",143200
"2020-02-28",139800
"2020-03-02",144000
"2020-03-03",145700
"2020-03-04",148900
"2020-03-05",150500
"2020-03-06",144200
"2020-03-09",137700
"2020-03-10",142900
"2020-03-11",137000
"2020-03-12",125000
"2020-03-13",116600
"2020-03-16",112900
"2020-03-17",116500
"2020-03-18",106500
"2020-03-19",88900
"2020-03-20",107000
"2020-03-23",97000
"2020-03-24",104400
"2020-03-25",108200
"2020-03-26",111000
"2020-03-27",128100
"2020-03-30",125100
"2020-03-31",130100
"2020-04-01",122300
"2020-04-02",124000
"2020-04-03",122300
"2020-04-06",125700
"2020-04-07",129800
"2020-04-08",132000
"2020-04-09",138500
"2020-04-10",133900
"2020-04-13",127700
"2020-04-14",135600
"2020-04-16",146500
"2020-04-17",152500
"2020-04-20",155300
"2020-04-21",150300
"2020-04-22",151700
"2020-04-23",156000
"2020-04-24",153000
"2020-04-27",156000
"2020-04-28",155600
"2020-04-29",155700
"2020-05-04",153600
"2020-05-06",171700
"2020-05-07",176000
"2020-05-08",186700
"2020-05-11",184400
"2020-05-12",184100
"2020-05-13",183500
"2020-05-14",177000
"2020-05-15",176700
"2020-05-18",176000
"2020-05-19",180300
"2020-05-20",184900
"2020-05-21",184900
"2020-05-22",175000
"2020-05-25",180000
"2020-05-26",189900
"2020-05-27",191100
"2020-05-28",180500
"2020-05-29",180300
"2020-06-01",185900
"2020-06-02",198400
"2020-06-03",2e+05
"2020-06-04",208700
"2020-06-05",208900
"2020-06-08",204800
"2020-06-09",197300
"2020-06-10",195800
"2020-06-11",191500
"2020-06-12",183700
"2020-06-15",182500
"2020-06-16",193500
"2020-06-17",188000
"2020-06-18",178900
"2020-06-19",178700
"2020-06-22",172000
"2020-06-23",170800
"2020-06-24",182800
"2020-06-25",180200
"2020-06-26",184800
"2020-06-29",175600
"2020-06-30",228200
"2020-07-01",186600
"2020-07-02",178200
"2020-07-03",170600
"2020-07-06",170800
"2020-07-07",179400
"2020-07-08",184100
"2020-07-09",183300
"2020-07-10",179500
"2020-07-13",175000
"2020-07-14",177900
"2020-07-15",175700
"2020-07-16",173300
"2020-07-17",172800
"2020-07-20",172700
"2020-07-21",174200
"2020-07-22",176500
"2020-07-23",174500
"2020-07-24",172500
"2020-07-27",172000
"2020-07-28",173400
"2020-07-29",172000
"2020-07-30",171400
"2020-07-31",169900
"2020-08-03",164000
"2020-08-04",172900
"2020-08-05",180700
"2020-08-06",177000
"2020-08-07",175800
"2020-08-10",172800
"2020-08-11",176200
"2020-08-12",171700
"2020-08-13",174400
"2020-08-14",173900
"2020-08-18",170700
"2020-08-19",174500
"2020-08-20",175200
"2020-08-21",187500
"2020-08-24",204600
"2020-08-25",213700
"2020-08-26",219900
"2020-08-27",212500
"2020-08-28",224900
"2020-08-31",170200
"2020-09-01",168700
"2020-09-02",170100
"2020-09-03",167700
"2020-09-04",165500
"2020-09-07",160900
"2020-09-08",163800
"2020-09-09",161800
"2020-09-10",161800
"2020-09-11",160500
"2020-09-14",159700
"2020-09-15",159800
"2020-09-16",163000
"2020-09-17",163000
"2020-09-18",161400
"2020-09-21",159100
"2020-09-22",165700
"2020-09-23",165900
"2020-09-24",163100
"2020-09-25",162300
"2020-09-28",166000
"2020-09-29",168700
"2020-10-05",168400
"2020-10-06",167400
"2020-10-07",173100
"2020-10-08",173500
"2020-10-12",173300
"2020-10-13",172400
"2020-10-14",169300
"2020-10-15",170400
"2020-10-16",168600
"2020-10-19",167100
"2020-10-20",170000
"2020-10-21",171500
"2020-10-22",171300
"2020-10-23",172000
"2020-10-26",168600
"2020-10-27",169000
"2020-10-28",171900
"2020-10-29",175700
"2020-10-30",176700
"2020-11-02",179000
"2020-11-03",182700
"2020-11-04",184600
"2020-11-05",191500
"2020-11-06",185900
"2020-11-09",185200
"2020-11-10",182200
"2020-11-11",183100
"2020-11-12",186400
"2020-11-13",188300
"2020-11-16",185400
"2020-11-17",185900
"2020-11-18",182400
"2020-11-19",179700
"2020-11-20",190300
"2020-11-23",183800
"2020-11-24",179200
"2020-11-25",177900
"2020-11-26",179900
"2020-11-27",177900
"2020-11-30",175300
"2020-12-01",175900
"2020-12-02",175900
"2020-12-03",173900
"2020-12-04",174100
"2020-12-07",184500
"2020-12-08",188600
"2020-12-09",178400
"2020-12-10",183600
"2020-12-11",182400
"2020-12-14",180800
"2020-12-15",177800
"2020-12-16",176600
"2020-12-17",177400
"2020-12-18",177800
"2020-12-21",177500
"2020-12-22",171400
"2020-12-23",169000
"2020-12-24",168200
"2020-12-28",174600
"2020-12-29",176000
"2020-12-30",175800
"2021-01-04",172800
"2021-01-05",169200
"2021-01-06",169900
"2021-01-07",169100
"2021-01-08",165600
"2021-01-11",158500
"2021-01-12",151100
"2021-01-13",155700
"2021-01-14",160500
"2021-01-15",155900
"2021-01-18",150800
"2021-01-19",152200
"2021-01-20",154300
"2021-01-21",150300
"2021-01-22",147600
"2021-01-25",150000
"2021-01-26",147100
"2021-01-27",140500
"2021-01-28",135600
"2021-01-29",134200
"2021-02-01",139400
"2021-02-02",140400
"2021-02-03",143900
"2021-02-04",140500
"2021-02-05",138900
"2021-02-08",141300
"2021-02-09",153300
"2021-02-10",156500
"2021-02-15",161000
"2021-02-16",159900
"2021-02-17",158400
"2021-02-18",153300
"2021-02-19",155300
"2021-02-22",151700
"2021-02-23",148200
"2021-02-24",146500
"2021-02-25",154500
"2021-02-26",151300
"2021-03-02",155900
"2021-03-03",157100
"2021-03-04",156700
"2021-03-05",157000
"2021-03-08",153900
"2021-03-09",157000
"2021-03-10",156800
