"","Price"
"2017-05-23",8950
"2017-05-24",8950
"2017-05-25",8980
"2017-05-26",8970
"2017-05-29",8820
"2017-05-30",9000
"2017-05-31",9000
"2017-06-01",8970
"2017-06-02",8900
"2017-06-05",8750
"2017-06-07",8790
"2017-06-08",8740
"2017-06-09",8550
"2017-06-12",8650
"2017-06-13",8710
"2017-06-14",8730
"2017-06-15",8620
"2017-06-16",8600
"2017-06-19",8550
"2017-06-20",8540
"2017-06-21",8520
"2017-06-22",8400
"2017-06-23",8450
"2017-06-26",8450
"2017-06-27",8330
"2017-06-28",8250
"2017-06-29",8260
"2017-06-30",8300
"2017-07-03",8650
"2017-07-04",8500
"2017-07-05",9200
"2017-07-06",9210
"2017-07-07",9140
"2017-07-10",9170
"2017-07-11",9590
"2017-07-12",9780
"2017-07-13",12300
"2017-07-14",10750
"2017-07-17",11150
"2017-07-18",12400
"2017-07-19",12450
"2017-07-20",12550
"2017-07-21",12850
"2017-07-24",12400
"2017-07-25",12400
"2017-07-26",11900
"2017-07-27",11800
"2017-07-28",11650
"2017-07-31",11600
"2017-08-01",12300
"2017-08-02",12700
"2017-08-03",12000
"2017-08-04",12250
"2017-08-07",11500
"2017-08-08",11500
"2017-08-09",11200
"2017-08-10",10650
"2017-08-11",10800
"2017-08-14",10900
"2017-08-16",11300
"2017-08-17",11000
"2017-08-18",11500
"2017-08-21",11300
"2017-08-22",11250
"2017-08-23",11300
"2017-08-24",12350
"2017-08-25",12500
"2017-08-28",12100
"2017-08-29",14550
"2017-08-30",16300
"2017-08-31",16500
"2017-09-01",16900
"2017-09-04",18100
"2017-09-05",18700
"2017-09-06",18400
"2017-09-07",17950
"2017-09-08",17650
"2017-09-11",18800
"2017-09-12",24400
"2017-09-13",24400
"2017-09-14",24500
"2017-09-15",24800
"2017-09-18",23200
"2017-09-19",23350
"2017-09-20",23000
"2017-09-21",21800
"2017-09-22",22400
"2017-09-25",23950
"2017-09-26",23900
"2017-09-27",23200
"2017-09-28",22250
"2017-09-29",20900
"2017-10-10",20500
"2017-10-11",22500
"2017-10-12",22700
"2017-10-13",21500
"2017-10-16",20800
"2017-10-17",20950
"2017-10-18",19900
"2017-10-19",19900
"2017-10-20",18200
"2017-10-23",18500
"2017-10-24",19000
"2017-10-25",18950
"2017-10-26",18550
"2017-10-27",19100
"2017-10-30",19050
"2017-10-31",19450
"2017-11-01",19450
"2017-11-02",21350
"2017-11-03",20650
"2017-11-06",21000
"2017-11-07",20850
"2017-11-08",21600
"2017-11-09",21800
"2017-11-10",22500
"2017-11-13",21600
"2017-11-14",21750
"2017-11-15",20900
"2017-11-16",22250
"2017-11-17",21600
"2017-11-20",21750
"2017-11-21",22800
"2017-11-22",22900
"2017-11-23",22900
"2017-11-24",23550
"2017-11-27",22300
"2017-11-28",21200
"2017-11-29",20800
"2017-11-30",20600
"2017-12-01",20350
"2017-12-04",19100
"2017-12-05",19400
"2017-12-06",18700
"2017-12-07",18500
"2017-12-08",17900
"2017-12-11",18500
"2017-12-12",18000
"2017-12-13",18550
"2017-12-14",19050
"2017-12-15",18450
"2017-12-18",18200
"2017-12-19",17550
"2017-12-20",17750
"2017-12-21",17350
"2017-12-22",18600
"2017-12-26",18400
"2017-12-27",19700
"2017-12-28",20500
"2018-01-02",20800
"2018-01-03",21350
"2018-01-04",20500
"2018-01-05",21850
"2018-01-08",21800
"2018-01-09",20800
"2018-01-10",21600
"2018-01-11",21600
"2018-01-12",19700
"2018-01-15",19200
"2018-01-16",19950
"2018-01-17",20300
"2018-01-18",20300
"2018-01-19",19700
"2018-01-22",22400
"2018-01-23",29100
"2018-01-24",30550
"2018-01-25",32100
"2018-01-26",32100
"2018-01-29",33200
"2018-01-30",32300
"2018-01-31",30500
"2018-02-01",29900
"2018-02-02",32000
"2018-02-05",29250
"2018-02-06",27900
"2018-02-07",25800
"2018-02-08",27100
"2018-02-09",25800
"2018-02-12",24250
"2018-02-13",24200
"2018-02-14",24800
"2018-02-19",28200
"2018-02-20",26800
"2018-02-21",26950
"2018-02-22",27600
"2018-02-23",27200
"2018-02-26",26650
"2018-02-27",26500
"2018-02-28",25600
"2018-03-02",26150
"2018-03-05",27650
"2018-03-06",27650
"2018-03-07",27000
"2018-03-08",28400
"2018-03-09",28350
"2018-03-12",28350
"2018-03-13",27350
"2018-03-14",27400
"2018-03-15",27200
"2018-03-16",28800
"2018-03-19",27900
"2018-03-20",28300
"2018-03-21",28800
"2018-03-22",28100
"2018-03-23",26050
"2018-03-26",26800
"2018-03-27",27700
"2018-03-28",27200
"2018-03-29",27300
"2018-03-30",27150
"2018-04-02",26350
"2018-04-03",25750
"2018-04-04",24250
"2018-04-05",24800
"2018-04-06",22800
"2018-04-09",22500
"2018-04-10",22750
"2018-04-11",22550
"2018-04-12",23500
"2018-04-13",24050
"2018-04-16",23900
"2018-04-17",25050
"2018-04-18",24450
"2018-04-19",24450
"2018-04-20",23800
"2018-04-23",23000
"2018-04-24",23450
"2018-04-25",23150
"2018-04-26",23800
"2018-04-27",23350
"2018-04-30",22700
"2018-05-02",23150
"2018-05-03",24100
"2018-05-04",23150
"2018-05-08",22050
"2018-05-09",22350
"2018-05-10",22850
"2018-05-11",22400
"2018-05-14",22050
"2018-05-15",22000
"2018-05-16",21150
"2018-05-17",21800
"2018-05-18",22800
"2018-05-21",22800
"2018-05-23",22300
"2018-05-24",21600
"2018-05-25",21450
"2018-05-28",22000
"2018-05-29",21050
"2018-05-30",20250
"2018-05-31",20500
"2018-06-01",20650
"2018-06-04",22100
"2018-06-05",22000
"2018-06-07",22400
"2018-06-08",23150
"2018-06-11",23200
"2018-06-12",23400
"2018-06-14",25500
"2018-06-15",25000
"2018-06-18",23100
"2018-06-19",21550
"2018-06-20",22300
"2018-06-21",21850
"2018-06-22",21150
"2018-06-25",23800
"2018-06-26",24450
"2018-06-27",24300
"2018-06-28",23700
"2018-06-29",24950
"2018-07-02",25800
"2018-07-03",25300
"2018-07-04",25800
"2018-07-05",24500
"2018-07-06",24100
"2018-07-09",25000
"2018-07-10",25200
"2018-07-11",25050
"2018-07-12",25950
"2018-07-13",25800
"2018-07-16",25150
"2018-07-17",24750
"2018-07-18",24300
"2018-07-19",24650
"2018-07-20",24000
"2018-07-23",22000
"2018-07-24",22050
"2018-07-25",22350
"2018-07-26",22400
"2018-07-27",23250
"2018-07-30",23300
"2018-07-31",23650
"2018-08-01",23650
"2018-08-02",23700
"2018-08-03",23800
"2018-08-06",23400
"2018-08-07",22950
"2018-08-08",22450
"2018-08-09",23050
"2018-08-10",22600
"2018-08-13",23150
"2018-08-14",23150
"2018-08-16",24000
"2018-08-17",23950
"2018-08-20",23900
"2018-08-21",24250
"2018-08-22",24500
"2018-08-23",24250
"2018-08-24",24000
"2018-08-27",23850
"2018-08-28",25100
"2018-08-29",25100
"2018-08-30",25100
"2018-08-31",25050
"2018-09-03",24300
"2018-09-04",24800
"2018-09-05",24700
"2018-09-06",26250
"2018-09-07",27200
"2018-09-10",27100
"2018-09-11",27150
"2018-09-12",26850
"2018-09-13",26850
"2018-09-14",26150
"2018-09-17",26450
"2018-09-18",26700
"2018-09-19",26000
"2018-09-20",24950
"2018-09-21",25150
"2018-09-27",25200
"2018-09-28",24250
"2018-10-01",25650
"2018-10-02",24400
"2018-10-04",24800
"2018-10-05",24400
"2018-10-08",24000
"2018-10-10",22200
"2018-10-11",20100
"2018-10-12",20950
"2018-10-15",20850
"2018-10-16",22000
"2018-10-17",22050
"2018-10-18",22150
"2018-10-19",22000
"2018-10-22",22600
"2018-10-23",22150
"2018-10-24",21500
"2018-10-25",21000
"2018-10-26",19300
"2018-10-29",16900
"2018-10-30",17650
"2018-10-31",18300
"2018-11-01",19050
"2018-11-02",20050
"2018-11-05",19850
"2018-11-06",19900
"2018-11-07",19250
"2018-11-08",20000
"2018-11-09",19850
"2018-11-12",19900
"2018-11-13",19750
"2018-11-14",20000
"2018-11-15",20050
"2018-11-16",20300
"2018-11-19",21300
"2018-11-20",21200
"2018-11-21",21150
"2018-11-22",21000
"2018-11-23",19900
"2018-11-26",20100
"2018-11-27",19950
"2018-11-28",19850
"2018-11-29",19500
"2018-11-30",19800
"2018-12-03",20500
"2018-12-04",20200
"2018-12-05",19500
"2018-12-06",18550
"2018-12-07",18600
"2018-12-10",18950
"2018-12-11",18150
"2018-12-12",21600
"2018-12-13",21850
"2018-12-14",21950
"2018-12-17",23100
"2018-12-18",23900
"2018-12-19",25650
"2018-12-20",25950
"2018-12-21",25800
"2018-12-24",24850
"2018-12-26",25550
"2018-12-27",25350
"2018-12-28",28150
"2019-01-02",28950
"2019-01-03",28300
"2019-01-04",28450
"2019-01-07",28600
"2019-01-08",28500
"2019-01-09",27850
"2019-01-10",28650
"2019-01-11",27800
"2019-01-14",28150
"2019-01-15",28150
"2019-01-16",29900
"2019-01-17",29500
"2019-01-18",30850
"2019-01-21",40100
"2019-01-22",38900
"2019-01-23",39850
"2019-01-24",39300
"2019-01-25",43700
"2019-01-28",42500
"2019-01-29",42250
"2019-01-30",40550
"2019-01-31",40150
"2019-02-01",39550
"2019-02-07",39950
"2019-02-08",39850
"2019-02-11",40200
"2019-02-12",38850
