"","Price"
"2020-12-10",25650
"2020-12-11",24500
"2020-12-14",31850
"2020-12-15",36800
"2020-12-16",33900
"2020-12-17",33700
"2020-12-18",33050
"2020-12-21",34500
"2020-12-22",32800
"2020-12-23",27500
"2020-12-24",25850
"2020-12-28",24950
"2020-12-29",26350
"2020-12-30",31100
"2021-01-04",32850
"2021-01-05",33900
"2021-01-06",32050
"2021-01-07",31350
"2021-01-08",29000
"2021-01-11",26650
"2021-01-12",26550
"2021-01-13",27200
"2021-01-14",28650
"2021-01-15",27200
"2021-01-18",25050
"2021-01-19",24700
"2021-01-20",25400
"2021-01-21",25700
"2021-01-22",25150
"2021-01-25",25150
"2021-01-26",24950
"2021-01-27",24500
"2021-01-28",22950
"2021-01-29",21450
"2021-02-01",21350
"2021-02-02",21600
"2021-02-03",22100
"2021-02-04",20900
"2021-02-05",20700
"2021-02-08",19900
"2021-02-09",19950
"2021-02-10",20500
"2021-02-15",20400
"2021-02-16",20100
"2021-02-17",21300
"2021-02-18",20700
"2021-02-19",20100
"2021-02-22",20000
"2021-02-23",19350
"2021-02-24",18750
"2021-02-25",18700
"2021-02-26",18000
"2021-03-02",17800
"2021-03-03",17600
"2021-03-04",17150
"2021-03-05",16550
"2021-03-08",16900
"2021-03-09",16200
"2021-03-10",15350
"2021-03-11",15350
"2021-03-12",15950
"2021-03-15",16100
"2021-03-16",16300
"2021-03-17",16300
"2021-03-18",16550
"2021-03-19",16350
"2021-03-22",18150
"2021-03-23",17550
"2021-03-24",18050
"2021-03-25",18250
"2021-03-26",17500
"2021-03-29",16850
"2021-03-30",17200
"2021-03-31",16500
"2021-04-01",16250
"2021-04-02",16300
"2021-04-05",15850
"2021-04-06",15500
"2021-04-07",15650
"2021-04-08",16550
"2021-04-09",16850
"2021-04-12",18000
"2021-04-13",17900
"2021-04-14",18600
"2021-04-15",18950
"2021-04-16",19750
"2021-04-19",20650
"2021-04-20",20600
"2021-04-21",19500
"2021-04-22",19200
"2021-04-23",20100
"2021-04-26",20050
"2021-04-27",20450
"2021-04-28",20600
"2021-04-29",21450
"2021-04-30",21600
"2021-05-03",20100
"2021-05-04",19600
"2021-05-06",19600
"2021-05-07",20350
"2021-05-10",20300
"2021-05-11",21000
"2021-05-12",20050
"2021-05-13",19200
"2021-05-14",19050
"2021-05-17",18500
"2021-05-18",18850
"2021-05-20",18550
"2021-05-21",17950
"2021-05-24",16900
"2021-05-25",17850
"2021-05-26",18600
"2021-05-27",18750
"2021-05-28",19900
"2021-05-31",21100
"2021-06-01",20550
"2021-06-02",20350
"2021-06-03",20350
"2021-06-04",20050
"2021-06-07",20000
"2021-06-08",19700
"2021-06-09",19600
"2021-06-10",20400
"2021-06-11",20400
"2021-06-14",20750
"2021-06-15",20400
"2021-06-16",20150
"2021-06-17",19900
"2021-06-18",19700
"2021-06-21",19850
"2021-06-22",19900
"2021-06-23",19750
"2021-06-24",19750
"2021-06-25",19850
"2021-06-28",21100
"2021-06-29",22700
"2021-06-30",23300
"2021-07-01",23700
"2021-07-02",23100
"2021-07-05",23900
"2021-07-06",23750
"2021-07-07",23600
"2021-07-08",25400
"2021-07-09",25800
"2021-07-12",26700
"2021-07-13",26750
"2021-07-14",26500
"2021-07-15",25250
"2021-07-16",25650
"2021-07-19",25000
"2021-07-20",24300
"2021-07-21",24800
"2021-07-22",24200
"2021-07-23",23300
"2021-07-26",23150
"2021-07-27",23200
"2021-07-28",22350
"2021-07-29",22600
"2021-07-30",23100
"2021-08-02",24000
"2021-08-03",23900
"2021-08-04",24400
"2021-08-05",24500
"2021-08-06",24050
"2021-08-09",23000
"2021-08-10",23050
"2021-08-11",22850
"2021-08-12",22700
"2021-08-13",22500
"2021-08-17",22000
"2021-08-18",22000
"2021-08-19",21650
"2021-08-20",20400
"2021-08-23",21650
"2021-08-24",22000
"2021-08-25",21850
"2021-08-26",21800
"2021-08-27",21450
"2021-08-30",20950
"2021-08-31",20800
"2021-09-01",21050
"2021-09-02",22900
"2021-09-03",22900
"2021-09-06",22350
"2021-09-07",23400
"2021-09-08",23050
"2021-09-09",22550
"2021-09-10",21650
"2021-09-13",21100
"2021-09-14",20850
"2021-09-15",20800
"2021-09-16",20600
"2021-09-17",20500
"2021-09-23",20350
"2021-09-24",20400
"2021-09-27",20000
"2021-09-28",19300
"2021-09-29",18400
"2021-09-30",18350
"2021-10-01",17500
"2021-10-05",16150
"2021-10-06",16000
"2021-10-07",16150
"2021-10-08",16200
"2021-10-12",16500
"2021-10-13",16500
"2021-10-14",17000
"2021-10-15",17200
"2021-10-18",16950
"2021-10-19",17100
"2021-10-20",17050
"2021-10-21",16850
"2021-10-22",16500
"2021-10-25",16550
"2021-10-26",16900
"2021-10-27",16550
"2021-10-28",16550
"2021-10-29",16100
"2021-11-01",16000
"2021-11-02",16100
"2021-11-03",15900
"2021-11-04",15700
"2021-11-05",15300
