"","Price"
"2017-09-29",5140
"2017-10-10",5230
"2017-10-11",5200
"2017-10-12",5660
"2017-10-13",5300
"2017-10-16",5430
"2017-10-17",5240
"2017-10-18",5050
"2017-10-19",5200
"2017-10-20",5150
"2017-10-23",5310
"2017-10-24",5110
"2017-10-25",5100
"2017-10-26",5430
"2017-10-27",5340
"2017-10-30",5500
"2017-10-31",5450
"2017-11-01",5660
"2017-11-02",5580
"2017-11-03",5410
"2017-11-06",5360
"2017-11-07",5280
"2017-11-08",5480
"2017-11-09",7120
"2017-11-10",7490
"2017-11-13",7580
"2017-11-14",7520
"2017-11-15",7160
"2017-11-16",7230
"2017-11-17",7910
"2017-11-20",9250
"2017-11-21",8950
"2017-11-22",8400
"2017-11-23",8820
"2017-11-24",9220
"2017-11-27",9000
"2017-11-28",8690
"2017-11-29",8410
"2017-11-30",7990
"2017-12-01",8150
"2017-12-04",7700
"2017-12-05",7640
"2017-12-06",7620
"2017-12-07",7390
"2017-12-08",7170
"2017-12-11",7330
"2017-12-12",7410
"2017-12-13",7460
"2017-12-14",7410
"2017-12-15",7370
"2017-12-18",7250
"2017-12-19",6950
"2017-12-20",6550
"2017-12-21",6300
"2017-12-22",6000
"2017-12-26",5930
"2017-12-27",5990
"2017-12-28",6140
"2018-01-02",6170
"2018-01-03",6310
"2018-01-04",6250
"2018-01-05",6020
"2018-01-08",5890
"2018-01-09",5750
"2018-01-10",6600
"2018-01-11",6880
"2018-01-12",6330
"2018-01-15",6080
"2018-01-16",6550
"2018-01-17",6720
"2018-01-18",6910
"2018-01-19",6690
"2018-01-22",7300
"2018-01-23",7400
"2018-01-24",7080
"2018-01-25",7200
"2018-01-26",7150
"2018-01-29",6900
"2018-01-30",6940
"2018-01-31",7140
"2018-02-01",7340
"2018-02-02",7210
"2018-02-05",7010
"2018-02-06",6700
"2018-02-07",6740
"2018-02-08",6800
"2018-02-09",6700
"2018-02-12",6520
"2018-02-13",6370
"2018-02-14",6350
"2018-02-19",6360
"2018-02-20",6280
"2018-02-21",6440
"2018-02-22",6580
"2018-02-23",6770
"2018-02-26",7050
"2018-02-27",6770
"2018-02-28",6440
"2018-03-02",6530
"2018-03-05",6310
"2018-03-06",6420
"2018-03-07",6230
"2018-03-08",6220
"2018-03-09",6530
"2018-03-12",6770
"2018-03-13",6760
"2018-03-14",6900
"2018-03-15",6900
"2018-03-16",6850
"2018-03-19",6700
"2018-03-20",6960
"2018-03-21",6930
"2018-03-22",6820
"2018-03-23",6540
