"","Price"
"2017-05-30",2935
"2017-05-31",2950
"2017-06-01",2950
"2017-06-02",2840
"2017-06-05",2840
"2017-06-07",2850
"2017-06-08",2815
"2017-06-09",2865
"2017-06-12",2865
"2017-06-13",2805
"2017-06-14",2790
"2017-06-15",2715
"2017-06-16",2715
"2017-06-19",2750
"2017-06-20",2725
"2017-06-21",2675
"2017-06-22",2705
"2017-06-23",2680
"2017-06-26",2585
"2017-06-27",2575
"2017-06-28",2500
"2017-06-29",2445
"2017-06-30",2470
"2017-07-03",2385
"2017-07-04",2330
"2017-07-05",2415
"2017-07-06",2420
"2017-07-07",2410
"2017-07-10",2390
"2017-07-11",2455
"2017-07-12",2395
"2017-07-13",2270
"2017-07-14",2160
"2017-07-17",2215
"2017-07-18",2230
"2017-07-19",2300
"2017-07-20",2300
"2017-07-21",2385
"2017-07-24",2335
"2017-07-25",2035
"2017-07-26",2010
"2017-07-27",1870
"2017-07-28",1820
"2017-07-31",1730
"2017-08-01",1745
"2017-08-02",1890
"2017-08-03",1785
"2017-08-04",1775
"2017-08-07",1845
"2017-08-08",1830
"2017-08-09",1830
"2017-08-10",1870
"2017-08-11",1825
"2017-08-14",1820
"2017-08-16",1815
"2017-08-17",1765
"2017-08-18",1730
"2017-08-21",1710
"2017-08-22",1710
"2017-08-23",1735
"2017-08-24",1795
"2017-08-25",1855
"2017-08-28",1855
"2017-08-29",1880
"2017-08-30",1850
"2017-08-31",1865
"2017-09-01",1865
"2017-09-04",1825
"2017-09-05",1830
"2017-09-06",1870
"2017-09-07",1935
"2017-09-08",2280
"2017-09-11",2400
"2017-09-12",2405
"2017-09-13",2370
"2017-09-14",2395
"2017-09-15",2535
"2017-09-18",2575
"2017-09-19",2510
"2017-09-20",2380
"2017-09-21",2320
"2017-09-22",2250
"2017-09-25",2105
"2017-09-26",2245
"2017-09-27",2200
"2017-09-28",2280
"2017-09-29",2210
"2017-10-10",2095
"2017-10-11",2185
"2017-10-12",2205
"2017-10-13",2170
"2017-10-16",2100
"2017-10-17",2160
"2017-10-18",2455
"2017-10-19",2330
"2017-10-20",2300
"2017-10-23",2270
"2017-10-24",2315
"2017-10-25",2365
"2017-10-26",2340
"2017-10-27",2400
"2017-10-30",2330
"2017-10-31",2355
"2017-11-01",2510
"2017-11-02",2505
"2017-11-03",2500
"2017-11-06",2530
"2017-11-07",2530
"2017-11-08",2490
"2017-11-09",2465
"2017-11-10",2450
"2017-11-13",2485
"2017-11-14",2490
"2017-11-15",2640
"2017-11-16",2905
"2017-11-17",3075
"2017-11-20",2950
"2017-11-21",2875
"2017-11-22",2850
"2017-11-23",2825
"2017-11-24",2885
"2017-11-27",2700
"2017-11-28",2450
"2017-11-29",2500
"2017-11-30",2500
"2017-12-01",2450
"2017-12-04",2350
"2017-12-05",2515
"2017-12-06",2445
"2017-12-07",2335
"2017-12-08",2275
"2017-12-11",2305
"2017-12-12",2225
"2017-12-13",2245
"2017-12-14",2225
"2017-12-15",2210
"2017-12-18",2140
"2017-12-19",2070
"2017-12-20",2025
"2017-12-21",1990
"2017-12-22",2020
"2017-12-26",2015
"2017-12-27",2020
"2017-12-28",2010
"2018-01-02",2050
"2018-01-03",2280
"2018-01-04",2320
"2018-01-05",2290
"2018-01-08",2320
"2018-01-09",2380
"2018-01-10",2540
"2018-01-11",2590
"2018-01-12",2500
"2018-01-15",2550
"2018-01-16",2550
"2018-01-17",2505
"2018-01-18",2600
"2018-01-19",2645
"2018-01-22",2585
"2018-01-23",2585
"2018-01-24",2590
"2018-01-25",2575
"2018-01-26",2630
"2018-01-29",2850
"2018-01-30",2840
"2018-01-31",2860
"2018-02-01",2870
"2018-02-02",2870
"2018-02-05",2780
"2018-02-06",2700
"2018-02-07",2600
"2018-02-08",2650
"2018-02-09",2670
"2018-02-12",2640
"2018-02-13",2850
"2018-02-14",2915
"2018-02-19",2990
"2018-02-20",3020
"2018-02-21",2985
"2018-02-22",3000
"2018-02-23",3000
"2018-02-26",2980
"2018-02-27",3000
"2018-02-28",2990
"2018-03-02",2995
"2018-03-05",2960
"2018-03-06",2955
"2018-03-07",2865
"2018-03-08",2835
"2018-03-09",2880
"2018-03-12",2900
"2018-03-13",2960
"2018-03-14",2945
"2018-03-15",2940
"2018-03-16",2830
"2018-03-19",2720
"2018-03-20",2650
"2018-03-21",2580
"2018-03-22",2450
"2018-03-23",2150
"2018-03-26",2550
"2018-03-27",2620
"2018-03-28",2645
"2018-03-29",2320
"2018-03-30",2460
"2018-04-02",2580
"2018-04-03",2585
"2018-04-04",2560
"2018-04-05",2560
"2018-04-06",2570
"2018-04-09",2480
"2018-04-10",2415
"2018-04-11",2340
"2018-04-12",2560
"2018-04-13",2665
"2018-04-16",2670
"2018-04-17",2640
"2018-04-18",2645
"2018-04-19",2620
"2018-04-20",2545
"2018-04-23",2535
"2018-04-24",2590
"2018-04-25",2615
"2018-04-26",2595
"2018-04-27",2585
"2018-04-30",2510
"2018-05-02",2490
"2018-05-03",2480
"2018-05-04",2480
"2018-05-08",2470
"2018-05-09",2560
"2018-05-10",2565
