"","Price"
"2017-05-23",6740
"2017-05-24",7250
"2017-05-25",7130
"2017-05-26",7250
"2017-05-29",6960
"2017-05-30",7160
"2017-05-31",7540
"2017-06-01",7630
"2017-06-02",7670
"2017-06-05",7800
"2017-06-07",7680
"2017-06-08",7650
"2017-06-09",8460
"2017-06-12",8520
"2017-06-13",9030
"2017-06-14",8920
"2017-06-15",8530
"2017-06-16",8980
"2017-06-19",8960
"2017-06-20",8800
"2017-06-21",8480
"2017-06-22",8930
"2017-06-23",9000
"2017-06-26",8830
"2017-06-27",8900
"2017-06-28",8680
"2017-06-29",8250
"2017-06-30",8080
"2017-07-03",7340
"2017-07-04",7410
"2017-07-05",7430
"2017-07-06",7250
"2017-07-07",7150
"2017-07-10",7010
"2017-07-11",7100
"2017-07-12",7050
"2017-07-13",6770
"2017-07-14",6930
"2017-07-17",7180
"2017-07-18",7120
"2017-07-19",7220
"2017-07-20",7360
"2017-07-21",7450
"2017-07-24",7490
"2017-07-25",7490
"2017-07-26",7590
"2017-07-27",7510
"2017-07-28",7220
"2017-07-31",7240
"2017-08-01",7360
"2017-08-02",7290
"2017-08-03",7090
"2017-08-04",7160
"2017-08-07",7250
"2017-08-08",7300
"2017-08-09",7290
"2017-08-10",7380
"2017-08-11",7190
"2017-08-14",7190
"2017-08-16",7110
"2017-08-17",7120
"2017-08-18",7010
"2017-08-21",6930
"2017-08-22",6740
"2017-08-23",6450
"2017-08-24",6620
"2017-08-25",6660
"2017-08-28",7210
"2017-08-29",7340
"2017-08-30",7280
"2017-08-31",7340
"2017-09-01",7950
"2017-09-04",7680
"2017-09-05",7320
"2017-09-06",7300
"2017-09-07",7750
"2017-09-08",7580
"2017-09-11",7890
"2017-09-12",7800
"2017-09-13",7480
"2017-09-14",7480
"2017-09-15",7650
"2017-09-18",7830
"2017-09-19",8070
"2017-09-20",7840
"2017-09-21",7740
"2017-09-22",7520
"2017-09-25",7230
"2017-09-26",7440
"2017-09-27",7570
"2017-09-28",7420
"2017-09-29",7460
"2017-10-10",7260
"2017-10-11",7360
"2017-10-12",7660
"2017-10-13",7420
"2017-10-16",7300
"2017-10-17",7450
"2017-10-18",7590
"2017-10-19",7550
"2017-10-20",7530
"2017-10-23",7820
"2017-10-24",8720
"2017-10-25",8520
"2017-10-26",8400
"2017-10-27",8830
"2017-10-30",9600
"2017-10-31",9840
"2017-11-01",9520
"2017-11-02",9450
"2017-11-03",9490
"2017-11-06",9540
"2017-11-07",9750
"2017-11-08",9670
"2017-11-09",9370
"2017-11-10",8980
"2017-11-13",9810
"2017-11-14",11000
"2017-11-15",11350
"2017-11-16",11150
"2017-11-17",11050
"2017-11-20",12100
"2017-11-21",11550
"2017-11-22",10400
"2017-11-23",11050
"2017-11-24",10700
"2017-11-27",11000
"2017-11-28",11100
"2017-11-29",11700
"2017-11-30",12100
"2017-12-01",12100
"2017-12-04",12200
"2017-12-05",11700
"2017-12-06",11250
"2017-12-07",10250
"2017-12-08",10050
"2017-12-11",10350
"2017-12-12",9840
"2017-12-13",10150
"2017-12-14",10600
"2017-12-15",10550
"2017-12-18",11100
"2017-12-19",11050
"2017-12-20",11550
"2017-12-21",11800
"2017-12-22",12850
"2017-12-26",14000
"2017-12-27",17750
"2017-12-28",16450
"2018-01-02",19100
"2018-01-03",18350
"2018-01-04",16600
"2018-01-05",16550
"2018-01-08",17950
"2018-01-09",17800
"2018-01-10",16950
"2018-01-11",17100
"2018-01-12",17100
"2018-01-15",18550
"2018-01-16",19550
"2018-01-17",19000
"2018-01-18",19000
"2018-01-19",18200
"2018-01-22",17550
"2018-01-23",17650
"2018-01-24",18750
"2018-01-25",18500
"2018-01-26",18550
"2018-01-29",17850
"2018-01-30",19050
"2018-01-31",19100
"2018-02-01",18650
"2018-02-02",17900
"2018-02-05",15850
"2018-02-06",16350
"2018-02-07",14950
"2018-02-08",16000
