"","Price"
"2017-06-21",6080
"2017-06-22",5930
"2017-06-23",6150
"2017-06-26",6110
"2017-06-27",6290
"2017-06-28",6140
"2017-06-29",6060
"2017-06-30",6070
"2017-07-03",6000
"2017-07-04",5830
"2017-07-05",5880
"2017-07-06",5870
"2017-07-07",5870
"2017-07-10",5670
"2017-07-11",5560
"2017-07-12",5300
"2017-07-13",5470
"2017-07-14",5430
"2017-07-17",5400
"2017-07-18",5440
"2017-07-19",5480
"2017-07-20",6030
"2017-07-21",6050
"2017-07-24",6000
"2017-07-25",5860
"2017-07-26",5650
"2017-07-27",5700
"2017-07-28",5560
"2017-07-31",5490
"2017-08-01",5440
"2017-08-02",5550
"2017-08-03",5420
"2017-08-04",5320
"2017-08-07",5420
"2017-08-08",5370
"2017-08-09",5350
"2017-08-10",5380
"2017-08-11",5260
"2017-08-14",5090
"2017-08-16",4900
"2017-08-17",5040
"2017-08-18",5000
"2017-08-21",5060
"2017-08-22",5080
"2017-08-23",5140
"2017-08-24",5140
"2017-08-25",5190
"2017-08-28",5150
"2017-08-29",5260
"2017-08-30",5160
"2017-08-31",5210
"2017-09-01",5230
"2017-09-04",6790
"2017-09-05",6300
"2017-09-06",7310
"2017-09-07",7040
"2017-09-08",7270
"2017-09-11",7270
"2017-09-12",7010
"2017-09-13",7100
"2017-09-14",7220
"2017-09-15",7180
"2017-09-18",7210
"2017-09-19",7270
"2017-09-20",7020
"2017-09-21",6700
"2017-09-22",6190
"2017-09-25",6070
"2017-09-26",6050
"2017-09-27",6170
"2017-09-28",6110
"2017-09-29",6130
"2017-10-10",6160
"2017-10-11",6360
"2017-10-12",6310
"2017-10-13",6070
"2017-10-16",6190
"2017-10-17",6110
"2017-10-18",5800
"2017-10-19",5810
"2017-10-20",5920
"2017-10-23",6000
"2017-10-24",6100
"2017-10-25",6260
"2017-10-26",6240
"2017-10-27",6440
"2017-10-30",6300
"2017-10-31",6280
"2017-11-01",6270
"2017-11-02",6240
"2017-11-03",6290
"2017-11-06",6250
"2017-11-07",6250
"2017-11-08",6200
"2017-11-09",6460
"2017-11-10",6390
"2017-11-13",6500
"2017-11-14",6440
"2017-11-15",6310
"2017-11-16",6390
"2017-11-17",6410
"2017-11-20",6400
"2017-11-21",6390
"2017-11-22",6660
"2017-11-23",6800
"2017-11-24",6750
"2017-11-27",6600
"2017-11-28",6720
