"","Price"
"2018-02-14",39450
"2018-02-19",38500
"2018-02-20",37350
"2018-02-21",36700
"2018-02-22",34950
"2018-02-23",34400
"2018-02-26",35050
"2018-02-27",41350
"2018-02-28",38550
"2018-03-02",38000
"2018-03-05",40000
"2018-03-06",40600
"2018-03-07",36800
"2018-03-08",38100
"2018-03-09",38250
"2018-03-12",39050
"2018-03-13",38100
"2018-03-14",38200
"2018-03-15",39600
"2018-03-16",42500
"2018-03-19",43850
"2018-03-20",43400
"2018-03-21",41550
"2018-03-22",42850
"2018-03-23",40000
"2018-03-26",40000
"2018-03-27",41200
"2018-03-28",40850
"2018-03-29",41000
"2018-03-30",40900
"2018-04-02",40950
"2018-04-03",42200
"2018-04-04",42600
"2018-04-05",41400
"2018-04-06",40000
"2018-04-09",39800
"2018-04-10",40450
"2018-04-11",40300
"2018-04-12",39300
"2018-04-13",38950
"2018-04-16",39000
"2018-04-17",38100
"2018-04-18",37700
"2018-04-19",35300
"2018-04-20",35550
"2018-04-23",33100
"2018-04-24",32850
"2018-04-25",32300
"2018-04-26",33350
"2018-04-27",33550
"2018-04-30",31050
"2018-05-02",30350
"2018-05-03",30100
"2018-05-04",29200
"2018-05-08",29300
"2018-05-09",31100
"2018-05-10",32300
"2018-05-11",32750
"2018-05-14",30400
"2018-05-15",30500
"2018-05-16",30800
"2018-05-17",30450
"2018-05-18",31100
"2018-05-21",31600
"2018-05-23",31500
"2018-05-24",31550
"2018-05-25",32200
"2018-05-28",31200
"2018-05-29",30600
"2018-05-30",29250
"2018-05-31",30100
"2018-06-01",30600
"2018-06-04",31450
"2018-06-05",31400
"2018-06-07",31250
"2018-06-08",30550
"2018-06-11",30000
"2018-06-12",29950
"2018-06-14",29350
"2018-06-15",29600
"2018-06-18",27500
"2018-06-19",26000
"2018-06-20",26150
"2018-06-21",25950
"2018-06-22",25550
"2018-06-25",25900
"2018-06-26",26150
"2018-06-27",26000
"2018-06-28",25200
"2018-06-29",24500
"2018-07-02",24900
"2018-07-03",24700
"2018-07-04",25500
"2018-07-05",26300
"2018-07-06",26000
"2018-07-09",26600
"2018-07-10",28400
"2018-07-11",28000
"2018-07-12",28500
"2018-07-13",28600
"2018-07-16",28000
"2018-07-17",27200
"2018-07-18",26400
"2018-07-19",26300
"2018-07-20",26300
"2018-07-23",25400
"2018-07-24",24900
"2018-07-25",24550
"2018-07-26",24800
"2018-07-27",24550
"2018-07-30",24650
"2018-07-31",25000
"2018-08-01",25650
"2018-08-02",25600
"2018-08-03",25600
"2018-08-06",25450
"2018-08-07",27000
"2018-08-08",26600
"2018-08-09",26900
"2018-08-10",26400
"2018-08-13",24800
"2018-08-14",24800
"2018-08-16",24000
"2018-08-17",24100
"2018-08-20",24500
"2018-08-21",25200
"2018-08-22",24800
"2018-08-23",25000
"2018-08-24",26750
"2018-08-27",27700
"2018-08-28",27550
"2018-08-29",28700
"2018-08-30",28800
"2018-08-31",28600
"2018-09-03",28700
"2018-09-04",28700
"2018-09-05",29000
"2018-09-06",28700
"2018-09-07",27900
"2018-09-10",27700
"2018-09-11",28100
"2018-09-12",29000
"2018-09-13",28750
"2018-09-14",29150
"2018-09-17",29600
"2018-09-18",31200
"2018-09-19",30750
"2018-09-20",30450
"2018-09-21",30400
"2018-09-27",31200
"2018-09-28",30950
"2018-10-01",30150
"2018-10-02",28100
"2018-10-04",28750
"2018-10-05",28000
"2018-10-08",27550
"2018-10-10",25600
"2018-10-11",24600
"2018-10-12",24800
"2018-10-15",24800
"2018-10-16",25350
"2018-10-17",25350
"2018-10-18",24800
"2018-10-19",25200
"2018-10-22",25550
"2018-10-23",24650
"2018-10-24",24250
"2018-10-25",24200
"2018-10-26",23000
"2018-10-29",21500
"2018-10-30",20050
"2018-10-31",19900
