"","Price"
"2017-05-30",3155
"2017-05-31",3145
"2017-06-01",3145
"2017-06-02",3105
"2017-06-05",3090
"2017-06-07",3065
"2017-06-08",3060
"2017-06-09",3060
"2017-06-12",2975
"2017-06-13",3005
"2017-06-14",2975
"2017-06-15",2940
"2017-06-16",2870
"2017-06-19",2920
"2017-06-20",2780
"2017-06-21",2750
"2017-06-22",2740
"2017-06-23",2825
"2017-06-26",2730
"2017-06-27",2720
"2017-06-28",2720
"2017-06-29",2680
"2017-06-30",2635
"2017-07-03",2580
"2017-07-04",2500
"2017-07-05",2525
"2017-07-06",2620
"2017-07-07",2580
"2017-07-10",2435
"2017-07-11",2435
"2017-07-12",2380
"2017-07-13",2400
"2017-07-14",2320
"2017-07-17",2330
"2017-07-18",2280
"2017-07-19",2280
"2017-07-20",2260
"2017-07-21",2530
"2017-07-24",2615
"2017-07-25",2530
"2017-07-26",2555
"2017-07-27",2665
"2017-07-28",2560
"2017-07-31",2535
"2017-08-01",2475
"2017-08-02",2470
"2017-08-03",2365
"2017-08-04",2320
"2017-08-07",2405
"2017-08-08",2410
"2017-08-09",2370
"2017-08-10",2320
"2017-08-11",2255
"2017-08-14",2230
"2017-08-16",2160
"2017-08-17",2185
"2017-08-18",2150
"2017-08-21",2175
"2017-08-22",2140
"2017-08-23",2140
"2017-08-24",2130
"2017-08-25",2155
"2017-08-28",2200
"2017-08-29",2185
"2017-08-30",2170
"2017-08-31",2165
"2017-09-01",2160
"2017-09-04",2115
"2017-09-05",2070
"2017-09-06",2040
"2017-09-07",2085
"2017-09-08",2035
"2017-09-11",2000
"2017-09-12",2020
"2017-09-13",1985
"2017-09-14",1985
"2017-09-15",2000
"2017-09-18",1990
"2017-09-19",1970
"2017-09-20",1950
"2017-09-21",1880
"2017-09-22",1815
"2017-09-25",1720
"2017-09-26",1715
"2017-09-27",1750
"2017-09-28",1760
"2017-09-29",1790
"2017-10-10",1755
"2017-10-11",1760
"2017-10-12",1780
"2017-10-13",1750
"2017-10-16",1735
"2017-10-17",1755
"2017-10-18",2280
"2017-10-19",2380
"2017-10-20",2245
"2017-10-23",2280
"2017-10-24",2240
"2017-10-25",2240
"2017-10-26",2220
"2017-10-27",2250
"2017-10-30",2310
"2017-10-31",2335
"2017-11-01",2260
"2017-11-02",2185
"2017-11-03",2175
"2017-11-06",2220
"2017-11-07",2200
"2017-11-08",2170
"2017-11-09",2175
"2017-11-10",2235
"2017-11-13",2240
"2017-11-14",2220
"2017-11-15",2180
"2017-11-16",2165
"2017-11-17",2175
