"","Price"
"2018-11-05",33550
"2018-11-06",33600
"2018-11-07",33650
"2018-11-08",34000
"2018-11-09",33900
"2018-11-12",33850
"2018-11-13",33450
"2018-11-14",33800
"2018-11-15",33800
"2018-11-16",33650
"2018-11-19",34000
"2018-11-20",34150
"2018-11-21",34400
"2018-11-22",34150
"2018-11-23",33950
"2018-11-26",34200
"2018-11-27",34000
"2018-11-28",34200
"2018-11-29",34500
"2018-11-30",34400
"2018-12-03",34750
"2018-12-04",34900
"2018-12-05",35200
"2018-12-06",34950
"2018-12-07",35000
"2018-12-10",34400
"2018-12-11",34200
"2018-12-12",34400
"2018-12-13",34700
"2018-12-14",34350
"2018-12-17",34200
"2018-12-18",34900
"2018-12-19",34900
"2018-12-20",34900
"2018-12-21",34750
"2018-12-24",34250
"2018-12-26",34600
"2018-12-27",33450
"2018-12-28",33450
"2019-01-02",33300
"2019-01-03",32600
"2019-01-04",32300
"2019-01-07",32950
"2019-01-08",32900
"2019-01-09",33300
"2019-01-10",32700
"2019-01-11",33100
"2019-01-14",32600
"2019-01-15",33750
"2019-01-16",34000
"2019-01-17",33900
"2019-01-18",34100
"2019-01-21",33950
"2019-01-22",34050
"2019-01-23",33700
"2019-01-24",33900
"2019-01-25",34950
"2019-01-28",35000
"2019-01-29",35150
"2019-01-30",36450
"2019-01-31",37450
"2019-02-01",37250
"2019-02-07",37250
"2019-02-08",37500
"2019-02-11",37950
"2019-02-12",37900
"2019-02-13",39000
"2019-02-14",39800
"2019-02-15",40500
"2019-02-18",40800
"2019-02-19",40850
"2019-02-20",40700
"2019-02-21",40600
"2019-02-22",40650
"2019-02-25",41900
"2019-02-26",41900
"2019-02-27",42000
"2019-02-28",41500
"2019-03-04",40900
"2019-03-05",41100
"2019-03-06",41250
"2019-03-07",41250
"2019-03-08",41300
"2019-03-11",41400
"2019-03-12",41450
"2019-03-13",41350
"2019-03-14",40800
"2019-03-15",40050
"2019-03-18",40200
"2019-03-19",40350
"2019-03-20",40400
"2019-03-21",40300
"2019-03-22",40100
"2019-03-25",39850
"2019-03-26",40350
"2019-03-27",40550
"2019-03-28",40700
"2019-03-29",41200
"2019-04-01",41150
"2019-04-02",40700
"2019-04-03",40950
"2019-04-04",41150
"2019-04-05",41000
"2019-04-08",41100
"2019-04-09",41000
"2019-04-10",41100
"2019-04-11",41100
"2019-04-12",41100
"2019-04-15",41000
"2019-04-16",41000
"2019-04-17",40800
"2019-04-18",40850
"2019-04-19",40850
"2019-04-22",41850
"2019-04-23",42650
"2019-04-24",43850
"2019-04-25",43800
"2019-04-26",43500
"2019-04-29",42950
"2019-04-30",43650
"2019-05-02",43700
"2019-05-03",50600
"2019-05-07",54900
"2019-05-08",56300
"2019-05-09",55300
"2019-05-10",55900
"2019-05-13",56500
"2019-05-14",54600
"2019-05-15",54700
"2019-05-16",56800
"2019-05-17",57300
"2019-05-20",57000
"2019-05-21",57100
"2019-05-22",57600
"2019-05-23",56100
"2019-05-24",59700
"2019-05-27",60200
"2019-05-28",58400
"2019-05-29",58200
"2019-05-30",57200
"2019-05-31",59100
"2019-06-03",66000
"2019-06-04",66000
"2019-06-05",69600
"2019-06-07",70500
"2019-06-10",71400
"2019-06-11",70200
"2019-06-12",71400
"2019-06-13",71800
"2019-06-14",74500
"2019-06-17",76700
"2019-06-18",76500
"2019-06-19",74000
"2019-06-20",75900
"2019-06-21",72200
"2019-06-24",72800
"2019-06-25",72900
"2019-06-26",72300
"2019-06-27",72900
"2019-06-28",72900
"2019-07-01",70700
"2019-07-02",71000
"2019-07-03",71100
"2019-07-04",71100
"2019-07-05",70000
"2019-07-08",68500
"2019-07-09",71400
"2019-07-10",72500
"2019-07-11",71000
"2019-07-12",77600
"2019-07-15",79500
"2019-07-16",79800
"2019-07-17",79000
"2019-07-18",77800
"2019-07-19",77700
"2019-07-22",78300
"2019-07-23",76700
"2019-07-24",74100
"2019-07-25",73500
"2019-07-26",71200
