This file was created using the 201904 Bloomberg database.

Missing data are indicated by -99.99.



,Mkt-RF,SMB,HML,RF
19900702    ,0.69   ,-0.06   ,-0.34    ,0.03
19900703    ,0.18    ,0.06   ,-0.16    ,0.03
19900704    ,0.62   ,-0.18   ,-0.16    ,0.03
19900705   ,-0.74    ,0.29    ,0.15    ,0.03
19900706    ,0.20   ,-0.18    ,0.05    ,0.03
19900709    ,0.23    ,0.16    ,0.00    ,0.03
19900710    ,0.14    ,0.18   ,-0.25    ,0.03
19900711    ,0.33   ,-0.51   ,-0.23    ,0.03
19900712    ,0.57   ,-0.10   ,-0.23    ,0.03
19900713    ,0.76   ,-0.50   ,-0.21    ,0.03
19900716    ,0.51   ,-0.37   ,-0.03    ,0.03
19900717    ,0.00    ,0.09    ,0.12    ,0.03
19900718   ,-0.19    ,0.06    ,0.02    ,0.03
19900719   ,-0.27    ,0.07   ,-0.20    ,0.03
19900720   ,-0.83    ,0.72    ,0.22    ,0.03
19900723   ,-1.01    ,0.16    ,0.40    ,0.03
19900724   ,-0.49    ,0.24   ,-0.12    ,0.03
19900725    ,0.07    ,0.09    ,0.17    ,0.03
19900726   ,-0.67    ,0.61    ,0.11    ,0.03
19900727   ,-0.70    ,0.63    ,0.46    ,0.03
19900730    ,0.04   ,-0.31    ,0.04    ,0.03
19900731    ,1.37   ,-0.65   ,-0.22    ,0.03
19900801   ,-0.50    ,0.17   ,-0.16    ,0.03
19900802   ,-1.78    ,0.56    ,0.10    ,0.03
19900803   ,-1.69    ,0.30    ,0.03    ,0.03
19900806   ,-3.21    ,0.62    ,0.18    ,0.03
19900807   ,-0.77   ,-0.26   ,-0.01    ,0.03
19900808    ,0.67   ,-0.67   ,-0.15    ,0.03
19900809   ,-0.10    ,0.41   ,-0.36    ,0.03
19900810   ,-0.69    ,0.24    ,0.32    ,0.03
19900813   ,-1.12    ,0.35   ,-0.16    ,0.03
19900814    ,0.85   ,-0.58   ,-0.11    ,0.03
19900815    ,2.10   ,-1.36    ,0.07    ,0.03
19900816   ,-1.43    ,0.87    ,0.26    ,0.03
19900817   ,-1.32    ,0.26    ,0.10    ,0.03
19900820   ,-0.69   ,-0.59    ,0.08    ,0.03
19900821   ,-1.49   ,-0.07    ,0.16    ,0.03
19900822   ,-1.61    ,0.36    ,0.70    ,0.03
19900823   ,-3.64    ,0.98    ,0.92    ,0.03
19900824    ,0.66   ,-1.55   ,-0.01    ,0.03
19900827    ,3.33   ,-1.50   ,-0.49    ,0.03
19900828    ,1.27    ,0.01   ,-0.46    ,0.03
19900829   ,-0.40    ,0.46   ,-0.09    ,0.03
19900830    ,0.12   ,-0.48    ,0.38    ,0.03
19900831    ,0.42   ,-0.38   ,-0.78    ,0.03
19900903   ,-0.76    ,0.36   ,-0.03    ,0.03
19900904   ,-0.95    ,0.37   ,-0.07    ,0.03
19900905   ,-0.04    ,0.44    ,0.01    ,0.03
19900906   ,-0.64    ,0.19    ,0.14    ,0.03
19900907    ,0.16   ,-0.81    ,0.05    ,0.03
19900910    ,1.15   ,-1.13   ,-0.13    ,0.03
19900911   ,-0.85    ,0.54    ,0.05    ,0.03
19900912    ,1.32   ,-0.85   ,-0.18    ,0.03
19900913   ,-0.16    ,0.35   ,-0.12    ,0.03
19900914   ,-0.50    ,0.26   ,-0.19    ,0.03
19900917   ,-0.73    ,0.37    ,0.01    ,0.03
19900918   ,-1.21    ,0.26    ,0.23    ,0.03
19900919   ,-1.07    ,0.01    ,0.23    ,0.03
19900920   ,-1.63    ,0.09    ,0.27    ,0.03
19900921   ,-0.47   ,-0.93    ,0.18    ,0.03
19900924   ,-0.60   ,-0.03    ,0.19    ,0.03
19900925   ,-1.46    ,0.63   ,-0.20    ,0.03
19900926   ,-1.85    ,0.84    ,0.21    ,0.03
19900927   ,-1.42    ,0.21    ,0.45    ,0.03
19900928   ,-0.78    ,0.30   ,-0.33    ,0.03
19901001    ,0.96   ,-0.72    ,0.08    ,0.03
19901002    ,3.31   ,-3.05    ,0.54    ,0.03
19901003    ,0.16    ,0.34   ,-0.11    ,0.03
19901004    ,0.28    ,0.09    ,0.01    ,0.03
19901005    ,1.11   ,-0.79   ,-0.31    ,0.03
19901008    ,2.51   ,-0.84   ,-0.41    ,0.03
19901009   ,-1.04    ,0.58   ,-0.19    ,0.03
19901010   ,-0.81   ,-0.01    ,0.00    ,0.03
19901011   ,-1.72    ,0.54    ,0.35    ,0.03
19901012    ,0.66   ,-0.62    ,0.00    ,0.03
19901015    ,1.12   ,-1.40   ,-0.72    ,0.03
19901016    ,0.46   ,-0.11    ,0.02    ,0.03
19901017    ,0.85   ,-0.80   ,-0.56    ,0.03
19901018    ,1.63   ,-0.66   ,-1.14    ,0.03
19901019    ,1.20   ,-0.59   ,-0.64    ,0.03
19901022    ,0.99   ,-0.88   ,-0.62    ,0.03
19901023   ,-0.13    ,0.45    ,0.13    ,0.03
19901024   ,-0.38    ,0.69    ,0.19    ,0.03
19901025    ,0.72   ,-0.24   ,-0.52    ,0.03
19901026   ,-1.53    ,0.73   ,-0.04    ,0.03
19901029   ,-0.27   ,-0.16    ,0.05    ,0.03
19901030   ,-0.56    ,0.03   ,-0.18    ,0.03
19901031   ,-0.43    ,0.20    ,0.14    ,0.03
19901101   ,-1.28    ,0.69    ,0.41    ,0.03
19901102    ,0.93   ,-0.75   ,-0.23    ,0.03
19901105    ,1.43   ,-0.37   ,-0.46    ,0.03
19901106   ,-0.79    ,0.56    ,0.22    ,0.03
19901107   ,-1.51    ,0.92    ,0.43    ,0.03
19901108   ,-1.36    ,0.38    ,0.43    ,0.03
19901109    ,0.31   ,-0.56    ,0.18    ,0.03
19901112    ,1.06   ,-0.46   ,-0.18    ,0.03
19901113    ,1.10   ,-0.59   ,-0.14    ,0.03
19901114    ,0.08    ,0.29   ,-0.32    ,0.03
19901115   ,-0.76    ,0.36    ,0.42    ,0.03
19901116   ,-0.41    ,0.49    ,0.40    ,0.03
19901119    ,1.01   ,-0.77   ,-0.28    ,0.03
19901120   ,-0.77    ,0.43    ,0.19    ,0.03
19901121   ,-0.35    ,0.04    ,0.11    ,0.03
19901122    ,0.94   ,-0.83   ,-0.24    ,0.03
19901123   ,-0.04    ,0.02    ,0.07    ,0.03
19901126   ,-0.34    ,0.05   ,-0.13    ,0.03
19901127    ,0.19    ,0.30   ,-0.18    ,0.03
19901128   ,-1.37    ,0.83    ,0.12    ,0.03
19901129   ,-1.80    ,0.67    ,0.15    ,0.03
19901130    ,0.05   ,-0.34    ,0.11    ,0.03
19901203    ,0.30   ,-0.37    ,0.06    ,0.03
19901204   ,-0.58    ,0.71    ,0.18    ,0.03
19901205    ,0.72   ,-0.54    ,0.29    ,0.03
19901206    ,1.60   ,-0.77   ,-0.07    ,0.03
19901207    ,2.03   ,-0.95   ,-0.35    ,0.03
19901210    ,0.19    ,0.07   ,-0.30    ,0.03
19901211   ,-0.28   ,-0.09   ,-0.23    ,0.03
19901212    ,0.57   ,-0.16   ,-0.40    ,0.03
19901213    ,0.60   ,-0.47   ,-0.23    ,0.03
19901214   ,-0.86    ,0.48   ,-0.20    ,0.03
19901217   ,-1.10    ,0.33   ,-0.15    ,0.03
19901218    ,0.58   ,-0.66    ,0.15    ,0.03
19901219    ,0.37   ,-0.26   ,-0.19    ,0.03
19901220   ,-1.52    ,0.47   ,-0.05    ,0.03
19901221   ,-0.97    ,0.19    ,0.10    ,0.03
19901224   ,-0.56    ,0.05    ,0.05    ,0.03
19901225   ,-0.75    ,0.58    ,0.12    ,0.03
19901226    ,0.21   ,-0.09   ,-0.01    ,0.03
19901227   ,-0.07    ,0.09   ,-0.17    ,0.03
19901228    ,0.66    ,0.15    ,0.04    ,0.03
19901231    ,0.01    ,0.51   ,-0.11    ,0.03
19910101    ,0.14   ,-0.11   ,-0.03    ,0.02
19910102   ,-0.25    ,0.22    ,0.43    ,0.02
19910103   ,-0.09   ,-0.32    ,0.26    ,0.02
19910104   ,-0.58    ,0.05    ,0.04    ,0.02
19910107   ,-2.09    ,0.47    ,0.23    ,0.02
19910108   ,-1.28    ,0.36    ,0.25    ,0.02
19910109    ,0.59   ,-0.72    ,0.22    ,0.02
19910110    ,0.07   ,-0.37   ,-0.13    ,0.02
19910111    ,0.32   ,-0.46   ,-0.09    ,0.02
19910114   ,-1.13   ,-0.28   ,-0.13    ,0.02
19910115   ,-0.26   ,-0.10   ,-0.14    ,0.02
19910116   ,-0.95    ,0.73   ,-0.02    ,0.02
19910117    ,4.88   ,-2.42   ,-0.15    ,0.02
19910118    ,0.94   ,-0.56   ,-0.34    ,0.02
19910121   ,-0.42    ,0.58    ,0.12    ,0.02
19910122   ,-0.39    ,0.11   ,-0.11    ,0.02
19910123   ,-0.31    ,0.47    ,0.05    ,0.02
19910124    ,1.10   ,-0.61   ,-0.24    ,0.02
19910125    ,0.63   ,-0.17   ,-0.23    ,0.02
19910128    ,0.18    ,0.29    ,0.16    ,0.02
19910129    ,0.13    ,0.25    ,0.14    ,0.02
19910130    ,0.69    ,0.21    ,0.12    ,0.02
19910131    ,0.71    ,0.36    ,0.03    ,0.02
19910201   ,-0.07    ,0.73    ,0.28    ,0.02
19910204    ,1.08    ,0.00    ,0.24    ,0.02
19910205    ,1.79   ,-0.38   ,-0.01    ,0.02
19910206    ,1.59   ,-0.17   ,-0.63    ,0.02
19910207    ,0.48   ,-0.30    ,0.17    ,0.02
19910208    ,0.63   ,-0.29   ,-0.07    ,0.02
19910211    ,1.38   ,-0.12    ,0.14    ,0.02
19910212    ,0.61    ,0.03   ,-0.29    ,0.02
19910213    ,0.50    ,0.38   ,-0.19    ,0.02
19910214   ,-0.20    ,0.57    ,0.15    ,0.02
19910215    ,0.28    ,0.05    ,0.31    ,0.02
19910218    ,1.37   ,-0.57   ,-0.01    ,0.02
19910219   ,-0.27    ,0.41   ,-0.14    ,0.02
19910220   ,-0.89    ,0.53   ,-0.15    ,0.02
19910221    ,0.06    ,0.40   ,-0.01    ,0.02
19910222   ,-0.38    ,0.39   ,-0.13    ,0.02
19910225    ,0.64   ,-0.50    ,0.05    ,0.02
19910226   ,-0.70    ,0.63   ,-0.03    ,0.02
19910227    ,0.35    ,0.01    ,0.11    ,0.02
19910228    ,0.43    ,0.41    ,0.25    ,0.02
19910301   ,-0.87    ,0.69    ,0.17    ,0.02
19910304   ,-0.23    ,0.94    ,0.38    ,0.02
19910305    ,1.01    ,0.03   ,-0.22    ,0.02
19910306    ,0.72   ,-0.16    ,0.39    ,0.02
19910307   ,-0.09    ,0.19   ,-0.15    ,0.02
19910308   ,-0.04   ,-0.03   ,-0.12    ,0.02
19910311   ,-0.80    ,0.48    ,0.20    ,0.02
19910312    ,0.38   ,-0.36   ,-0.13    ,0.02
19910313   ,-0.20    ,0.33   ,-0.34    ,0.02
19910314    ,0.57   ,-0.21   ,-0.11    ,0.02
19910315   ,-0.10   ,-0.41   ,-0.12    ,0.02
19910318   ,-0.54   ,-0.04   ,-0.30    ,0.02
19910319   ,-1.12    ,0.27   ,-0.33    ,0.02
19910320   ,-0.84    ,0.84   ,-0.26    ,0.02
19910321    ,0.48    ,0.01    ,0.09    ,0.02
19910322    ,0.02   ,-0.10   ,-0.30    ,0.02
19910325   ,-0.75   ,-0.05    ,0.06    ,0.02
19910326    ,0.39   ,-0.01   ,-0.35    ,0.02
19910327   ,-0.38    ,0.39    ,0.03    ,0.02
19910328   ,-0.26    ,0.54    ,0.26    ,0.02
19910329    ,0.38   ,-0.07    ,0.01    ,0.02
19910401   ,-0.18    ,0.54    ,0.19    ,0.02
19910402    ,1.77   ,-0.78   ,-0.51    ,0.02
19910403    ,1.13   ,-0.30   ,-0.05    ,0.02
19910404    ,0.64   ,-0.01    ,0.04    ,0.02
19910405   ,-0.51    ,0.25    ,0.04    ,0.02
19910408   ,-0.23    ,0.00   ,-0.05    ,0.02
19910409    ,0.06    ,0.48    ,0.09    ,0.02
19910410   ,-0.75    ,0.32    ,0.03    ,0.02
19910411    ,0.70   ,-0.08   ,-0.12    ,0.02
19910412    ,0.35   ,-0.19   ,-0.04    ,0.02
19910415    ,0.93   ,-0.44   ,-0.20    ,0.02
19910416    ,0.47   ,-0.14   ,-0.17    ,0.02
19910417    ,0.16    ,0.16    ,0.25    ,0.02
19910418   ,-0.93    ,0.19    ,0.44    ,0.02
19910419   ,-1.70    ,0.43    ,0.35    ,0.02
19910422   ,-1.63    ,0.14   ,-0.06    ,0.02
19910423    ,0.88   ,-0.46    ,0.00    ,0.02
19910424   ,-0.25    ,0.21    ,0.10    ,0.02
19910425   ,-0.68    ,0.44    ,0.13    ,0.02
19910426   ,-0.13   ,-0.20   ,-0.11    ,0.02
19910429   ,-0.33   ,-0.10    ,0.15    ,0.02
19910430    ,0.85   ,-0.44   ,-0.10    ,0.02
19910501    ,0.93   ,-0.53   ,-0.22    ,0.02
19910502    ,0.07    ,0.27    ,0.05    ,0.02
19910503   ,-0.44    ,0.04   ,-0.16    ,0.02
19910506    ,0.08    ,0.04    ,0.16    ,0.02
19910507    ,0.16    ,0.31    ,0.15    ,0.02
19910508   ,-0.43    ,0.25    ,0.03    ,0.02
19910509    ,0.20   ,-0.08   ,-0.13    ,0.02
19910510   ,-0.29    ,0.25    ,0.20    ,0.02
19910513   ,-0.37    ,0.34   ,-0.11    ,0.02
19910514   ,-0.20    ,0.07   ,-0.12    ,0.02
19910515   ,-0.46   ,-0.30    ,0.23    ,0.02
19910516    ,0.15   ,-0.13   ,-0.05    ,0.02
19910517   ,-0.69   ,-0.17   ,-0.03    ,0.02
19910520   ,-0.09   ,-0.07   ,-0.04    ,0.02
19910521    ,0.72   ,-0.22   ,-0.17    ,0.02
19910522   ,-0.24    ,0.04    ,0.01    ,0.02
19910523    ,0.34   ,-0.12   ,-0.12    ,0.02
19910524    ,0.03    ,0.05    ,0.12    ,0.02
19910527   ,-0.10    ,0.02    ,0.02    ,0.02
19910528    ,0.49   ,-0.10   ,-0.06    ,0.02
19910529    ,0.01   ,-0.02    ,0.25    ,0.02
19910530    ,0.58   ,-0.24   ,-0.13    ,0.02
19910531    ,0.29   ,-0.26    ,0.33    ,0.02
19910603   ,-0.21    ,0.28    ,0.39    ,0.02
19910604   ,-0.21    ,0.30    ,0.08    ,0.02
19910605   ,-0.58    ,0.31    ,0.19    ,0.02
19910606   ,-0.42    ,0.11    ,0.26    ,0.02
19910607   ,-0.97    ,0.36    ,0.08    ,0.02
19910610   ,-0.95    ,0.64    ,0.35    ,0.02
19910611    ,0.48   ,-0.66   ,-0.12    ,0.02
19910612   ,-1.00    ,0.05   ,-0.03    ,0.02
19910613    ,0.28   ,-0.31   ,-0.10    ,0.02
19910614    ,0.87   ,-0.31   ,-0.26    ,0.02
19910617   ,-0.47    ,0.37    ,0.18    ,0.02
19910618   ,-0.67    ,0.12    ,0.08    ,0.02
19910619   ,-0.89    ,0.51    ,0.26    ,0.02
19910620    ,0.31   ,-0.41   ,-0.20    ,0.02
19910621    ,0.33   ,-0.39   ,-0.18    ,0.02
19910624   ,-1.13    ,0.46    ,0.31    ,0.02
19910625   ,-0.15   ,-0.63   ,-0.01    ,0.02
19910626    ,0.09    ,0.06   ,-0.14    ,0.02
19910627   ,-0.05   ,-0.06   ,-0.21    ,0.02
19910628   ,-0.86    ,0.56    ,0.18    ,0.02
19910701    ,1.37   ,-1.13   ,-0.37    ,0.02
19910702   ,-0.31    ,0.00    ,0.04    ,0.02
19910703   ,-1.50    ,0.71    ,0.02    ,0.02
19910704   ,-0.37   ,-0.08    ,0.17    ,0.02
19910705    ,0.25   ,-0.15    ,0.10    ,0.02
19910708   ,-0.77    ,0.53   ,-0.15    ,0.02
19910709    ,0.39   ,-0.72    ,0.30    ,0.02
19910710    ,1.07   ,-0.39   ,-0.18    ,0.02
19910711   ,-0.12    ,0.02   ,-0.06    ,0.02
19910712    ,1.42    ,0.06   ,-0.27    ,0.02
19910715    ,0.84   ,-0.22   ,-0.16    ,0.02
19910716   ,-0.36    ,0.26    ,0.12    ,0.02
19910717   ,-0.21    ,0.30    ,0.02    ,0.02
19910718    ,0.33    ,0.01    ,0.04    ,0.02
19910719    ,0.36    ,0.21    ,0.18    ,0.02
19910722   ,-0.62    ,0.11    ,0.13    ,0.02
19910723   ,-0.10   ,-0.21    ,0.25    ,0.02
19910724    ,0.48   ,-0.18   ,-0.09    ,0.02
19910725   ,-0.46   ,-0.11    ,0.02    ,0.02
19910726    ,0.73   ,-0.22    ,0.02    ,0.02
19910729   ,-0.20   ,-0.17   ,-0.11    ,0.02
19910730    ,0.73   ,-0.42   ,-0.30    ,0.02
19910731    ,0.52    ,0.08   ,-0.22    ,0.02
19910801   ,-0.30    ,0.05   ,-0.08    ,0.02
19910802    ,0.51    ,0.10   ,-0.05    ,0.02
19910805   ,-0.23    ,0.43    ,0.01    ,0.02
19910806    ,0.25   ,-0.16   ,-0.17    ,0.02
19910807    ,0.32   ,-0.24   ,-0.07    ,0.02
19910808   ,-0.50    ,0.16   ,-0.07    ,0.02
19910809   ,-0.71    ,0.32    ,0.02    ,0.02
19910812   ,-0.38    ,0.11    ,0.10    ,0.02
19910813   ,-0.03   ,-0.19    ,0.14    ,0.02
19910814    ,0.50   ,-0.48   ,-0.09    ,0.02
19910815   ,-0.36    ,0.29   ,-0.07    ,0.02
19910816   ,-1.09    ,0.33   ,-0.15    ,0.02
19910819   ,-4.85    ,0.81   ,-0.52    ,0.02
19910820    ,1.40   ,-0.92    ,0.25    ,0.02
19910821    ,3.06   ,-0.60   ,-0.17    ,0.02
19910822    ,1.35    ,0.13    ,0.28    ,0.02
19910823   ,-0.65    ,0.31    ,0.16    ,0.02
19910826   ,-0.39    ,0.36    ,0.09    ,0.02
19910827   ,-0.17    ,0.06   ,-0.10    ,0.02
19910828    ,0.31   ,-0.05   ,-0.16    ,0.02
19910829    ,0.38   ,-0.27   ,-0.07    ,0.02
19910830    ,0.46   ,-0.19    ,0.03    ,0.02
19910902    ,0.45   ,-0.25    ,0.10    ,0.02
19910903   ,-0.09    ,0.32    ,0.08    ,0.02
19910904   ,-0.21    ,0.16    ,0.10    ,0.02
19910905   ,-0.07    ,0.12    ,0.10    ,0.02
19910906    ,0.37    ,0.22    ,0.03    ,0.02
19910909    ,0.43    ,0.35   ,-0.10    ,0.02
19910910   ,-0.71    ,0.17    ,0.15    ,0.02
19910911   ,-0.01   ,-0.05   ,-0.10    ,0.02
19910912    ,0.63   ,-0.14   ,-0.33    ,0.02
19910913    ,0.29   ,-0.17    ,0.15    ,0.02
19910916    ,0.30   ,-0.14   ,-0.01    ,0.02
19910917    ,0.35   ,-0.09   ,-0.07    ,0.02
19910918   ,-0.33    ,0.17    ,0.05    ,0.02
19910919   ,-0.19    ,0.19   ,-0.13    ,0.02
19910920    ,0.09    ,0.14    ,0.05    ,0.02
19910923    ,0.25    ,0.03   ,-0.05    ,0.02
19910924    ,0.21   ,-0.47    ,0.07    ,0.02
19910925    ,0.22   ,-0.24   ,-0.09    ,0.02
19910926    ,0.16   ,-0.08    ,0.21    ,0.02
19910927    ,0.09    ,0.19   ,-0.04    ,0.02
19910930    ,0.60   ,-0.02   ,-0.15    ,0.02
19911001    ,0.46   ,-0.25   ,-0.42    ,0.02
19911002    ,0.23   ,-0.10   ,-0.01    ,0.02
19911003    ,0.45   ,-0.45   ,-0.19    ,0.02
19911004   ,-0.30   ,-0.01   ,-0.01    ,0.02
19911007   ,-0.41    ,0.04   ,-0.21    ,0.02
19911008   ,-0.74    ,0.08    ,0.10    ,0.02
19911009   ,-0.35    ,0.10   ,-0.11    ,0.02
19911010    ,0.03   ,-0.25   ,-0.09    ,0.02
19911011    ,0.14    ,0.07   ,-0.01    ,0.02
19911014    ,0.16   ,-0.11   ,-0.11    ,0.02
19911015    ,0.31   ,-0.33   ,-0.07    ,0.02
19911016    ,0.41    ,0.22    ,0.01    ,0.02
19911017    ,0.24   ,-0.01   ,-0.04    ,0.02
19911018    ,0.69   ,-0.22   ,-0.01    ,0.02
19911021   ,-0.50    ,0.43   ,-0.05    ,0.02
19911022   ,-0.48    ,0.40   ,-0.07    ,0.02
19911023   ,-0.39    ,0.05   ,-0.08    ,0.02
19911024   ,-0.03   ,-0.06    ,0.17    ,0.02
19911025   ,-0.39    ,0.10    ,0.06    ,0.02
19911028    ,0.10   ,-0.33   ,-0.24    ,0.02
19911029    ,1.15   ,-0.06    ,0.01    ,0.02
19911030    ,0.27    ,0.30    ,0.01    ,0.02
19911031    ,0.33    ,0.17    ,0.00    ,0.02
19911101    ,0.00    ,0.33   ,-0.21    ,0.02
19911104    ,0.43   ,-0.08    ,0.14    ,0.02
19911105   ,-0.39    ,0.16   ,-0.07    ,0.02
19911106   ,-0.21    ,0.11    ,0.10    ,0.02
19911107    ,0.23    ,0.19   ,-0.22    ,0.02
19911108   ,-0.16   ,-0.03    ,0.06    ,0.02
19911111   ,-0.04    ,0.20   ,-0.28    ,0.02
19911112    ,0.64   ,-0.34   ,-0.23    ,0.02
19911113   ,-0.35    ,0.19   ,-0.16    ,0.02
19911114   ,-0.16    ,0.12   ,-0.13    ,0.02
19911115   ,-1.55    ,0.23    ,0.62    ,0.02
19911118   ,-0.50   ,-0.07   ,-0.45    ,0.02
19911119   ,-0.79    ,0.15    ,0.22    ,0.02
19911120   ,-0.31    ,0.12   ,-0.16    ,0.02
19911121    ,0.13   ,-0.07   ,-0.26    ,0.02
19911122   ,-0.33    ,0.13   ,-0.26    ,0.02
19911125   ,-0.03   ,-0.43    ,0.05    ,0.02
19911126    ,0.16   ,-0.63    ,0.07    ,0.02
19911127   ,-1.13    ,0.34   ,-0.17    ,0.02
19911128   ,-0.38    ,0.09   ,-0.01    ,0.02
19911129   ,-0.45    ,0.14   ,-0.05    ,0.02
19911202   ,-0.32    ,0.03   ,-0.49    ,0.02
19911203    ,0.45   ,-0.43   ,-0.15    ,0.02
19911204    ,0.35   ,-0.12   ,-0.44    ,0.02
19911205   ,-0.17    ,0.36   ,-0.04    ,0.02
19911206    ,0.24    ,0.13   ,-0.28    ,0.02
19911209   ,-0.26    ,0.01   ,-0.25    ,0.02
19911210   ,-0.70    ,0.13   ,-0.33    ,0.02
19911211   ,-0.65    ,0.08    ,0.04    ,0.02
19911212    ,0.82   ,-0.55    ,0.16    ,0.02
19911213    ,1.39   ,-0.64    ,0.05    ,0.02
19911216    ,0.21    ,0.37   ,-0.26    ,0.02
19911217   ,-0.36    ,0.18   ,-0.22    ,0.02
19911218   ,-0.28   ,-0.01   ,-0.11    ,0.02
19911219   ,-0.83    ,0.46   ,-0.02    ,0.02
19911220    ,0.25   ,-0.01    ,0.03    ,0.02
19911223    ,1.34   ,-0.48   ,-0.07    ,0.02
19911224    ,0.08   ,-0.04    ,0.33    ,0.02
19911225    ,0.87   ,-0.76    ,0.00    ,0.02
19911226    ,0.91   ,-0.09   ,-0.21    ,0.02
19911227    ,0.39    ,0.10   ,-0.10    ,0.02
19911230    ,1.64   ,-0.71   ,-0.30    ,0.02
19911231    ,0.76    ,0.04    ,0.04    ,0.02
19920101   ,-0.02    ,0.00    ,0.00    ,0.01
19920102    ,0.05   ,-0.07    ,0.02    ,0.01
19920103    ,0.04    ,0.15    ,0.05    ,0.01
19920106    ,1.49   ,-0.25    ,0.18    ,0.01
19920107   ,-0.42    ,0.66    ,0.12    ,0.01
19920108   ,-1.01    ,1.26   ,-0.32    ,0.01
19920109   ,-0.30   ,-0.06   ,-0.10    ,0.01
19920110   ,-1.77    ,0.82    ,0.30    ,0.01
19920113   ,-0.55    ,0.77   ,-0.04    ,0.01
19920114    ,0.53   ,-0.31    ,0.08    ,0.01
19920115   ,-0.47    ,0.28    ,0.65    ,0.01
19920116   ,-0.18    ,0.34    ,1.11    ,0.01
19920117    ,0.33    ,0.39    ,0.02    ,0.01
19920120    ,0.31    ,0.01    ,0.32    ,0.01
19920121   ,-0.18   ,-0.36    ,0.31    ,0.01
19920122    ,0.96   ,-0.50   ,-0.34    ,0.01
19920123   ,-0.53    ,0.20    ,0.13    ,0.01
19920124   ,-0.26    ,0.42    ,0.01    ,0.01
19920127   ,-0.90    ,0.16    ,0.41    ,0.01
19920128    ,0.38   ,-0.09    ,0.30    ,0.01
19920129   ,-0.34    ,0.22    ,0.06    ,0.01
19920130   ,-0.10   ,-0.13   ,-0.29    ,0.01
19920131    ,0.80    ,0.00   ,-0.08    ,0.01
19920203    ,0.18    ,0.32   ,-0.03    ,0.01
19920204    ,0.35    ,0.24   ,-0.10    ,0.01
19920205    ,0.23    ,0.33   ,-0.01    ,0.01
19920206    ,0.28    ,0.31    ,0.10    ,0.01
19920207    ,0.01    ,0.35    ,0.16    ,0.01
19920210   ,-0.61    ,0.11    ,0.16    ,0.01
19920211   ,-0.32    ,0.02    ,0.23    ,0.01
19920212   ,-0.46    ,0.44   ,-0.09    ,0.01
19920213   ,-0.70    ,0.14    ,0.25    ,0.01
19920214   ,-0.91    ,0.58    ,0.28    ,0.01
19920217    ,0.31   ,-0.35    ,0.06    ,0.01
19920218   ,-1.16    ,0.28    ,0.79    ,0.01
19920219   ,-0.50    ,0.04    ,0.38    ,0.01
19920220    ,0.58   ,-0.24    ,0.05    ,0.01
19920221    ,0.24   ,-0.23   ,-0.04    ,0.01
19920224   ,-0.20   ,-0.04    ,0.12    ,0.01
19920225   ,-0.27   ,-0.04   ,-0.19    ,0.01
19920226    ,0.87   ,-0.32   ,-0.56    ,0.01
19920227    ,0.21    ,0.25    ,0.09    ,0.01
19920228    ,0.01    ,0.13    ,0.06    ,0.01
19920302   ,-0.10    ,0.07    ,0.16    ,0.02
19920303   ,-0.78    ,0.28    ,0.10    ,0.02
19920304   ,-0.88    ,0.33    ,0.22    ,0.02
19920305   ,-0.73    ,0.09   ,-0.01    ,0.02
19920306   ,-0.34    ,0.09   ,-0.24    ,0.02
19920309   ,-0.20    ,0.03    ,0.10    ,0.02
19920310   ,-0.12    ,0.14   ,-0.11    ,0.02
19920311   ,-0.84    ,0.47    ,0.05    ,0.02
19920312   ,-0.71    ,0.07   ,-0.19    ,0.02
19920313    ,0.13   ,-0.08    ,0.12    ,0.02
19920316   ,-0.53    ,0.11    ,0.06    ,0.02
19920317    ,0.49   ,-0.13    ,0.12    ,0.02
19920318   ,-0.25    ,0.24    ,0.56    ,0.02
19920319    ,0.27   ,-0.68    ,0.41    ,0.02
19920320   ,-0.18   ,-0.02    ,0.10    ,0.02
19920323    ,0.06   ,-0.05   ,-0.02    ,0.02
19920324   ,-0.42   ,-0.04    ,0.18    ,0.02
19920325    ,0.43   ,-0.21    ,0.22    ,0.02
19920326   ,-0.22   ,-0.14    ,0.14    ,0.02
19920327   ,-0.42    ,0.27    ,0.21    ,0.02
19920330   ,-0.17   ,-0.36    ,0.38    ,0.02
19920331   ,-0.10    ,0.29    ,0.15    ,0.02
19920401   ,-1.74    ,0.48    ,0.08    ,0.01
19920402   ,-0.91    ,0.25    ,0.33    ,0.01
19920403    ,0.27   ,-0.45    ,0.15    ,0.01
19920406    ,0.80   ,-0.52   ,-0.01    ,0.01
19920407   ,-1.67    ,0.65    ,0.70    ,0.01
19920408   ,-1.83    ,0.46    ,0.01    ,0.01
19920409    ,0.57    ,0.03   ,-0.34    ,0.01
19920410    ,2.44   ,-1.75    ,0.03    ,0.01
19920413   ,-0.25    ,0.19   ,-0.33    ,0.01
19920414    ,1.27   ,-0.67   ,-0.16    ,0.01
19920415    ,0.90   ,-0.57    ,0.30    ,0.01
19920416    ,0.07   ,-0.09    ,0.50    ,0.01
19920417   ,-0.34    ,0.24    ,0.06    ,0.01
19920420   ,-1.25    ,0.30    ,0.71    ,0.01
19920421   ,-0.30   ,-0.07    ,0.39    ,0.01
19920422    ,0.15   ,-0.07    ,0.24    ,0.01
