"","SPY","IEV","EWJ","EEM","TLT","IEF","IYR","RWX","GLD","DBC"
"2007-01-04",0.00212180626579683,-0.00568184832518548,0.0105631879252963,-0.0138093404902798,0.00606319882593365,0.003628299317193,-0.000238413012200844,-0.00743687133588855,-0.01011555892928,-0.0260503320046531
"2007-01-05",-0.00797607206493478,-0.0147620584096527,-0.0257839776449742,-0.029238200178771,-0.0043527338545446,-0.00325396295014468,-0.0155039048196746,-0.0124340829417199,-0.0240065523436642,-0.0034512904457269
"2007-01-08",0.00462493240807937,0.00164354489001273,0.00572246937384513,0.00725744219571767,0.00179448009047634,0.000725182497785637,-0.000242387030713109,-0.00338985533548997,0.00515210254785115,0.00519470488849572
"2007-01-09",-0.000849750059702004,-0.00376388007430262,0.00640135610374792,-0.0223361305993945,0,-0.000241278960588565,0.0117535659601087,0.00161966400680291,0.00611769179894184,-0.00861315952250985
"2007-01-10",0.00333156470264884,-0.00561866433178593,-0.0148412052757713,-0.00230269229471847,-0.00447616340600043,-0.00169187147013383,0.0159282133779182,-0.00565981869457033,-0.00427276924479103,-0.0147698313251465
"2007-01-11",0.00438027194653157,0.010813652850715,-0.00502157365817357,0.0126496227947244,-0.00584522012120603,-0.00266338368538521,0.0114343560183312,0.00325276406140063,0.000660191450734482,-0.00132272586229887
"2007-01-12",0.00759706833136486,0.00905941973711544,0.0129777502121995,0.0203336588220606,-0.00463456832496889,-0.00206333981600182,0.00349699654766078,0.00664556554250817,0.0253999171136414,0.0233996351238288
"2007-01-16",-0.00195464293082237,0,0.00355868977171969,0.00357478802000277,0.00215709846520951,0.00194637855142044,0.0114981446933717,0.00257707185193712,-0.0032169375331168,-0.0228646115561664
"2007-01-17",0.000419542698638198,-0.000573046390707432,0,-0.00418500042833281,-0.00306000923224703,-0.00194259752127102,0.00298513846177251,0.00706666131472544,0.0108116506243077,0.00883000707070969
"2007-01-18",-0.00335611981941719,-0.00305815007788102,-0.000709113056197919,-0.0105518080654997,0.00306940162957092,0.00133842168446319,-0.00343415972643646,-0.00111599218391556,-0.00606642729991103,-0.0105031722901062
"2007-01-19",0.00196437715626785,0.0107363586686824,0.00709708926541563,0.0179845579581583,-0.00271950694957412,-0.00157874668351043,0.00884506190425682,0.00973969881287817,0.0118856733660673,0.015037566984631
"2007-01-22",-0.00308073010104526,-0.0070183423728577,0,-0.00115431405621846,0.00238544101085147,0.00182348709009061,-0.00307411361011622,0.010278204911901,-0.00444442857142857,0.000871366261405937
"2007-01-23",0.0029497458494061,0.00897774556261499,0.00563778173092855,0.0227534386287298,-0.00657554286430906,-0.00291405201855199,0.00285542996024102,0.00751293183500223,0.0240752866059424,0.0317805989780586
"2007-01-24",0.00805332575815543,0.00511205784534718,0.0133147002216292,0.00869037229197089,-0.000113943701667174,0.000121710421146837,0.0136673350464307,0.000932053660329446,0.00155688923134556,-0.00843880429791277
"2007-01-25",-0.0117402248718018,-0.01544556315194,-0.0165973706301307,-0.0307574743540079,-0.00719083428882228,-0.00389667182413811,0.00595508741336603,-0.00589823270477685,-0.00419717070737846,-0.0089360427991001
"2007-01-26",-0.000913909542299862,0.002774113818093,0.000702961906326571,0.00613345109414487,-0.000805039978634459,-0.000121274098463964,0.00301569640631305,-0.00624494567826106,0.00171714023469072,0.0124515599866566
"2007-01-29",-0.000562681135475862,0.00228939919627158,0.00351373775175001,-0.0132516815241768,-0.00218612868190604,-0.000734169062505896,0.00289561063041721,0.00612745174913676,-0.00623341144564171,-0.0203561995053156
"2007-01-30",0.00520942210417497,0.00532972022497757,0.00630256986269928,0.0154893787049011,0.00115341913584555,0.000978549092656378,0.00344164902673461,0.00406032599311179,0.00705662537243201,0.0277055339994576
"2007-01-31",0.00672297820736523,0.00511189856864158,-0.00417521164404411,0.00775827158452747,0.00840769970320543,0.00366693696142306,0.0113978710343376,0,0.00949861399099006,0.0105308435254967
"2007-02-01",0.00598277283743931,0.00781797983725396,0.0132774179954924,0.012248711444705,-0.0012039116540542,-0.00072062894627789,-0.000547366421477347,0.0113525631117879,0.00601571784619104,-0.00375157861498221
"2007-02-02",0.00138309355894339,-0.000934428210897287,-0.00620702533427442,-0.0030249505564881,0.00126306497755824,0.000855947180848027,0.00711606168176626,0.0110717169244887,-0.0144127872675132,0.0129706227991984
"2007-02-05",0.000276169223064171,-0.00327423341919753,-0.00763357096508555,0.000953632518139846,0.00137608098247788,0.00110002022779443,-0.000652523156654206,0.00304209801584032,0.000466692602157481,-0.00330437070939105
"2007-02-06",0.000276226018713466,0.0065695357083666,0.00839163126296572,0.00987323938066975,0.00549778396781764,0.00280864304251405,0.0137045098474664,0.0103109382867432,0.00746389387230284,-0.00497305421093175
"2007-02-07",0.00220860381252819,0.00372963309360874,-0.000693520880115206,-0.00385929208494529,0.00296022387575712,0.00219099747886586,0.0147000269248052,0.00405241376387422,-0.00246957860056218,-0.0120782144093423
"2007-02-08",-0.00130872990593423,-0.00232222560708539,-0.0124914215077536,-0.00533778429497944,0.000795107531515793,0.000243754004826569,-0.00761383214534317,-0.000598584589565188,0.0137706953630217,0.0231870758983526
