"","종목코드","종목명","종가","대비","등락률","EPS","PER","BPS","PBR","주당배당금","배당수익률"
"2002","004100","태양금속",1665,-55,-3.2,NA,NA,2467,0.67,5,0.3
"2003","004105","태양금속우",3000,-40,-1.32,NA,NA,NA,NA,10,0.33
"2004","009410","태영건설",10950,-100,-0.9,9514,1.15,15974,0.69,325,2.97
"2005","009415","태영건설우",13200,50,0.38,NA,NA,NA,NA,330,2.5
"2006","044490","태웅",12500,0,0,NA,NA,23342,0.54,0,0
"2007","124560","태웅로직스",8210,20,0.24,469,17.51,3023,2.72,50,0.61
"2008","001420","태원물산",5360,-80,-1.47,NA,NA,4160,1.29,50,0.93
"2009","007980","태평양물산",2545,15,0.59,NA,NA,3487,0.73,0,0
"2010","191420","테고사이언스",23550,-400,-1.67,230,102.39,6059,3.89,0,0
"2011","073640","테라사이언스",2070,20,0.98,NA,NA,428,4.84,0,0
"2012","182690","테라셈",1440,0,0,NA,NA,1267,1.14,0,0
"2013","066700","테라젠이텍스",6670,-60,-0.89,NA,NA,11542,0.58,0,0
"2014","095610","테스",26450,-350,-1.31,1580,16.74,11964,2.21,450,1.7
"2015","131970","테스나",44500,-1000,-2.2,2260,19.69,13105,3.4,130,0.29
"2016","055490","테이팩스",69700,500,0.72,2931,23.78,24253,2.87,500,0.72
"2017","089030","테크윙",20350,-650,-3.1,1712,11.89,10478,1.94,230,1.13
"2018","054450","텔레칩스",15000,-650,-4.15,NA,NA,6845,2.19,0,0
"2019","091440","텔레필드",3285,40,1.23,NA,NA,2245,1.46,0,0
"2020","078000","텔코웨어",11100,-150,-1.33,332,33.43,11338,0.98,480,4.32
"2021","200230","텔콘RF제약",3295,-260,-7.31,NA,NA,1044,3.16,0,0
"2022","214420","토니모리",6890,-80,-1.15,NA,NA,3554,1.94,0,0
"2023","215480","토박스코리아",1445,20,1.4,NA,NA,494,2.93,0,0
"2024","051360","토비스",8500,-100,-1.16,NA,NA,11013,0.77,0,0
"2025","045340","토탈소프트",11000,-350,-3.08,260,42.31,1571,7,0,0
"2026","108230","톱텍",8680,-160,-1.81,294,29.52,9538,0.91,100,1.15
"2027","079970","투비소프트",2035,-40,-1.93,NA,NA,1035,1.97,0,0
"2028","105550","트루윈",8200,50,0.61,54,151.85,2710,3.03,0,0
"2029","026150","특수건설",11050,-350,-3.07,152,72.7,5715,1.93,0,0
"2030","322180","티라유텍",11400,-550,-4.6,NA,NA,4792,2.38,0,0
"2031","117730","티로보틱스",7270,-100,-1.36,NA,NA,2735,2.66,0,0
"2032","033830","티비씨",2490,-360,-12.63,40,62.25,1133,2.2,10,0.4
"2033","057680","티사이언티픽",3580,-120,-3.24,16,223.75,1787,2,0,0
"2034","064760","티씨케이",124000,-700,-0.56,5183,23.92,23166,5.35,1100,0.89
"2035","246710","티앤알바이오팹",69000,2800,4.23,NA,NA,4418,15.62,0,0
"2036","340570","티앤엘",45400,-900,-1.94,1509,30.09,8853,5.13,400,0.88
"2037","277880","티에스아이",12350,150,1.23,NA,NA,2002,6.17,0,0
"2038","131290","티에스이",58400,-1700,-2.83,2594,22.51,17634,3.31,250,0.43
"2039","019180","티에이치엔",4355,115,2.71,NA,NA,3741,1.16,30,0.69
"2040","356860","티엘비",38200,-100,-0.26,2912,13.12,14445,2.64,0,0
"2041","062860","티엘아이",5980,-40,-0.66,NA,NA,6408,0.93,0,0
"2042","363280","티와이홀딩스",26750,-350,-1.29,10193,2.62,28162,0.95,0,0
"2043","36328K","티와이홀딩스우",23150,-50,-0.22,NA,NA,NA,NA,0,0
"2044","321550","티움바이오",18650,-350,-1.84,NA,NA,3469,5.38,0,0
"2045","091810","티웨이항공",3935,-40,-1.01,NA,NA,1060,3.71,0,0
"2046","004870","티웨이홀딩스",1225,-35,-2.78,NA,NA,994,1.23,0,0
"2047","104480","티케이케미칼",5690,-1020,-15.2,NA,NA,2940,1.94,0,0
"2048","081150","티플랙스",4825,-70,-1.43,156,30.93,4176,1.16,25,0.52
"2049","130740","티피씨글로벌",4370,25,0.58,217,20.14,5596,0.78,0,0
"2050","084730","팅크웨어",17400,200,1.16,901,19.31,15054,1.16,0,0
"2051","046210","파나진",3900,-15,-0.38,153,25.49,780,5,0,0
"2052","034230","파라다이스",16650,-650,-3.76,NA,NA,12583,1.32,0,0
"2053","033540","파라텍",2765,-60,-2.12,212,13.04,1488,1.86,0,0
"2054","043200","파루",1135,5,0.44,NA,NA,732,1.55,0,0
"2055","214450","파마리서치",88700,-2000,-2.21,3447,25.73,24505,3.62,500,0.56
"2056","208340","파멥신",7600,-260,-3.31,NA,NA,2299,3.31,0,0
"2057","005690","파미셀",12450,-250,-1.97,87,143.1,952,13.08,0,0
"2058","177830","파버나인",4555,-55,-1.19,348,13.09,4517,1.01,0,0
"2059","037070","파세코",21600,-100,-0.46,1014,21.3,6183,3.49,300,1.39
"2060","150900","파수",9100,-70,-0.76,NA,NA,1797,5.06,0,0
"2061","037030","파워넷",7130,20,0.28,15,475.33,4519,1.58,0,0
"2062","047310","파워로직스",7870,50,0.64,NA,NA,6083,1.29,0,0
"2063","170790","파이오링크",15500,-100,-0.64,1667,9.3,7590,2.04,150,0.97
"2064","049120","파인디앤씨",2200,-30,-1.35,NA,NA,1299,1.69,0,0
