"","종목코드","종목명","종가","대비","등락률","EPS","PER","BPS","PBR","주당배당금","배당수익률"
"2197","000240","한국앤컴퍼니",17100,-250,-1.44,1848,9.25,36437,0.47,500,2.92
"2198","080720","한국유니온제약",10600,-200,-1.85,NA,NA,8650,1.23,0,0
"2199","123890","한국자산신탁",4410,-50,-1.12,1062,4.15,6202,0.71,220,4.99
"2200","015760","한국전력",22600,-350,-1.53,3102,7.29,107945,0.21,1216,5.38
"2201","063570","한국전자금융",5740,-20,-0.35,114,50.35,4535,1.27,110,1.92
"2202","041460","한국전자인증",9000,260,2.97,138,65.22,1877,4.79,61,0.68
"2203","006200","한국전자홀딩스",1565,-50,-3.1,NA,NA,2169,0.72,0,0
"2204","101680","한국정밀기계",1440,0,0,NA,NA,5153,0.28,0,0
"2205","039740","한국정보공학",5540,110,2.03,NA,NA,4544,1.22,0,0
"2206","053300","한국정보인증",6640,-70,-1.04,313,21.21,2911,2.28,100,1.51
"2207","025770","한국정보통신",9210,-110,-1.18,291,31.65,5517,1.67,0,0
"2208","310870","한국제8호스팩",3230,80,2.54,NA,NA,NA,NA,0,0
"2209","009540","한국조선해양",102500,-1000,-0.97,NA,NA,154102,0.67,0,0
"2210","023350","한국종합기술",7300,10,0.14,591,12.35,12558,0.58,100,1.37
"2211","025890","한국주강",6750,450,7.14,NA,NA,2654,2.54,0,0
"2212","000970","한국주철관",9880,-50,-0.5,513,19.26,12129,0.81,200,2.02
"2213","104700","한국철강",8760,-110,-1.24,NA,NA,15132,0.58,200,2.28
"2214","017960","한국카본",12050,-300,-2.43,1377,8.75,8656,1.39,180,1.49
"2215","023760","한국캐피탈",910,0,0,103,8.83,972,0.94,25,2.75
"2216","054040","한국컴퓨터",4245,-5,-0.12,572,7.42,6336,0.67,150,3.53
"2217","050540","한국코퍼레이션",282,0,0,NA,NA,83,3.4,0,0
"2218","161890","한국콜마",44750,-650,-1.43,7005,6.39,27257,1.64,345,0.77
"2219","024720","한국콜마홀딩스",22500,-550,-2.39,6123,3.67,29717,0.76,205,0.91
"2220","021650","한국큐빅",4345,-75,-1.7,647,6.72,4116,1.06,50,1.15
"2221","161390","한국타이어앤테크놀로지",42250,-1850,-4.2,3032,13.93,59556,0.71,650,1.54
"2222","053590","한국테크놀로지",1055,25,2.43,NA,NA,291,3.63,0,0
"2223","034830","한국토지신탁",2290,-45,-1.93,364,6.29,3641,0.63,90,3.93
"2224","007280","한국특강",2975,-40,-1.33,88,33.81,1825,1.63,0,0
"2225","032300","한국파마",59900,-100,-0.17,324,184.88,4264,14.05,50,0.08
"2226","037230","한국팩키지",4555,-35,-0.76,93,48.98,1796,2.54,35,0.77
"2227","010100","한국프랜지",2880,-65,-2.21,379,7.6,7395,0.39,50,1.74
"2228","047810","한국항공우주",29950,-750,-2.44,766,39.1,12264,2.44,200,0.67
"2229","123690","한국화장품",10200,-350,-3.32,NA,NA,1835,5.56,0,0
"2230","003350","한국화장품제조",30850,-1450,-4.49,NA,NA,9768,3.16,0,0
"2231","030520","한글과컴퓨터",20100,-150,-0.74,1539,13.06,10878,1.85,0,0
"2232","052600","한네트",7510,160,2.18,108,69.54,3043,2.47,100,1.33
"2233","011500","한농화성",18000,100,0.56,849,21.2,8368,2.15,180,1
"2234","002390","한독",23850,0,0,1958,12.18,27703,0.86,300,1.26
"2235","256150","한독크린텍",13000,0,0,1118,11.63,5053,2.57,300,2.31
"2236","014790","한라",5560,-120,-2.11,1239,4.49,7489,0.74,100,1.8
"2237","092460","한라IMS",5950,20,0.34,200,29.75,4610,1.29,100,1.68
"2238","060980","한라홀딩스",50500,-400,-0.79,4297,11.75,84687,0.6,2000,3.96
"2239","053690","한미글로벌",10650,100,0.95,974,10.93,10889,0.98,300,2.82
"2240","042700","한미반도체",31000,-650,-2.05,1004,30.88,4992,6.21,400,1.29
"2241","008930","한미사이언스",58700,-1200,-2,343,171.14,9788,6,200,0.34
"2242","128940","한미약품",273000,-1000,-0.36,997,273.82,60518,4.51,500,0.18
"2243","047080","한빛소프트",5880,100,1.73,NA,NA,665,8.84,0,0
"2244","009240","한샘",95100,-900,-0.94,3766,25.25,25832,3.68,1300,1.37
"2245","020000","한섬",42700,0,0,3873,11.03,45559,0.94,450,1.05
"2246","003680","한성기업",6510,0,0,400,16.28,8130,0.8,0,0
"2247","105630","한세실업",23500,400,1.73,1145,20.52,10534,2.23,500,2.13
"2248","069640","한세엠케이",5400,-220,-3.91,NA,NA,6030,0.9,0,0
"2249","016450","한세예스24홀딩스",8150,-90,-1.09,1385,5.88,9208,0.89,250,3.07
"2250","010420","한솔PNS",2095,0,0,144,14.55,2130,0.98,25,1.19
"2251","009180","한솔로지스틱스",5090,80,1.6,316,16.11,1989,2.56,50,0.98
"2252","070590","한솔인티큐브",2685,-60,-2.19,126,21.31,1890,1.42,30,1.12
"2253","213500","한솔제지",14250,-150,-1.04,2493,5.72,26670,0.53,700,4.91
"2254","014680","한솔케미칼",328500,3500,1.08,11067,29.68,48977,6.71,1800,0.55
"2255","004710","한솔테크닉스",6700,-70,-1.03,834,8.03,8683,0.77,0,0
"2256","004150","한솔홀딩스",3705,-45,-1.2,1695,2.19,11972,0.31,120,3.24
"2257","025750","한솔홈데코",1940,15,0.78,7,277.14,1918,1.01,0,0
"2258","226440","한송네오텍",1860,-25,-1.33,NA,NA,682,2.73,0,0
"2259","042520","한스바이오메드",13950,-150,-1.06,NA,NA,5972,2.34,0,0
"2260","004960","한신공영",19000,-200,-1.04,9155,2.08,52869,0.36,400,2.11
"2261","011700","한신기계",4245,-25,-0.59,111,38.24,2538,1.67,35,0.82
"2262","078350","한양디지텍",9030,-20,-0.22,426,21.2,3702,2.44,0,0
"2263","045100","한양이엔지",15150,-350,-2.26,2766,5.48,20421,0.74,500,3.3
"2264","001750","한양증권",17700,-50,-0.28,3583,4.94,26489,0.67,750,4.24
"2265","001755","한양증권우",20850,-50,-0.24,NA,NA,NA,NA,800,3.84
"2266","018880","한온시스템",14550,-150,-1.02,207,70.29,3967,3.67,320,2.2
"2267","009420","한올바이오파마",21200,50,0.24,386,54.92,3470,6.11,0,0
"2268","014130","한익스프레스",6390,260,4.24,NA,NA,5662,1.13,0,0
"2269","046110","한일네트웍스",6940,-20,-0.29,636,10.91,6408,1.08,240,3.46
"2270","024740","한일단조",2710,-85,-3.04,NA,NA,3547,0.76,0,0
"2271","005860","한일사료",2130,30,1.43,55,38.73,1590,1.34,25,1.17
"2272","300720","한일시멘트",21900,1900,9.5,1832,11.95,18779,1.17,510,2.33
"2273","123840","한일진공",808,-22,-2.65,173,4.67,1755,0.46,0,0
"2274","002220","한일철강",3220,20,0.63,NA,NA,5895,0.55,0,0
"2275","006390","한일현대시멘트",36300,0,0,3732,9.73,15211,2.39,1100,3.03
"2276","003300","한일홀딩스",13800,50,0.36,1677,8.23,46221,0.3,510,3.7
"2277","007770","한일화학",19250,-150,-0.77,NA,NA,26082,0.74,50,0.26
"2278","051600","한전KPS",41600,-1700,-3.93,1935,21.5,23371,1.78,1146,2.75
"2279","052690","한전기술",70700,-3100,-4.2,530,133.4,13058,5.41,282,0.4
"2280","130660","한전산업",16200,-400,-2.41,419,38.66,2553,6.35,208,1.28
"2281","043090","한주케미칼앤홀딩스",2190,60,2.82,NA,NA,723,3.03,0,0
"2282","002320","한진",34000,-400,-1.16,575,59.13,73015,0.47,600,1.76
"2283","097230","한진중공업",9410,-10,-0.11,940,10.01,3843,2.45,0,0
"2284","003480","한진중공업홀딩스",4390,-120,-2.66,NA,NA,11160,0.39,0,0
"2285","180640","한진칼",56300,-1000,-1.75,NA,NA,22665,2.48,0,0
"2286","18064K","한진칼우",37200,-150,-0.4,NA,NA,NA,NA,0,0
"2287","005110","한창",1105,0,0,NA,NA,544,2.03,0,0
"2288","079170","한창산업",10200,100,0.99,227,44.93,10153,1,120,1.18
"2289","009460","한창제지",2055,0,0,177,11.61,1587,1.29,20,0.97
"2290","086960","한컴MDS",20900,-850,-3.91,512,40.82,13132,1.59,0,0
"2291","372910","한컴라이프케어",7890,-80,-1,1967,4.01,1920,4.11,0,0
"2292","054920","한컴위드",8050,-110,-1.35,307,26.22,4626,1.74,0,0
"2293","002680","한탑",1350,-10,-0.74,NA,NA,2172,0.62,0,0
"2294","066110","한프",1130,0,0,NA,NA,662,1.71,0,0
"2295","000880","한화",32250,-550,-1.68,2831,11.39,46059,0.7,700,2.17
"2296","00088K","한화3우B",16150,-200,-1.22,NA,NA,NA,NA,750,4.64
"2297","088350","한화생명",3445,-95,-2.68,184,18.72,14584,0.24,30,0.87
"2298","000370","한화손해보험",4530,0,0,315,14.38,14390,0.31,0,0
"2299","009830","한화솔루션",39100,0,0,1860,21.02,35699,1.1,0,0
"2300","009835","한화솔루션우",41050,-800,-1.91,NA,NA,NA,NA,0,0
"2301","272210","한화시스템",16050,-350,-2.13,760,21.12,8376,1.92,230,1.43
"2302","317320","한화에스비아이스팩",2265,-50,-2.16,NA,NA,NA,NA,0,0
"2303","012450","한화에어로스페이스",43050,-1000,-2.27,2390,18.01,51308,0.84,600,1.39
"2304","000885","한화우",38500,100,0.26,NA,NA,NA,NA,750,1.95
"2305","003530","한화투자증권",5950,-40,-0.67,307,19.38,5707,1.04,0,0
"2306","003535","한화투자증권우",14700,-500,-3.29,NA,NA,NA,NA,0,0
"2307","340440","한화플러스제1호스팩",2665,10,0.38,NA,NA,NA,NA,0,0
"2308","386580","한화플러스제2호스팩",2960,-90,-2.95,NA,NA,NA,NA,0,0
"2309","195870","해성디에스",42200,-250,-0.59,1764,23.92,13638,3.09,450,1.07
"2310","034810","해성산업",13800,-300,-2.13,25207,0.55,32729,0.42,175,1.27
"2311","076610","해성옵틱스",1000,-15,-1.48,NA,NA,413,2.42,0,0
"2312","059270","해성티피씨",7950,-340,-4.1,NA,NA,2628,3.03,0,0
"2313","101530","해태제과식품",8240,-110,-1.32,1035,7.96,9030,0.91,200,2.43
"2314","220180","핸디소프트",3450,-80,-2.27,179,19.27,3043,1.13,0,0
"2315","143210","핸즈코퍼레이션",5450,-20,-0.37,NA,NA,13471,0.4,0,0
"2316","084990","헬릭스미스",24700,-450,-1.79,NA,NA,8063,3.06,0,0
"2317","000720","현대건설",51400,-400,-0.77,1067,48.17,57894,0.89,600,1.17
"2318","267270","현대건설기계",40600,-650,-1.58,NA,NA,61841,0.66,0,0
"2319","000725","현대건설우",108500,-46500,-30,NA,NA,NA,NA,650,0.6
"2320","170030","현대공업",7750,-100,-1.27,737,10.52,7406,1.05,132,1.7
"2321","005440","현대그린푸드",9720,-120,-1.22,815,11.93,18231,0.53,210,2.16
"2322","086280","현대글로비스",165000,-3000,-1.79,16165,10.21,135079,1.22,3500,2.12
"2323","042670","현대두산인프라코어 [락]",8470,510,6.41,503,16.84,7842,1.08,0,0
"2324","064350","현대로템",21800,-500,-2.24,326,66.87,12493,1.74,0,0
"2325","079430","현대리바트",16150,100,0.62,1322,12.22,23425,0.69,200,1.24
"2326","012330","현대모비스",252500,-3000,-1.17,16389,15.41,349812,0.72,4000,1.58
"2327","319400","현대무벡스",3305,-55,-1.64,14,236.07,1956,1.69,0,0
"2328","010620","현대미포조선",77600,-1400,-1.77,NA,NA,58248,1.33,0,0
"2329","048410","현대바이오",24500,-50,-0.2,NA,NA,1426,17.18,0,0
"2330","052260","현대바이오랜드",19400,-250,-1.27,NA,NA,9149,2.12,100,0.52
"2331","069960","현대백화점",80900,-2800,-3.35,3172,25.5,182312,0.44,1000,1.24
"2332","004560","현대비앤지스틸",16600,-300,-1.78,1553,10.69,28211,0.59,100,0.6
"2333","004565","현대비앤지스틸우",77000,-600,-0.77,NA,NA,NA,NA,150,0.19
"2334","016790","현대사료",16750,350,2.13,21,797.62,9588,1.75,100,0.6
"2335","004310","현대약품",5940,-30,-0.5,80,74.25,2817,2.11,43,0.72
"2336","322000","현대에너지솔루션",22050,-550,-2.43,556,39.66,29352,0.75,200,0.91
"2337","041440","현대에버다임",5950,30,0.51,NA,NA,10255,0.58,20,0.34
"2338","039010","현대에이치티",8860,140,1.61,1126,7.87,9993,0.89,350,3.95
"2339","017800","현대엘리베이",47350,-800,-1.66,2389,19.82,24732,1.91,800,1.69
"2340","307950","현대오토에버",115500,-500,-0.43,2809,41.12,26430,4.37,750,0.65
"2341","011210","현대위아",78000,-1500,-1.89,2295,33.99,114656,0.68,700,0.9
"2342","090850","현대이지웰",9900,30,0.3,350,28.29,2599,3.81,55,0.56
"2343","267260","현대일렉트릭",22150,-300,-1.34,NA,NA,18841,1.18,0,0
"2344","004020","현대제철",43650,-450,-1.02,NA,NA,122488,0.36,500,1.15
"2345","329180","현대중공업",116500,500,0.43,NA,NA,75746,1.54,0,0
"2346","267250","현대중공업지주",62800,-800,-1.26,NA,NA,88804,0.71,3700,5.89
"2347","005380","현대차",208500,-1500,-0.71,5454,38.23,250888,0.83,3000,1.44
"2348","005387","현대차2우B",98600,-400,-0.4,NA,NA,NA,NA,3100,3.14
"2349","005389","현대차3우B",93300,-500,-0.53,NA,NA,NA,NA,3050,3.27
"2350","005385","현대차우",96900,-900,-0.92,NA,NA,NA,NA,3050,3.15
"2351","001500","현대차증권",12700,-150,-1.17,2739,4.64,27500,0.46,675,5.31
"2352","011760","현대코퍼레이션",18100,-200,-1.09,3980,4.55,23665,0.76,600,3.31
"2353","227840","현대코퍼레이션홀딩스",12950,-100,-0.77,2063,6.28,19321,0.67,500,3.86
"2354","126560","현대퓨처넷",4695,-60,-1.26,NA,NA,6121,0.77,80,1.7
"2355","001450","현대해상",26150,-150,-0.57,3955,6.61,53743,0.49,1000,3.82
"2356","057050","현대홈쇼핑",70300,-600,-0.85,9814,7.16,149799,0.47,2200,3.13
"2357","092300","현우산업",5390,20,0.37,74,72.84,4883,1.1,100,1.86
"2358","053660","현진소재",400,0,0,NA,NA,NA,NA,0,0
"2359","138360","협진",4480,0,0,NA,NA,1270,3.53,0,0
"2360","011080","형지I&C",1580,-85,-5.11,NA,NA,404,3.91,0,0
"2361","093240","형지엘리트",3910,-110,-2.74,NA,NA,2007,1.95,0,0
"2362","003010","혜인",6420,230,3.72,484,13.26,8434,0.76,120,1.87
"2363","111110","호전실업",12400,-600,-4.62,NA,NA,12387,1,200,1.61
"2364","008770","호텔신라",80900,100,0.12,NA,NA,15588,5.19,200,0.25
"2365","008775","호텔신라우",85600,-700,-0.81,NA,NA,NA,NA,250,0.29
"2366","060560","홈센타홀딩스",1645,-105,-6,35,47,901,1.83,0,0
"2367","064240","홈캐스트",3000,-105,-3.38,NA,NA,2059,1.46,0,0
"2368","039610","화성밸브",6150,-90,-1.44,119,51.68,7175,0.86,0,0
"2369","002460","화성산업",13150,-50,-0.38,2742,4.8,31644,0.42,650,4.94
"2370","378850","화승알앤에이",6040,-70,-1.15,NA,NA,NA,NA,0,0
"2371","241590","화승엔터프라이즈",16850,-450,-2.6,662,25.45,8554,1.97,45,0.27
"2372","006060","화승인더",6640,-110,-1.63,698,9.51,6374,1.04,188,2.83
"2373","013520","화승코퍼레이션",2570,-90,-3.38,NA,NA,3196,0.8,25,0.97
"2374","010690","화신",9530,360,3.93,NA,NA,7321,1.3,50,0.52
"2375","126640","화신정공",2200,-65,-2.87,138,15.94,2357,0.93,30,1.36
"2376","133820","화인베스틸",3170,5,0.16,NA,NA,2583,1.23,0,0
"2377","061250","화일약품",2910,35,1.22,55,52.91,2506,1.16,0,0
"2378","010660","화천기계",2695,-30,-1.1,NA,NA,5464,0.49,0,0
"2379","000850","화천기공",36400,-200,-0.55,2053,17.73,134620,0.27,750,2.06
"2380","016580","환인제약",18050,50,0.28,1532,11.78,15920,1.13,300,1.66
"2381","032560","황금에스티",8890,-10,-0.11,1048,8.48,17074,0.52,100,1.12
"2382","004800","효성",1e+05,-1000,-0.99,NA,NA,105988,0.94,5000,5
"2383","094280","효성ITX",21100,-800,-3.65,1067,19.78,3977,5.31,750,3.55
"2384","097870","효성오앤비",9450,360,3.96,203,46.55,7102,1.33,100,1.06
"2385","298040","효성중공업",66500,-500,-0.75,NA,NA,94759,0.7,0,0
"2386","298050","효성첨단소재",675000,-7000,-1.03,18,37500,69831,9.67,0,0
"2387","298020","효성티앤씨",566000,-19000,-3.25,31698,17.86,138867,4.08,5000,0.88
"2388","298000","효성화학",262500,-10000,-3.67,NA,NA,126125,2.08,0,0
"2389","093370","후성",20200,650,3.32,65,310.77,2350,8.6,0,0
"2390","050090","휘닉스소재",1000,-25,-2.44,NA,NA,354,2.82,0,0
"2391","081660","휠라홀딩스",36550,-450,-1.22,2306,15.85,21274,1.72,185,0.51
"2392","290270","휴네시온",5870,-80,-1.34,353,16.63,2763,2.12,40,0.68
"2393","005870","휴니드",7300,-60,-0.82,432,16.9,8452,0.86,0,0
"2394","353190","휴럼",1895,-30,-1.56,NA,NA,NA,NA,0,0
"2395","090710","휴림로봇",809,-8,-0.98,473,1.71,789,1.03,0,0
"2396","205470","휴마시스",17050,200,1.19,643,26.52,1423,11.98,0,0
"2397","115160","휴맥스",4875,-145,-2.89,NA,NA,10255,0.48,0,0
"2398","028080","휴맥스홀딩스",5470,-250,-4.37,NA,NA,10309,0.53,0,0
"2399","032860","휴먼엔",4580,-180,-3.78,NA,NA,350,13.09,0,0
"2400","200670","휴메딕스",27450,-650,-2.31,1587,17.3,12041,2.28,400,1.46
"2401","079980","휴비스",9800,-60,-0.61,2497,3.92,13659,0.72,300,3.06
"2402","065510","휴비츠",9200,140,1.55,NA,NA,6605,1.39,100,1.09
"2403","215090","휴센텍",2045,185,9.95,NA,NA,781,2.62,0,0
"2404","005010","휴스틸",14000,-150,-1.06,1134,12.35,54380,0.26,200,1.43
"2405","243070","휴온스",51200,-300,-0.58,5138,9.96,21996,2.33,600,1.17
"2406","084110","휴온스글로벌",49200,100,0.2,3576,13.76,34320,1.43,400,0.81
"2407","263920","휴온스블러썸",4555,0,0,NA,NA,2269,2.01,0,0
"2408","145020","휴젤",182700,-2900,-1.56,3353,54.49,58932,3.1,0,0
"2409","069260","휴켐스",28250,650,2.36,1292,21.87,16351,1.73,1000,3.54
"2410","024060","흥구석유",7730,-70,-0.9,330,23.42,5307,1.46,150,1.94
"2411","010240","흥국",8020,-80,-0.99,989,8.11,6008,1.33,180,2.24
"2412","189980","흥국에프엔비",3565,-80,-2.19,110,32.41,1790,1.99,20,0.56
"2413","000540","흥국화재",3835,-55,-1.41,268,14.31,11107,0.35,0,0
"2414","000547","흥국화재2우B",28200,0,0,NA,NA,NA,NA,0,0
"2415","000545","흥국화재우",8760,70,0.81,NA,NA,NA,NA,0,0
"2416","003280","흥아해운",3470,-225,-6.09,NA,NA,NA,NA,0,0
"2417","037440","희림",6510,-70,-1.06,389,16.74,4034,1.61,150,2.3
"2418","238490","힘스",9620,200,2.12,1522,6.32,6872,1.4,150,1.56
