"","code","name","stock"
"8425","00441298","디보스","080140"
"8449","00263885","포네이처","045290"
"8450","00475532","테이크시스템즈","076090"
"8451","00130204","폴켐","033190"
"8496","00128731","유리이에스","007050"
"8515","00325981","에프아이투어","047370"
"8516","00540021","모빌탑","085680"
"8533","00362089","올리브나인","052970"
"8537","00228916","디패션","030420"
"8645","00114215","알덱스","025970"
"8652","00264103","에이엠에스","044770"
"8653","00109648","오라바이오틱스","016160"
"8662","00261212","시노펙스그린테크","037320"
"8762","00348007","야호커뮤니케이션","059720"
"8765","00275808","브이케이","048760"
"8767","00375579","팬택앤큐리텔","063350"
"8774","00197324","팬텀엔터테인먼트그룹","025460"
"8778","00339063","삼성수산","052560"
"8807","00538497","동북아15호선박투자회사","084240"
"8849","00329084","비엔디","047940"
"8866","00225140","쌈지","033260"
"8890","00101947","브이오산업","018890"
"8900","00287724","코디콤","041800"
"8916","00347840","제네시스엔알디","052640"
"8978","00504357","동북아6호선박투자회사","080410"
"8987","00269339","인네트","041450"
"9006","00634959","한국월드와이드아시아태평양특별자산1호투자회사","098150"
"9023","00267094","헤파호프코리아","039350"
"9149","00142698","휴리프","006210"
"9166","00350057","하이스마텍","057100"
"9175","00721981","삼성디지털이미징","108070"
"9250","00248691","씨제이인터넷","037150"
"9251","00335562","엠넷미디어","056200"
"9252","00369675","온미디어","045710"
"9290","00265078","유니텍전자","039040"
"9384","00267809","위더스기술금융","019430"
"9394","00314000","클라스타","037550"
"9396","00355292","아시아미디어홀딩스","052810"
"9404","00386557","아이스테이션","056010"
"9412","00548865","동북아21호선박투자회사","088010"
"9432","00221320","에이스디지텍","036550"
"9464","00124054","부산저축은행","007830"
"9481","00301486","에피밸리","068630"
"9494","00149248","아세아페이퍼텍","009380"
"9535","00311298","오페스","053470"
"9541","00348557","액티투오","047710"
"9543","00265342","에이치에스씨홀딩스","038920"
"9550","00156734","한국고덴시","027840"
"9551","00208693","나리지*온","036850"
"9553","00128953","프로비타","014420"
"9559","00428792","제로원인터랙티브","069470"
"9561","00148744","제일화재해상보험","000610"
"9562","00518873","동북아9호선박투자회사","083120"
"9582","00300779","굿이엠지","051530"
"9592","00397766","아이드림","066850"
"9637","00174305","조인에너지","004820"
"9651","00320807","태광이엔시","048140"
"9786","00106492","렉스엘이앤지","004790"
"9797","00592583","코리아퍼시픽05호선박투자회사","093400"
"9896","00275260","엑큐리스","048460"
"9937","00146719","일화모직공업","001590"
"9969","00183914","우경","025920"
"10035","00481676","세미텍","081220"
"10219","00104971","그린손해보험","000470"
"10245","00269773","대양글로벌","040180"
"10248","00334767","엔하이테크","046720"
"10306","00453752","제너시스템즈","073930"
"10332","00140919","엘트온","015050"
"10384","00255840","태산엘시디","036210"
"10431","00133034","성원건설","012090"
"10434","00161028","대우송도개발","004550"
"10454","00268011","일레덱스홀딩스","033550"
"10513","00174475","현대금속","018410"
"10535","00251482","트라이써클","034010"
"10606","00824659","아이비케이에스스마트에스엠이기업인수목적1호","126680"
"10695","00259536","네스테크","037540"
"10763","00505198","동북아5호선박투자회사","080980"
"10797","00679730","파브코","101990"
"10856","00803504","우리기업인수목적1호","122750"
"10865","00350118","뉴젠아이씨티","054150"
"10871","00352295","인젠","041630"
"10882","00240088","지앤에스티","036920"
"11128","00356158","영진코퍼레이션","053330"
"11135","00560025","코크렙제8호위탁관리부동산투자회사","090540"
"11136","00140380","유니온스틸","003640"
"11173","00101275","경남모직","001670"
"11206","00334493","씨티앤티","050470"
"11207","00797674","대우증권그린코리아기업인수목적회사","121910"
"11218","00244589","지노시스템","033850"
"11245","00802028","한국투자신성장1호기업인수목적회사","123290"
"11248","00164292","동원데어리푸드","003900"
"11251","00371519","휴먼텍코리아","066060"
"11258","00126593","에스에스씨피","071660"
"11323","00220181","평산","089480"
"11450","00254009","지디코프","036610"
"11466","00505541","아시아퍼시픽2호선박투자회사","081190"
"11542","00240398","무한투자","034510"
"11589","00828309","동부티에스블랙펄기업인수목적","128910"
"11614","00349468","블루젬디앤씨","053040"
"11619","00808262","부국퓨쳐스타즈기업인수목적","123300"
"11696","00252393","예당컴퍼니","049000"
"11803","00229818","터보테크","032420"
"11864","00154189","케이비물산","008540"
"11872","00680161","연합과기공고유한공사","900030"
"11945","00102645","글로스텍","012410"
"11947","00844884","중국고섬공고유한공사","950070"
"11994","00592592","코리아퍼시픽06호선박투자회사","093410"
"11996","00268437","나노트로닉스","010670"
"12173","00798284","미래에셋제1호기업인수목적","121950"
"12186","00164195","에이원마이크로","037380"
"12187","00264811","에이프로테크놀로지","045470"
"12368","00208301","성우몰드","053440"
"12399","00676380","모린스","110310"
"12442","00543231","디지텍시스템스","091690"
"12457","00103121","세븐코스프","017160"
"12515","00122436","배명금속","011800"
"12544","00505189","동북아4호선박투자회사","080970"
"12599","00271413","사라콤","040020"
"12649","00245296","폴리플러스","065610"
"12679","00188122","하나물산","036280"
"12701","00480905","영찬테크","085990"
"12784","00890333","케이비부국제1호개발전문위탁관리부동산투자회사","149130"
"12788","00510534","아시아퍼시픽8호선박투자회사","081930"
"12822","00150855","진흥저축은행","007200"
"12843","00173634","에듀언스","009010"
"12861","00830377","성융광전투자유한공사","900150"
"12907","00224567","샤인시스템","066300"
"12959","00582054","씨모텍","081090"
"13044","00125929","에스컴","014900"
"13093","00502793","아시아퍼시픽1호선박투자회사","080180"
"13106","00505550","아시아퍼시픽3호선박투자회사","081200"
"13134","00104704","한국저축은행","025610"
"13140","00361035","미리넷","056710"
"13240","00630111","3노드디지탈그룹유한공사","900010"
"13255","00264802","유일엔시스","038720"
"13502","00399773","케이피케미칼","064420"
"13510","00257529","이루넷","041030"
"13526","00804114","대신증권그로쓰알파기업인수목적","123550"
"13527","00416706","유에이블","071530"
"13594","00121251","네오퍼플","028090"
"13814","00173324","경윤하이드로에너지","019120"
"13823","00121729","롯데미도파","004010"
"13828","00808226","한화에스브이명장제1호기업인수목적","124050"
"13843","00162577","셀텍","019260"
"13844","00812229","에스비아이앤솔로몬드림기업인수목적","123910"
"13939","00351153","위다스","056810"
"13978","00126885","에스와이코퍼레이션","008080"
"14108","00264741","어울림네트웍스","042820"
"14135","00266989","에이디모터스","038120"
"14167","00260693","평안물산","037240"
"14184","00267951","아큐텍","013780"
"14187","00132114","선진지주","014300"
"14188","00804983","히든챔피언제1호기업인수목적","123160"
"14202","00502474","동북아2호선박투자회사","080030"
"14264","00579379","금강제강","105070"
"14413","00264857","아라온테크","041060"
"14429","00375302","우리금융지주","053000"
"14432","00252658","코리언일랙트로닉스파워소스","046810"
"14493","00264848","대국","042340"
"14502","00138376","쎄라텍","041550"
"14559","00251190","글로웍스","034600"
"14570","00694003","중국식품포장유한공사","900060"
"14616","00505170","동북아3호선박투자회사","080960"
"14676","00116073","그린기술투자","025340"
"14716","00259439","지아이바이오","035450"
"14800","00207436","알에스넷","046430"
"14815","00408585","나이스메탈","072530"
"14885","00111829","대웅바이오","016890"
"14950","00956028","엑세스바이오","950130"
"15069","00115038","하나IB증권","003330"
"15090","00288653","퓨쳐비젼","042570"
"15209","00303837","이레전자산업","045310"
"15416","00330017","레이더스컴퍼니","047420"
"15481","00264769","포이보스","038810"
"15482","00308948","미디어코프","053890"
"15483","00321222","케이디세코","073780"
"15484","00361202","이노블루","066200"
"15485","00450728","도움","078610"
"15486","00535773","엑스씨이","081500"
"15603","00152950","코오롱유화","011020"
"16154","00296069","세라온홀딩스","050600"
"16179","00521956","현대경매부동산일호투자회사","083160"
"16193","00360540","우수씨엔에스","060550"
"16200","00593519","동북아31호선박투자회사","093730"
"16245","00194372","후야인포넷","032050"
"16292","00154693","이레아이엔씨","036900"
"16309","00106650","카스코","005330"
"16359","00368791","모델라인","064720"
"16362","00220552","청람디지탈","035270"
"16363","00301626","플래닛팔이","057330"
"16364","00294371","한텔","041940"
"16554","00353683","코스모스피엘씨","053170"
"16555","00252375","나노하이텍","071360"
"16556","00260903","쓰리소프트","036360"
"16557","00261461","트라이콤","038410"
"16558","00265218","케이엔에스홀딩스","036760"
"16559","00471989","지비에스","076170"
"16560","00306986","피더블유제네틱스","065910"
"16611","00356644","엠텍반도체","054440"
"16660","00305695","세니콘","056060"
"16719","00151252","에스와이","004530"
"16731","00257051","유씨아이콜스","065810"
"16868","00459589","코크렙제3호CR리츠","073530"
"16876","00264839","아이비진","039060"
"17087","00366164","아이티센네트웍스","057110"
"17106","00436728","리얼티코리아제1호기업구조조정부동산투자","072450"
"17283","00136235","BHK","003990"
"17284","00328854","포넷","048270"
"17438","00120960","맥슨텔레콤","009890"
"17689","00220446","예일바이오텍","054250"
"17905","00119733","엔토리노","032590"
"17945","00119423","두림티앤씨","033330"
"17964","00557067","동북아27호선박투자회사","089170"
"17965","00557058","동북아28호선박투자회사","089180"
"17966","00557030","동북아30호선박투자회사","089200"
"17967","00557049","동북아29호선박투자회사","089190"
"18026","00244330","현주컴퓨터","038960"
"18148","00120100","LG석유화학","012990"
"18169","00246657","오브제","058680"
"18337","00130037","휴닉스","009790"
"18363","00405074","세이프아시아","066330"
"18459","00398534","코크렙제1호기업구조조정부동산투자회사","067910"
"18692","00234449","제이엠피","054790"
"18711","00165200","위너스인프라인","005760"
"18875","00150183","AP우주통신","015670"
"18927","00268482","조이토토","044370"
"18928","00363033","한도하이테크","060660"
"18929","00364227","에너윈","055970"
"19081","00458915","유레스메리츠제1호","073470"
"19130","00386876","교보메리츠퍼스트기업구조조정부동산투자회사","064900"
"19132","00163044","한일약품공업","003040"
"19147","00543073","굿앤리치부동산공경매투자회사1호","085450"
"19201","00160445","한국합섬","025830"
"19393","00554468","굿앤리치부동산공경매투자회사2호","088510"
"19476","00165565","디에스피이엔티","016040"
"19560","00300256","시큐어소프트","037060"
"19566","00138491","동부일렉트로닉스","001830"
"19747","00102821","고려시멘트","003660"
"19749","00377814","베스트플로우","060410"
"19843","00364670","쿨투","056020"
"19962","00143013","우영","012460"
"20565","00263991","모빌링크텔레콤","041310"
"21043","00105183","극동제혁","010200"
"21050","00173254","한마음상호저축은행","025450"
"21090","00101637","그로웰전자","009220"
"21108","00124513","부흥","003930"
"21258","00139418","알루코","021570"
"21268","00154417","퍼시픽글라스","009080"
"21573","00119362","아이인프라","008780"
"21632","00140353","씨크롭","016970"
"21679","00170451","외환신용카드","038400"
"21681","00267793","삼화기연","033210"
"21715","00260639","대흥멀티미디어통신","037250"
"21793","00153852","텔슨정보통신","018180"
"21840","00248956","비이티","036820"
"21975","00390028","코오롱인터내셔널","063510"
"22027","00260888","엔써커뮤니티","037750"
"22028","00275710","써미트테크놀로지","039000"
"22032","00172103","코리아이앤디","027440"
"22037","00263955","트래픽아이티에스","038050"
"22074","00261601","호성","035870"
"22139","00265254","넥스텔","037220"
"22196","00255266","쓰리알","037730"
"22212","00259916","그로웰텔레콤","035780"
"22222","00131434","서통","001150"
"22447","00271352","테크메이트","043690"
"22485","00244932","한아시스템","036020"
"22486","00348052","엔에스아이","053250"
"22546","00367598","케이티씨텔레콤","055810"
"22729","00267720","신한SIT","054530"
"22781","00147949","스마텔","004190"
"22847","00203458","동방라이텍","025690"
"22883","00130000","아이텍스필","008030"
"22892","00145534","이수세라믹","032180"
"22898","00425360","코크렙제2호기업구조조정부동산투자회사","070540"
"23080","00141334","영풍산업","002850"
"23090","00384452","모닷텔","048150"
"23128","00103583","광덕물산","003590"
"23148","00162142","동원증권","005890"
"23181","00236021","우주통신","054080"
"23428","00106483","기라정보통신","019930"
"23466","00208374","텔슨전자","027350"
"23468","00309983","하이콤정보통신","048540"
"23529","00277727","미래에셋굿라이프혼합형자녀를위한펀드5-1","037500"
"23532","00136217","한메엔에스","006150"
"23581","00229827","이지클럽","038980"
"23784","00247902","넷컴스토리지","037010"
"23809","00318477","모디아","046000"
"23860","00246815","성진산업","037650"
"23865","00260921","아이엠아이티","038100"
"23867","00247762","맥시스템","036880"
"23923","00350224","슈마일렉트론","056500"
"24221","00101992","센추리","006750"
"24225","00151614","베네데스하이텍","009360"
"24228","00179832","에스오케이","032610"
"24335","00241120","세원텔레콤","036910"
"24495","00277985","한강구조조정기금","036060"
"24572","00325918","케이엔티","036590"
"24698","00110981","대아리드선","009940"
"24730","00116499","동신제약","006600"
"24786","00104467","국민은행","031150"
"24801","00257361","월드텔레콤","047610"
"24909","00358730","업필","054370"
"25120","00248406","화림모드","045920"
"25146","00348788","디이시스","053200"
"25194","00110963","대아건설","000380"
"25232","00149840","중앙제지","005600"
"25254","00267021","창민테크","042960"
"25356","00330406","씨제이엔터테인먼트","049370"
"25431","00110079","대백쇼핑","027700"
"25622","00141440","지니웍스","036600"
"25641","00135670","신광기업","001580"
"25677","00144933","유진종합개발","023420"
"25692","00371139","휘튼","066480"
"25805","00218654","엠바이엔","031970"
"25820","00115852","두산건설","002950"
"25842","00113696","대호","001980"
"25882","00253514","한신코퍼레이션","037120"
"25912","00105509","금강화섬","010730"
"26114","00163178","우리증권","001280"
"26150","00264185","피코소프트","039580"
"26151","00265157","바이오시스","035960"
"26163","00270405","윌텍정보통신","039390"
"26178","00125406","삼도물산","002930"
"26265","00258731","현대멀티캡","035910"
"26350","00822572","씨아이에스","144630"
"26376","00423609","LG생명과학","068870"
"26378","00580603","코리아퍼시픽01호선박투자회사","090970"
"26379","00580612","코리아퍼시픽02호선박투자회사","090980"
"26412","00317830","신양오라컴디스플레이","086830"
"26680","00311030","미래에셋증권","037620"
"26862","00439053","이룸지엔지","050640"
"26997","00992312","에스와이이노베이션","194860"
"27028","00580621","코리아퍼시픽03호선박투자회사","090990"
