"","종목코드","종목명","종가","대비","등락률","시장구분","업종명","시가총액","EPS","PER","BPS","PBR","주당배당금","배당수익률"
"391","088800","에이스테크",15200,-150,-0.98,"KOSDAQ","통신장비",622560505600,NA,NA,1567,9.7,0,0
"392","001060","JW중외제약",28900,150,0.52,"KOSPI","의약품",622503861400,NA,NA,9069,3.19,325,1.12
"393","060150","인선이엔티",13350,450,3.49,"KOSDAQ","기타서비스",621624220200,885,15.08,6702,1.99,0,0
"394","267980","매일유업",79200,600,0.76,"KOSDAQ","음식료·담배",621216129600,7498,10.56,56113,1.41,800,1.01
"395","226320","잇츠한불",28200,-350,-1.23,"KOSPI","화학",618406683000,NA,NA,18067,1.56,100,0.35
"396","033310","엠투엔",27850,-650,-2.28,"KOSDAQ","금속",617986459150,NA,NA,2772,10.05,0,0
"397","036810","에프에스티",28300,850,3.1,"KOSDAQ","반도체",615717128700,1026,27.58,6473,4.37,100,0.35
"398","034830","한국토지신탁",2425,85,3.63,"KOSPI","기타금융",612286382750,364,6.66,3641,0.67,90,3.71
"399","001820","삼화콘덴서",58800,-900,-1.51,"KOSPI","전기전자",6.11226e+11,2272,25.88,16709,3.52,300,0.51
"400","104480","티케이케미칼",6710,-100,-1.47,"KOSDAQ","화학",609908362140,NA,NA,2940,2.28,0,0
"401","005180","빙그레",61600,-700,-1.12,"KOSPI","음식료품",606836445600,3944,15.62,59843,1.03,1600,2.6
"402","286940","롯데정보통신",39400,-350,-0.88,"KOSPI","서비스업",606615441400,1975,19.95,26847,1.47,700,1.78
"403","319400","현대무벡스",5920,-20,-0.34,"KOSDAQ","기계·장비",602196158080,14,422.86,1956,3.03,0,0
"404","281820","케이씨텍",28750,-850,-2.87,"KOSPI","의료정밀",599769735000,2118,13.57,16672,1.72,220,0.77
"405","068240","다원시스",19000,100,0.53,"KOSDAQ","IT부품",599723733000,540,35.19,7935,2.39,100,0.53
"406","226950","올릭스",43500,-550,-1.25,"KOSDAQ","기타서비스",596087460000,NA,NA,3344,13.01,0,0
