"","종목코드","종목명","시장구분","업종명","종가","대비","등락률","시가총액"
"80","051900","LG생활건강","KOSPI","화학",1231000,14000,1.15,19226000507000
"81","051905","LG생활건강우","KOSPI","화학",628000,4000,0.64,1318609716000
"82","003555","LG우","KOSPI","기타금융",67000,-400,-0.59,202448540000
"83","032640","LG유플러스","KOSPI","통신업",14250,-200,-1.38,6221711894250
"84","011070","LG이노텍","KOSPI","전기전자",211500,-3500,-1.63,5005593130500
"85","066570","LG전자","KOSPI","전기전자",122000,-1000,-0.81,19965033308000
"86","066575","LG전자우","KOSPI","전기전자",63800,-400,-0.62,1096466289600
"87","037560","LG헬로비전","KOSPI","서비스업",7010,-140,-1.96,542902523650
"88","051910","LG화학","KOSPI","화학",784000,-47000,-5.66,55344396912000
"89","051915","LG화학우","KOSPI","화학",359500,-18000,-4.77,2764123600000
"90","079550","LIG넥스원","KOSPI","기계",46900,300,0.64,1.0318e+12
"91","006260","LS","KOSPI","기타금융",62400,-400,-0.64,2.00928e+12
"92","010120","LS ELECTRIC","KOSPI","전기전자",59300,-700,-1.17,1.779e+12
"93","000680","LS네트웍스","KOSPI","유통업",3370,-190,-5.34,265566163920
"94","229640","LS전선아시아","KOSPI","기타금융",8380,70,0.84,256636486020
"95","001120","LX인터내셔널","KOSPI","유통업",26750,-150,-0.56,1.03683e+12
"96","108670","LX하우시스","KOSPI","화학",69700,-400,-0.57,625046599000
"97","108675","LX하우시스우","KOSPI","화학",33100,-350,-1.05,34170123000
"98","383800","LX홀딩스","KOSPI","기타금융",8940,-60,-0.67,681949368600
"99","38380K","LX홀딩스1우","KOSPI","기타금융",13850,50,0.36,20294197250
"100","023150","MH에탄올","KOSPI","음식료품",11450,-450,-3.78,84484122700
"101","035420","NAVER","KOSPI","서비스업",402500,-7500,-1.83,66116016487500
"102","181710","NHN","KOSPI","서비스업",80800,-1700,-2.06,1580854020000
"103","005940","NH투자증권","KOSPI","증권",12900,-150,-1.15,3831737142300
"104","005945","NH투자증권우","KOSPI","증권",12500,-50,-0.4,235887100000
"105","338100","NH프라임리츠","KOSPI","서비스업",4900,-10,-0.2,9.1434e+10
"106","034310","NICE","KOSPI","서비스업",16700,-300,-1.76,632634410000
"107","008260","NI스틸","KOSPI","철강금속",3870,-65,-1.65,110682452790
"108","004250","NPC","KOSPI","화학",6080,-130,-2.09,223257600000
"109","004255","NPC우","KOSPI","화학",3180,5,0.16,16790400000
"110","010060","OCI","KOSPI","화학",127000,500,0.4,3028870117000
"111","178920","PI첨단소재","KOSPI","화학",45950,-1050,-2.23,1349382495900
"112","005490","POSCO","KOSPI","철강금속",300500,2500,0.84,26199643917500
"113","010950","S-Oil","KOSPI","화학",1e+05,-2500,-2.44,11258279200000
"114","010955","S-Oil우","KOSPI","화학",61000,-1200,-1.93,245337547000
"115","034120","SBS","KOSPI","서비스업",48850,-3350,-6.42,891638630700
"116","101060","SBS미디어홀딩스","KOSPI","서비스업",2110,-55,-2.54,295180960900
"117","005090","SGC에너지","KOSPI","전기가스업",48200,-450,-0.92,707431592800
"118","001380","SG글로벌","KOSPI","운수장비",2150,-85,-3.8,96672907450
"119","004060","SG세계물산","KOSPI","유통업",699,-4,-0.57,141495047040
"120","001770","SHD","KOSPI","철강금속",29650,750,2.6,36021132700
"121","002360","SH에너지화학","KOSPI","화학",1095,0,0,121691434350
"122","009160","SIMPAC","KOSPI","기계",7440,-110,-1.46,486795599040
"123","123700","SJM","KOSPI","운수장비",4780,-155,-3.14,74591412440
"124","025530","SJM홀딩스","KOSPI","유통업",3805,5,0.13,56823900440
"125","034730","SK","KOSPI","기타금융",248500,0,0,17484533804500
"126","011790","SKC","KOSPI","화학",175500,5000,2.93,6645886299000
"127","018670","SK가스","KOSPI","유통업",133000,-1500,-1.12,1227622452000
"128","001740","SK네트웍스","KOSPI","유통업",5240,30,0.58,1300503270280
"129","001745","SK네트웍스우","KOSPI","유통업",86900,-400,-0.46,9876011200
"130","006120","SK디스커버리","KOSPI","기타금융",48550,-200,-0.41,924287860250
"131","006125","SK디스커버리우","KOSPI","기타금융",39050,-150,-0.38,53047667750
"132","210980","SK디앤디","KOSPI","서비스업",31050,-650,-2.05,689004592200
"133","068400","SK렌터카","KOSPI","서비스업",12100,-350,-2.81,572158664000
"134","395400","SK리츠","KOSPI","서비스업",6180,-110,-1.75,958026887760
"135","302440","SK바이오사이언스","KOSPI","의약품",249000,16000,6.87,1.90485e+13
"136","326030","SK바이오팜","KOSPI","서비스업",97800,0,0,7659035850000
"137","361610","SK아이이테크놀로지","KOSPI","전기전자",155000,-7000,-4.32,11051126760000
"138","03473K","SK우","KOSPI","기타금융",225000,-2000,-0.88,127380375000
"139","096770","SK이노베이션","KOSPI","화학",243500,-5000,-2.01,22515364834000
"140","096775","SK이노베이션우","KOSPI","화학",149500,-2500,-1.64,186639687000
"141","001510","SK증권","KOSPI","증권",982,-9,-0.91,464083547922
"142","001515","SK증권우","KOSPI","증권",4140,-65,-1.55,16197807960
"143","285130","SK케미칼","KOSPI","화학",181500,0,0,2132878374000
"144","28513K","SK케미칼우","KOSPI","화학",108500,500,0.46,158265695000
"145","017670","SK텔레콤","KOSPI","통신업",309500,0,0,22302614258500
"146","000660","SK하이닉스","KOSPI","전기전자",105500,-2000,-1.86,76804249507500
"147","064960","SNT모티브","KOSPI","운수장비",50500,-1200,-2.32,738468368000
"148","100840","SNT에너지","KOSPI","기계",21850,-200,-0.91,164021635350
"149","003570","SNT중공업","KOSPI","운수장비",9200,90,0.99,305924812400
"150","036530","SNT홀딩스","KOSPI","기타금융",18300,200,1.1,298361113800
"151","005610","SPC삼립","KOSPI","음식료품",76300,-1000,-1.29,658393386700
"152","011810","STX","KOSPI","유통업",4330,-70,-1.59,123930895820
"153","077970","STX엔진","KOSPI","기계",11650,-250,-2.1,268053731600
"154","071970","STX중공업","KOSPI","기계",5430,-170,-3.04,154027249680
"155","002820","SUN&L","KOSPI","종이목재",5660,0,0,71361217740
"156","084870","TBH글로벌","KOSPI","섬유의복",2990,30,1.01,62361888810
