"","PER","PBR","PCR","PSR"
"005930",18.327517065594,1.73286119941076,7.32426949094,2.0192797605434
"000660",18.754661250552,1.71800878290126,7.24183405977458,2.79558531280172
"051910",123.116571677721,3.35860623733396,10.8049504591837,2.09830115345868
"207940",236.382012448133,12.3875935026529,281.880578921326,48.9080228365385
"035420",59.010899311446,7.16342893484028,40.8615410447761,11.1488890103882
"035720",333.748647011568,6.99157067127105,53.4767680722892,12.4930931185046
"005380",34.126307597936,0.636741888926003,NA,0.467409945445856
"006400",76.9368240647294,3.30982287388932,22.6886252001232,3.91468576601622
"068270",72.4243875982789,10.7173504801459,105.590502934132,20.0262773127467
"000270",22.5353245475262,1.12150024243854,6.18070923079334,0.566581465298024
"005490",19.5913242619062,0.658364424662189,3.61367081524805,0.543099842887003
"012330",17.3579663331371,0.796387022362511,10.7167062300642,0.724668377267825
"028260",24.8160054442298,0.779984326766933,20.267350451534,0.850439786653473
"096770",NA,1.67482989423295,9.0817868387821,0.757814629805793
"066570",12.4296845973683,1.39466473187361,5.2856907473102,0.386730552195631
"105560",6.77529112526048,0.539879522064504,NA,NA
"051900",29.5093065183049,4.85371254619319,23.4241867824443,3.00039809790299
"017670",14.8249230646769,0.914183940880137,3.83081369630189,1.19747508730342
"003550",13.5761585689432,0.953851179672408,26.9227108841835,3.00034312125873
"055550",6.09704270667135,0.449101687692663,NA,NA
"034730",100.116684485216,0.365640890967781,1.95594455072927,0.231753567173592
"036570",31.8807980354103,5.95502934015963,26.4652074137931,7.75050938084596
"091990",74.1429119384359,9.22135445703347,NA,10.9510666195625
"032830",13.2248380470848,0.383851632401297,5.73523365766753,NA
"090430",472.164726923077,3.71225291528537,29.8935460227273,3.73922248883173
"015760",7.6243913127354,0.214845591155253,1.1494454647424,0.259221988670686
"011200",128.51165174092,9.43002289055375,11.304645829393,2.4827458018025
"086790",5.08904147254664,0.424705467081009,NA,NA
"018260",31.4047440811725,2.03058768643116,14.2209556871554,1.2641824749941
"009150",20.775730013245,2.12312887926367,7.90160627668283,1.52868796861866
"302440",NA,46.8337755875663,102.784941763727,54.7639627659574
"251270",37.0725967092652,2.05353816762822,31.1676679290894,4.66988199050225
"033780",9.66683536954852,1.24583472683576,8.97727748474281,2.13645522153689
"010950",NA,1.86234622930048,6.48852387982833,0.628815870039276
"003670",386.007599662162,11.1623924872997,298.324411227154,7.29525280934747
"009540",NA,0.814780825363089,NA,0.679063292202607
"003490",NA,3.10357380763656,7.46575534157769,1.3512799267374
"361610",116.00005047619,8.46743726889018,88.1240693540052,21.8009896697209
"000810",12.988862594702,0.602277983049286,6.6086604616214,NA
"011170",61.4146308895899,0.709884410898165,7.42616646017699,0.796385420600507
"352820",108.70027117853,7.7701336558512,79.8253062553556,11.6986226798945
"010130",15.2804188481675,1.23545646959221,19.180021905805,1.15481343726507
"326030",NA,23.2398855842786,NA,338.855408653846
"018880",78.5711050724638,3.87347057247477,10.9027777777778,1.26211296705855
"009830",28.2183741934649,1.46158477524004,8.15549271921459,0.948591567504078
"030200",12.3413027793313,0.522176603315457,1.71327423705642,0.339535856903335
"034220",NA,0.640516763105622,3.56736103896104,0.336696834103037
"024110",5.08898623656964,0.31083696254917,NA,NA
"316140",6.02212020553813,0.29457369825038,2.18322732798114,NA
"004020",NA,0.427685227191038,3.55474482050388,0.396115577388284
